nome,cpu%,ram%,status,dataHora
System Idle Process,950.0,0.0,TIME_WAIT,2025-04-27_16-28-31
System,0.0,0.0,NONE,2025-04-27_16-28-31
SEM_NOME,0.0,0.51,NONE,2025-04-27_16-28-31
Registry,0.0,0.15,NONE,2025-04-27_16-28-31
smss.exe,0.0,0.0,NONE,2025-04-27_16-28-31
csrss.exe,0.0,0.03,NONE,2025-04-27_16-28-31
svchost.exe,0.0,3.92,NONE,2025-04-27_16-28-31
AcerSense.exe,0.0,1.84,NONE,2025-04-27_16-28-31
RstMwService.exe,0.0,0.0,NONE,2025-04-27_16-28-31
wininit.exe,0.0,0.0,LISTEN,2025-04-27_16-28-32
winlogon.exe,0.0,0.01,NONE,2025-04-27_16-28-32
Photos.exe,0.0,0.42,NONE,2025-04-27_16-28-32
services.exe,0.0,0.07,LISTEN,2025-04-27_16-28-32
LsaIso.exe,0.0,0.02,NONE,2025-04-27_16-28-32
lsass.exe,0.0,0.14,LISTEN,2025-04-27_16-28-32
conhost.exe,0.0,0.08,NONE,2025-04-27_16-28-32
fontdrvhost.exe,0.0,0.01,NONE,2025-04-27_16-28-32
WUDFHost.exe,0.0,0.01,ESTABLISHED,2025-04-27_16-28-32
dwm.exe,0.0,1.05,NONE,2025-04-27_16-28-32
ShellExperienceHost.exe,0.0,0.0,NONE,2025-04-27_16-28-32
jucheck.exe,0.0,0.03,NONE,2025-04-27_16-28-33
WindowsTerminal.exe,0.0,0.59,NONE,2025-04-27_16-28-33
msedge.exe,0.0,14.27,NONE,2025-04-27_16-28-33
IntelCpHDCPSvc.exe,0.0,0.0,NONE,2025-04-27_16-28-33
Discord.exe,0.0,1.69,NONE,2025-04-27_16-28-33
Code.exe,0.0,10.26,NONE,2025-04-27_16-28-33
explorer.exe,0.0,1.45,NONE,2025-04-27_16-28-34
crashpad_handler.exe,0.0,0.01,NONE,2025-04-27_16-28-34
MemCompression,0.0,4.57,NONE,2025-04-27_16-28-34
jetbrains-toolbox.exe,152.1,1.0,LISTEN,2025-04-27_16-28-35
RtkAudUService64.exe,0.0,0.1,NONE,2025-04-27_16-28-35
WmiPrvSE.exe,0.0,0.19,NONE,2025-04-27_16-28-35
NgcIso.exe,0.0,0.0,NONE,2025-04-27_16-28-35
spoolsv.exe,0.0,0.0,LISTEN,2025-04-27_16-28-35
OfficeClickToRun.exe,0.0,0.07,NONE,2025-04-27_16-28-35
wlanext.exe,0.0,0.0,NONE,2025-04-27_16-28-35
servicehost.exe,0.0,0.15,NONE,2025-04-27_16-28-36
RuntimeBroker.exe,0.0,0.33,NONE,2025-04-27_16-28-36
jhi_service.exe,0.0,0.0,LISTEN,2025-04-27_16-28-36
AAADSvc.exe,0.0,0.0,NONE,2025-04-27_16-28-36
ADESv2Svc.exe,0.0,0.0,ESTABLISHED,2025-04-27_16-28-36
AcerCCAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-28-36
AcerServiceWrapper.exe,0.0,0.01,NONE,2025-04-27_16-28-36
AcerDIAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-28-36
AcerSystemCentralService.exe,0.0,0.04,NONE,2025-04-27_16-28-36
AcerPixyService.exe,0.0,0.0,LISTEN,2025-04-27_16-28-36
AcerQAAgent.exe,0.0,0.03,LISTEN,2025-04-27_16-28-36
