nome,cpu%,ram%,status,dataHora
System Idle Process,1135.5,0.0,TIME_WAIT,2025-04-27_16-34-56
System,0.0,0.0,LISTEN,2025-04-27_16-34-56
SEM_NOME,0.0,0.51,NONE,2025-04-27_16-34-56
Registry,0.0,0.15,NONE,2025-04-27_16-34-56
smss.exe,0.0,0.0,NONE,2025-04-27_16-34-57
csrss.exe,0.0,0.04,NONE,2025-04-27_16-34-57
svchost.exe,0.0,3.98,NONE,2025-04-27_16-34-57
AcerSense.exe,0.0,2.01,NONE,2025-04-27_16-34-57
RstMwService.exe,0.0,0.0,NONE,2025-04-27_16-34-57
wininit.exe,0.0,0.0,LISTEN,2025-04-27_16-34-57
winlogon.exe,0.0,0.01,NONE,2025-04-27_16-34-57
Photos.exe,0.0,0.47,NONE,2025-04-27_16-34-57
services.exe,0.0,0.07,LISTEN,2025-04-27_16-34-57
LsaIso.exe,0.0,0.01,NONE,2025-04-27_16-34-57
lsass.exe,0.0,0.14,LISTEN,2025-04-27_16-34-57
conhost.exe,0.0,0.22,NONE,2025-04-27_16-34-57
fontdrvhost.exe,0.0,0.01,NONE,2025-04-27_16-34-57
WUDFHost.exe,0.0,0.01,ESTABLISHED,2025-04-27_16-34-57
dwm.exe,0.0,1.0,NONE,2025-04-27_16-34-58
ShellExperienceHost.exe,0.0,0.0,NONE,2025-04-27_16-34-58
jucheck.exe,0.0,0.03,NONE,2025-04-27_16-34-58
WindowsTerminal.exe,0.0,0.52,NONE,2025-04-27_16-34-58
msedge.exe,134.9,12.4,NONE,2025-04-27_16-34-58
IntelCpHDCPSvc.exe,0.0,0.0,NONE,2025-04-27_16-34-58
Discord.exe,0.0,3.17,NONE,2025-04-27_16-34-59
Code.exe,0.0,13.3,NONE,2025-04-27_16-34-59
explorer.exe,0.0,1.6,NONE,2025-04-27_16-34-59
crashpad_handler.exe,0.0,0.0,NONE,2025-04-27_16-34-59
MemCompression,0.0,6.91,NONE,2025-04-27_16-34-59
jetbrains-toolbox.exe,0.0,0.94,LISTEN,2025-04-27_16-35-00
RtkAudUService64.exe,0.0,0.09,NONE,2025-04-27_16-35-00
WmiPrvSE.exe,0.0,0.2,NONE,2025-04-27_16-35-00
NgcIso.exe,0.0,0.0,NONE,2025-04-27_16-35-00
spoolsv.exe,0.0,0.0,LISTEN,2025-04-27_16-35-00
OfficeClickToRun.exe,0.0,0.08,NONE,2025-04-27_16-35-01
wlanext.exe,0.0,0.0,NONE,2025-04-27_16-35-01
servicehost.exe,0.0,0.16,NONE,2025-04-27_16-35-01
RuntimeBroker.exe,0.0,0.33,NONE,2025-04-27_16-35-01
jhi_service.exe,0.0,0.0,LISTEN,2025-04-27_16-35-01
AAADSvc.exe,0.0,0.0,NONE,2025-04-27_16-35-01
ADESv2Svc.exe,0.0,0.0,ESTABLISHED,2025-04-27_16-35-01
AcerCCAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-35-01
AcerServiceWrapper.exe,0.0,0.01,NONE,2025-04-27_16-35-01
AcerDIAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-35-01
AcerSystemCentralService.exe,0.0,0.04,NONE,2025-04-27_16-35-01
