nome,cpu%,ram%,status,dataHora
System Idle Process,2013.3,0.0,TIME_WAIT,2025-04-27_16-29-36
System,0.0,0.0,NONE,2025-04-27_16-29-36
SEM_NOME,0.0,0.51,NONE,2025-04-27_16-29-36
Registry,0.0,0.15,NONE,2025-04-27_16-29-36
smss.exe,0.0,0.0,NONE,2025-04-27_16-29-36
csrss.exe,0.0,0.03,NONE,2025-04-27_16-29-36
svchost.exe,0.0,3.94,NONE,2025-04-27_16-29-36
AcerSense.exe,0.0,1.88,NONE,2025-04-27_16-29-36
RstMwService.exe,0.0,0.0,NONE,2025-04-27_16-29-36
wininit.exe,0.0,0.0,LISTEN,2025-04-27_16-29-36
winlogon.exe,0.0,0.01,NONE,2025-04-27_16-29-36
Photos.exe,0.0,0.42,NONE,2025-04-27_16-29-36
services.exe,0.0,0.07,LISTEN,2025-04-27_16-29-36
LsaIso.exe,0.0,0.02,NONE,2025-04-27_16-29-37
lsass.exe,0.0,0.14,LISTEN,2025-04-27_16-29-37
conhost.exe,0.0,0.08,NONE,2025-04-27_16-29-37
fontdrvhost.exe,0.0,0.01,NONE,2025-04-27_16-29-37
WUDFHost.exe,0.0,0.01,ESTABLISHED,2025-04-27_16-29-37
dwm.exe,0.0,1.13,NONE,2025-04-27_16-29-37
ShellExperienceHost.exe,0.0,0.0,NONE,2025-04-27_16-29-37
jucheck.exe,0.0,0.03,NONE,2025-04-27_16-29-37
WindowsTerminal.exe,0.0,0.59,NONE,2025-04-27_16-29-37
msedge.exe,291.5,15.36,NONE,2025-04-27_16-29-37
IntelCpHDCPSvc.exe,0.0,0.0,NONE,2025-04-27_16-29-38
Discord.exe,139.3,1.79,NONE,2025-04-27_16-29-38
Code.exe,0.0,11.12,NONE,2025-04-27_16-29-38
explorer.exe,0.0,1.5,NONE,2025-04-27_16-29-38
crashpad_handler.exe,0.0,0.01,NONE,2025-04-27_16-29-39
MemCompression,0.0,6.63,NONE,2025-04-27_16-29-39
jetbrains-toolbox.exe,0.0,1.02,LISTEN,2025-04-27_16-29-39
RtkAudUService64.exe,0.0,0.1,NONE,2025-04-27_16-29-39
WmiPrvSE.exe,0.0,0.02,NONE,2025-04-27_16-29-40
NgcIso.exe,0.0,0.0,NONE,2025-04-27_16-29-40
spoolsv.exe,0.0,0.0,LISTEN,2025-04-27_16-29-40
OfficeClickToRun.exe,0.0,0.08,NONE,2025-04-27_16-29-40
wlanext.exe,0.0,0.0,NONE,2025-04-27_16-29-40
servicehost.exe,0.0,0.15,NONE,2025-04-27_16-29-40
RuntimeBroker.exe,0.0,0.34,NONE,2025-04-27_16-29-40
jhi_service.exe,0.0,0.0,LISTEN,2025-04-27_16-29-41
AAADSvc.exe,0.0,0.0,NONE,2025-04-27_16-29-41
ADESv2Svc.exe,0.0,0.0,ESTABLISHED,2025-04-27_16-29-41
AcerCCAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-29-41
AcerServiceWrapper.exe,0.0,0.01,NONE,2025-04-27_16-29-41
AcerDIAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-29-41
AcerSystemCentralService.exe,0.0,0.05,NONE,2025-04-27_16-29-41
AcerPixyService.exe,0.0,0.0,LISTEN,2025-04-27_16-29-41
AcerQAAgent.exe,0.0,0.03,LISTEN,2025-04-27_16-29-41
AcerEZService.exe,0.0,0.08,LISTEN,2025-04-27_16-29-41
OneApp.IGCC.WinService.exe,0.0,0.06,NONE,2025-04-27_16-29-41
IntelAudioService.exe,0.0,0.04,NONE,2025-04-27_16-29-41
GooglePlayGamesServices.exe,0.0,0.14,NONE,2025-04-27_16-29-41
MpDefenderCoreService.exe,0.0,0.04,NONE,2025-04-27_16-29-41
