nome,cpu%,ram%,status,dataHora
System Idle Process,1093.9,0.0,TIME_WAIT,2025-04-27_16-35-31
System,0.0,0.0,LISTEN,2025-04-27_16-35-31
SEM_NOME,0.0,0.51,NONE,2025-04-27_16-35-31
Registry,0.0,0.15,NONE,2025-04-27_16-35-31
smss.exe,0.0,0.0,NONE,2025-04-27_16-35-32
csrss.exe,0.0,0.04,NONE,2025-04-27_16-35-32
svchost.exe,0.0,3.96,NONE,2025-04-27_16-35-32
AcerSense.exe,0.0,2.04,NONE,2025-04-27_16-35-32
RstMwService.exe,0.0,0.0,NONE,2025-04-27_16-35-32
wininit.exe,0.0,0.0,LISTEN,2025-04-27_16-35-32
winlogon.exe,0.0,0.01,NONE,2025-04-27_16-35-32
Photos.exe,0.0,0.47,NONE,2025-04-27_16-35-32
services.exe,0.0,0.07,LISTEN,2025-04-27_16-35-32
LsaIso.exe,0.0,0.01,NONE,2025-04-27_16-35-32
lsass.exe,0.0,0.14,LISTEN,2025-04-27_16-35-32
conhost.exe,0.0,0.22,NONE,2025-04-27_16-35-32
fontdrvhost.exe,0.0,0.01,NONE,2025-04-27_16-35-32
WUDFHost.exe,0.0,0.01,ESTABLISHED,2025-04-27_16-35-33
dwm.exe,0.0,1.01,NONE,2025-04-27_16-35-33
ShellExperienceHost.exe,0.0,0.0,NONE,2025-04-27_16-35-33
jucheck.exe,0.0,0.03,NONE,2025-04-27_16-35-33
WindowsTerminal.exe,0.0,0.52,NONE,2025-04-27_16-35-33
msedge.exe,0.0,12.82,NONE,2025-04-27_16-35-33
IntelCpHDCPSvc.exe,0.0,0.0,NONE,2025-04-27_16-35-34
Discord.exe,0.0,2.75,NONE,2025-04-27_16-35-34
Code.exe,0.0,13.01,NONE,2025-04-27_16-35-34
explorer.exe,0.0,1.61,NONE,2025-04-27_16-35-34
crashpad_handler.exe,0.0,0.0,NONE,2025-04-27_16-35-35
MemCompression,0.0,6.88,NONE,2025-04-27_16-35-35
jetbrains-toolbox.exe,0.0,0.94,LISTEN,2025-04-27_16-35-36
RtkAudUService64.exe,0.0,0.09,NONE,2025-04-27_16-35-36
WmiPrvSE.exe,0.0,0.19,NONE,2025-04-27_16-35-36
NgcIso.exe,0.0,0.0,NONE,2025-04-27_16-35-36
spoolsv.exe,0.0,0.0,LISTEN,2025-04-27_16-35-37
OfficeClickToRun.exe,0.0,0.08,NONE,2025-04-27_16-35-37
wlanext.exe,0.0,0.0,NONE,2025-04-27_16-35-37
