nome,cpu%,ram%,status,dataHora
System Idle Process,1014.3,0.0,NONE,2025-04-27_16-34-41
System,0.0,0.0,LISTEN,2025-04-27_16-34-41
SEM_NOME,0.0,0.51,NONE,2025-04-27_16-34-41
Registry,0.0,0.15,NONE,2025-04-27_16-34-41
smss.exe,0.0,0.0,NONE,2025-04-27_16-34-41
csrss.exe,0.0,0.04,NONE,2025-04-27_16-34-41
svchost.exe,0.0,3.94,NONE,2025-04-27_16-34-41
AcerSense.exe,0.0,2.01,NONE,2025-04-27_16-34-42
RstMwService.exe,0.0,0.0,NONE,2025-04-27_16-34-42
wininit.exe,0.0,0.0,LISTEN,2025-04-27_16-34-42
winlogon.exe,0.0,0.01,NONE,2025-04-27_16-34-42
Photos.exe,0.0,0.47,NONE,2025-04-27_16-34-42
services.exe,0.0,0.07,LISTEN,2025-04-27_16-34-42
LsaIso.exe,0.0,0.01,NONE,2025-04-27_16-34-42
lsass.exe,0.0,0.14,LISTEN,2025-04-27_16-34-42
conhost.exe,0.0,0.22,NONE,2025-04-27_16-34-42
fontdrvhost.exe,0.0,0.01,NONE,2025-04-27_16-34-42
WUDFHost.exe,0.0,0.01,ESTABLISHED,2025-04-27_16-34-42
dwm.exe,0.0,0.86,NONE,2025-04-27_16-34-42
ShellExperienceHost.exe,0.0,0.0,NONE,2025-04-27_16-34-42
jucheck.exe,0.0,0.03,NONE,2025-04-27_16-34-43
WindowsTerminal.exe,0.0,0.52,NONE,2025-04-27_16-34-43
msedge.exe,0.0,11.56,NONE,2025-04-27_16-34-43
IntelCpHDCPSvc.exe,0.0,0.0,NONE,2025-04-27_16-34-43
Discord.exe,0.0,3.17,NONE,2025-04-27_16-34-44
Code.exe,148.1,13.47,NONE,2025-04-27_16-34-44
explorer.exe,0.0,1.57,NONE,2025-04-27_16-34-44
crashpad_handler.exe,0.0,0.0,NONE,2025-04-27_16-34-44
MemCompression,0.0,6.88,NONE,2025-04-27_16-34-44
jetbrains-toolbox.exe,0.0,0.94,LISTEN,2025-04-27_16-34-45
RtkAudUService64.exe,0.0,0.09,NONE,2025-04-27_16-34-45
WmiPrvSE.exe,0.0,0.2,NONE,2025-04-27_16-34-45
NgcIso.exe,0.0,0.0,NONE,2025-04-27_16-34-45
spoolsv.exe,0.0,0.0,LISTEN,2025-04-27_16-34-46
OfficeClickToRun.exe,0.0,0.08,NONE,2025-04-27_16-34-46
wlanext.exe,0.0,0.0,NONE,2025-04-27_16-34-46
servicehost.exe,0.0,0.16,NONE,2025-04-27_16-34-46
RuntimeBroker.exe,0.0,0.33,NONE,2025-04-27_16-34-46
jhi_service.exe,0.0,0.0,LISTEN,2025-04-27_16-34-46
AAADSvc.exe,0.0,0.0,NONE,2025-04-27_16-34-46
ADESv2Svc.exe,0.0,0.0,ESTABLISHED,2025-04-27_16-34-46
AcerCCAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-34-47
AcerServiceWrapper.exe,0.0,0.01,NONE,2025-04-27_16-34-47
AcerDIAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-34-47
AcerSystemCentralService.exe,0.0,0.04,NONE,2025-04-27_16-34-47
AcerPixyService.exe,0.0,0.0,LISTEN,2025-04-27_16-34-47
AcerQAAgent.exe,0.0,0.03,ESTABLISHED,2025-04-27_16-34-47
AcerEZService.exe,0.0,0.08,LISTEN,2025-04-27_16-34-47
OneApp.IGCC.WinService.exe,0.0,0.06,NONE,2025-04-27_16-34-47
IntelAudioService.exe,0.0,0.03,NONE,2025-04-27_16-34-47
GooglePlayGamesServices.exe,0.0,0.15,NONE,2025-04-27_16-34-47
MpDefenderCoreService.exe,0.0,0.05,NONE,2025-04-27_16-34-47
ARTAimmxService.exe,0.0,0.0,NONE,2025-04-27_16-34-47
ipf_uf.exe,0.0,0.0,NONE,2025-04-27_16-34-47
