nome,cpu%,ram%,status,dataHora
System Idle Process,2123.1,0.0,TIME_WAIT,2025-04-27_16-26-57
System,0.0,0.0,LISTEN,2025-04-27_16-26-57
SEM_NOME,0.0,0.51,NONE,2025-04-27_16-26-57
Registry,0.0,0.15,NONE,2025-04-27_16-26-57
smss.exe,0.0,0.0,NONE,2025-04-27_16-26-57
csrss.exe,0.0,0.04,NONE,2025-04-27_16-26-57
svchost.exe,0.0,3.81,NONE,2025-04-27_16-26-57
AcerSense.exe,0.0,1.77,NONE,2025-04-27_16-26-57
RstMwService.exe,0.0,0.0,NONE,2025-04-27_16-26-57
wininit.exe,0.0,0.0,LISTEN,2025-04-27_16-26-57
winlogon.exe,0.0,0.01,NONE,2025-04-27_16-26-57
Photos.exe,0.0,0.42,NONE,2025-04-27_16-26-57
services.exe,0.0,0.07,LISTEN,2025-04-27_16-26-57
LsaIso.exe,0.0,0.02,NONE,2025-04-27_16-26-57
lsass.exe,0.0,0.14,LISTEN,2025-04-27_16-26-57
conhost.exe,0.0,0.08,NONE,2025-04-27_16-26-58
fontdrvhost.exe,0.0,0.01,NONE,2025-04-27_16-26-58
WUDFHost.exe,0.0,0.01,ESTABLISHED,2025-04-27_16-26-58
dwm.exe,0.0,0.82,NONE,2025-04-27_16-26-58
ShellExperienceHost.exe,0.0,0.0,NONE,2025-04-27_16-26-58
jucheck.exe,0.0,0.03,NONE,2025-04-27_16-26-58
WindowsTerminal.exe,0.0,0.62,NONE,2025-04-27_16-26-58
msedge.exe,0.0,19.43,NONE,2025-04-27_16-26-58
IntelCpHDCPSvc.exe,0.0,0.0,NONE,2025-04-27_16-26-59
Discord.exe,0.0,2.61,NONE,2025-04-27_16-26-59
Code.exe,146.4,10.66,NONE,2025-04-27_16-26-59
explorer.exe,0.0,1.48,NONE,2025-04-27_16-26-59
crashpad_handler.exe,0.0,0.01,NONE,2025-04-27_16-27-00
MemCompression,0.0,4.38,NONE,2025-04-27_16-27-00
jetbrains-toolbox.exe,0.0,3.51,LISTEN,2025-04-27_16-27-00
RtkAudUService64.exe,0.0,0.12,NONE,2025-04-27_16-27-00
WmiPrvSE.exe,0.0,0.21,NONE,2025-04-27_16-27-01
NgcIso.exe,0.0,0.0,NONE,2025-04-27_16-27-01
spoolsv.exe,0.0,0.0,LISTEN,2025-04-27_16-27-01
OfficeClickToRun.exe,0.0,0.08,NONE,2025-04-27_16-27-01
wlanext.exe,0.0,0.0,NONE,2025-04-27_16-27-01
servicehost.exe,0.0,0.15,NONE,2025-04-27_16-27-01
RuntimeBroker.exe,0.0,0.75,NONE,2025-04-27_16-27-01
jhi_service.exe,0.0,0.0,LISTEN,2025-04-27_16-27-02
AAADSvc.exe,0.0,0.0,NONE,2025-04-27_16-27-02
ADESv2Svc.exe,0.0,0.0,LISTEN,2025-04-27_16-27-02
AcerCCAgent.exe,0.0,0.01,ESTABLISHED,2025-04-27_16-27-02
AcerServiceWrapper.exe,0.0,0.01,NONE,2025-04-27_16-27-02
AcerDIAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-27-02
AcerSystemCentralService.exe,0.0,0.04,NONE,2025-04-27_16-27-02
AcerPixyService.exe,0.0,0.0,LISTEN,2025-04-27_16-27-02
AcerQAAgent.exe,0.0,0.04,LISTEN,2025-04-27_16-27-02
AcerEZService.exe,0.0,0.08,LISTEN,2025-04-27_16-27-02
OneApp.IGCC.WinService.exe,0.0,0.06,NONE,2025-04-27_16-27-02
IntelAudioService.exe,0.0,0.04,NONE,2025-04-27_16-27-03
GooglePlayGamesServices.exe,0.0,0.14,NONE,2025-04-27_16-27-03
MpDefenderCoreService.exe,0.0,0.04,NONE,2025-04-27_16-27-03
ARTAimmxService.exe,0.0,0.0,NONE,2025-04-27_16-27-03
ipf_uf.exe,0.0,0.0,NONE,2025-04-27_16-27-03
mysqld.exe,0.0,0.08,NONE,2025-04-27_16-27-03
WidgetService.exe,0.0,0.03,NONE,2025-04-27_16-27-03
WMIRegistrationService.exe,0.0,0.0,NONE,2025-04-27_16-27-03
MsMpEng.exe,0.0,1.5,NONE,2025-04-27_16-27-03
ipfsvc.exe,0.0,0.0,ESTABLISHED,2025-04-27_16-27-03
wslservice.exe,0.0,0.05,NONE,2025-04-27_16-27-04
AcerSysMonitorService.exe,0.0,0.0,ESTABLISHED,2025-04-27_16-27-04
dllhost.exe,0.0,0.02,NONE,2025-04-27_16-27-04
UserOOBEBroker.exe,0.0,0.0,NONE,2025-04-27_16-27-04
SearchIndexer.exe,0.0,0.19,NONE,2025-04-27_16-27-04
AggregatorHost.exe,0.0,0.04,NONE,2025-04-27_16-27-04
unsecapp.exe,0.0,0.03,NONE,2025-04-27_16-27-04
msedgewebview2.exe,0.0,0.3,NONE,2025-04-27_16-27-04
OpenConsole.exe,0.0,0.05,NONE,2025-04-27_16-27-04
AcerService.exe,0.0,0.02,LISTEN,2025-04-27_16-27-04
taskhostw.exe,0.0,0.12,NONE,2025-04-27_16-27-05
uihost.exe,0.0,0.16,NONE,2025-04-27_16-27-05
sihost.exe,0.0,0.16,NONE,2025-04-27_16-27-05
ipf_helper.exe,0.0,0.02,NONE,2025-04-27_16-27-05
HostAppServiceUpdater.exe,0.0,0.0,NONE,2025-04-27_16-27-05
pet.exe,0.0,0.02,NONE,2025-04-27_16-27-05
ADESv2BW.exe,0.0,0.0,NONE,2025-04-27_16-27-05
NisSrv.exe,0.0,0.04,NONE,2025-04-27_16-27-05
StartMenuExperienceHost.exe,0.0,0.15,NONE,2025-04-27_16-27-05
SearchHost.exe,0.0,0.06,NONE,2025-04-27_16-27-05
SecurityHealthSystray.exe,0.0,0.01,NONE,2025-04-27_16-27-05
Widgets.exe,0.0,0.18,NONE,2025-04-27_16-27-05
powershell.exe,0.0,0.82,NONE,2025-04-27_16-27-05
ACCUserPS.exe,0.0,0.0,NONE,2025-04-27_16-27-06
ctfmon.exe,0.0,0.12,NONE,2025-04-27_16-27-06
AQAUserPS.exe,0.0,0.05,ESTABLISHED,2025-04-27_16-27-06
AcerSysHardwareService.exe,0.0,0.0,NONE,2025-04-27_16-27-06
StorPSCTL.exe,0.0,0.03,NONE,2025-04-27_16-27-06
SecurityHealthService.exe,0.0,0.02,NONE,2025-04-27_16-27-06
ShellHost.exe,0.0,0.07,NONE,2025-04-27_16-27-07
ssh.exe,0.0,0.08,ESTABLISHED,2025-04-27_16-27-07
MySQLWorkbench.exe,0.0,0.7,ESTABLISHED,2025-04-27_16-27-07
FileSyncHelper.exe,0.0,0.01,NONE,2025-04-27_16-27-07
OneDrive.exe,0.0,0.35,ESTABLISHED,2025-04-27_16-27-07
Microsoft.SharePoint.exe,0.0,0.11,LISTEN,2025-04-27_16-27-08
python.exe,0.0,0.71,ESTABLISHED,2025-04-27_16-27-08
cmd.exe,0.0,0.0,NONE,2025-04-27_16-27-08
CrossDeviceService.exe,0.0,0.08,NONE,2025-04-27_16-27-08
jusched.exe,0.0,0.0,NONE,2025-04-27_16-27-08
FileCoAuth.exe,0.0,0.11,NONE,2025-04-27_16-27-08
SearchProtocolHost.exe,0.0,0.12,NONE,2025-04-27_16-27-08
SnippingTool.exe,0.0,0.1,NONE,2025-04-27_16-27-08
backgroundTaskHost.exe,0.0,0.23,NONE,2025-04-27_16-27-08
audiodg.exe,0.0,0.24,NONE,2025-04-27_16-27-08
Notepad.exe,0.0,0.17,NONE,2025-04-27_16-27-08
