nome,cpu%,ram%,status,dataHora
System Idle Process,924.6,0.0,TIME_WAIT,2025-04-27_16-35-14
System,0.0,0.0,LISTEN,2025-04-27_16-35-14
SEM_NOME,0.0,0.51,NONE,2025-04-27_16-35-14
Registry,0.0,0.15,NONE,2025-04-27_16-35-14
smss.exe,0.0,0.0,NONE,2025-04-27_16-35-14
csrss.exe,0.0,0.04,NONE,2025-04-27_16-35-14
svchost.exe,0.0,3.95,NONE,2025-04-27_16-35-14
AcerSense.exe,0.0,2.02,NONE,2025-04-27_16-35-15
RstMwService.exe,0.0,0.0,NONE,2025-04-27_16-35-15
wininit.exe,0.0,0.0,LISTEN,2025-04-27_16-35-15
winlogon.exe,0.0,0.01,NONE,2025-04-27_16-35-15
Photos.exe,0.0,0.47,NONE,2025-04-27_16-35-15
services.exe,0.0,0.07,LISTEN,2025-04-27_16-35-15
LsaIso.exe,0.0,0.01,NONE,2025-04-27_16-35-15
lsass.exe,0.0,0.14,LISTEN,2025-04-27_16-35-15
conhost.exe,0.0,0.22,NONE,2025-04-27_16-35-15
fontdrvhost.exe,0.0,0.01,NONE,2025-04-27_16-35-15
WUDFHost.exe,0.0,0.01,ESTABLISHED,2025-04-27_16-35-15
dwm.exe,0.0,0.87,NONE,2025-04-27_16-35-16
ShellExperienceHost.exe,0.0,0.0,NONE,2025-04-27_16-35-16
jucheck.exe,0.0,0.03,NONE,2025-04-27_16-35-16
WindowsTerminal.exe,0.0,0.52,NONE,2025-04-27_16-35-16
msedge.exe,0.0,12.29,NONE,2025-04-27_16-35-16
IntelCpHDCPSvc.exe,0.0,0.0,NONE,2025-04-27_16-35-17
Discord.exe,0.0,2.81,NONE,2025-04-27_16-35-17
Code.exe,145.2,13.25,NONE,2025-04-27_16-35-17
explorer.exe,0.0,1.6,NONE,2025-04-27_16-35-17
crashpad_handler.exe,0.0,0.0,NONE,2025-04-27_16-35-18
MemCompression,0.0,6.89,NONE,2025-04-27_16-35-18
jetbrains-toolbox.exe,0.0,0.94,LISTEN,2025-04-27_16-35-18
RtkAudUService64.exe,0.0,0.09,NONE,2025-04-27_16-35-19
WmiPrvSE.exe,0.0,0.2,NONE,2025-04-27_16-35-19
NgcIso.exe,0.0,0.0,NONE,2025-04-27_16-35-19
spoolsv.exe,0.0,0.0,LISTEN,2025-04-27_16-35-19
OfficeClickToRun.exe,0.0,0.08,NONE,2025-04-27_16-35-20
wlanext.exe,0.0,0.0,NONE,2025-04-27_16-35-20
servicehost.exe,0.0,0.16,NONE,2025-04-27_16-35-20
RuntimeBroker.exe,0.0,0.33,NONE,2025-04-27_16-35-20
jhi_service.exe,0.0,0.0,LISTEN,2025-04-27_16-35-20
AAADSvc.exe,0.0,0.0,NONE,2025-04-27_16-35-20
ADESv2Svc.exe,0.0,0.0,ESTABLISHED,2025-04-27_16-35-20
AcerCCAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-35-20
AcerServiceWrapper.exe,0.0,0.01,NONE,2025-04-27_16-35-20
AcerDIAgent.exe,0.0,0.01,LISTEN,2025-04-27_16-35-21
AcerSystemCentralService.exe,0.0,0.04,NONE,2025-04-27_16-35-21
AcerPixyService.exe,0.0,0.0,LISTEN,2025-04-27_16-35-21
