ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7890182144,93.7,532582400,5269305,5090396,2501.0,3,76.9,2025-04-20 17:57:25,4
7892926464,93.7,531513344,5269595,5090470,2501.0,3,68.6,2025-04-20 17:57:26,4
7897731072,93.8,524201984,5269794,5090533,2501.0,3,77.6,2025-04-20 17:57:28,4
7922429952,94.1,500416512,5270056,5090638,2501.0,3,84.3,2025-04-20 17:57:30,4
7934595072,94.2,488378368,5270385,5090709,2501.0,3,90.3,2025-04-20 17:57:31,4
7935160320,94.2,486977536,5270681,5090765,2501.0,3,69.1,2025-04-20 17:57:33,4
7949475840,94.3,480038912,5271009,5090859,2501.0,3,76.6,2025-04-20 17:57:34,4
7943602176,94.3,479526912,5271316,5090913,2501.0,3,84.8,2025-04-20 17:57:36,4
7948267520,94.4,474968064,5271595,5090973,2501.0,3,77.5,2025-04-20 17:57:37,4
7960989696,94.5,457719808,5271848,5091028,2501.0,3,96.4,2025-04-20 17:57:39,4
