ram_livre,rede_recv,ram_uso,cpu_ociosidade_dias,cpu_percent,rede_sent,ram_percent,cpu_freq,dataHora,maquinaId
619950080,446760,7802703872,4,11.6,155396,92.6,2501.0,2025-04-21 15:14:14,4
628432896,446774,7794229248,4,19.3,155409,92.5,2501.0,2025-04-21 15:14:16,4
654323712,446784,7768268800,4,10.4,155418,92.2,2501.0,2025-04-21 15:14:18,4
656859136,446794,7764135936,4,10.0,155428,92.2,2501.0,2025-04-21 15:14:20,4
661946368,446805,7760715776,4,11.7,155439,92.1,2501.0,2025-04-21 15:14:21,4
671145984,446814,7751987200,4,13.1,155448,92.0,2501.0,2025-04-21 15:14:23,4
652709888,446868,7769817088,4,25.7,155512,92.2,2501.0,2025-04-21 15:14:25,4
653234176,446881,7769427968,4,8.3,155523,92.2,2501.0,2025-04-21 15:14:27,4
654053376,446905,7769677824,4,11.4,155553,92.2,2500.0,2025-04-21 15:14:29,4
668196864,446919,7754383360,4,10.9,155564,92.1,2501.0,2025-04-21 15:14:31,4
