ram_percent,cpu_percent,ram_livre,dataHora,maquinaId
92.3,76.2,652742656,2025-04-26 19:03:28,4
92.3,90.0,645779456,2025-04-26 19:03:30,4
92.4,63.5,645337088,2025-04-26 19:03:31,4
92.4,44.5,641884160,2025-04-26 19:03:32,4
92.4,44.0,642719744,2025-04-26 19:03:33,4
92.1,53.2,664129536,2025-04-26 19:03:35,4
92.2,67.6,654893056,2025-04-26 19:03:36,4
92.4,42.0,643887104,2025-04-26 19:03:37,4
92.4,70.6,642007040,2025-04-26 19:03:39,4
92.4,51.9,643141632,2025-04-26 19:03:40,4
92.4,79.6,655011840,2025-04-26 19:03:42,4
92.1,84.5,661839872,2025-04-26 19:03:43,4
92.1,71.5,662667264,2025-04-26 19:03:45,4
92.1,41.9,663773184,2025-04-26 19:03:46,4
92.1,41.2,663666688,2025-04-26 19:03:47,4
92.1,32.0,663625728,2025-04-26 19:03:48,4
92.1,45.5,666542080,2025-04-26 19:03:49,4
91.2,45.0,744288256,2025-04-26 19:03:50,4
90.7,56.7,769216512,2025-04-26 19:03:52,4
91.1,72.9,747319296,2025-04-26 19:03:53,4
90.7,93.6,766058496,2025-04-26 19:03:56,4
91.3,100.0,765579264,2025-04-26 19:03:58,4
90.9,100.0,766791680,2025-04-26 19:03:59,4
91.0,100.0,757477376,2025-04-26 19:04:00,4
91.2,100.0,745381888,2025-04-26 19:04:02,4
91.2,82.1,737587200,2025-04-26 19:04:03,4
91.3,41.2,734842880,2025-04-26 19:04:04,4
91.4,40.2,727998464,2025-04-26 19:04:05,4
91.4,34.1,728154112,2025-04-26 19:04:06,4
91.4,21.5,726319104,2025-04-26 19:04:07,4
91.4,56.4,727597056,2025-04-26 19:04:09,4
91.4,34.8,726589440,2025-04-26 19:04:10,4
91.1,53.4,753291264,2025-04-26 19:04:11,4
91.1,30.2,753831936,2025-04-26 19:04:12,4
91.0,26.5,758177792,2025-04-26 19:04:13,4
91.0,51.1,754835456,2025-04-26 19:04:14,4
91.1,46.3,749924352,2025-04-26 19:04:15,4
91.1,47.1,747933696,2025-04-26 19:04:16,4
91.1,36.9,739647488,2025-04-26 19:04:18,4
91.2,32.0,739561472,2025-04-26 19:04:19,4
91.2,38.1,740032512,2025-04-26 19:04:20,4
91.1,61.6,747212800,2025-04-26 19:04:21,4
91.1,55.8,746471424,2025-04-26 19:04:22,4
91.1,38.4,747606016,2025-04-26 19:04:23,4
91.1,27.5,749686784,2025-04-26 19:04:25,4
91.1,44.8,745996288,2025-04-26 19:04:26,4
91.1,45.1,746635264,2025-04-26 19:04:27,4
91.3,61.9,730361856,2025-04-26 19:04:28,4
91.4,69.0,725536768,2025-04-26 19:04:30,4
91.5,66.1,709898240,2025-04-26 19:04:31,4
91.5,41.1,713920512,2025-04-26 19:04:32,4
91.5,59.7,720973824,2025-04-26 19:04:34,4
91.6,46.2,704614400,2025-04-26 19:04:35,4
91.9,79.0,682516480,2025-04-26 19:04:36,4
92.0,56.5,683163648,2025-04-26 19:04:38,4
92.1,76.2,681103360,2025-04-26 19:04:39,4
91.7,48.4,700588032,2025-04-26 19:04:40,4
91.3,64.0,732835840,2025-04-26 19:04:41,4
91.1,45.0,747540480,2025-04-26 19:04:42,4
90.7,45.1,780582912,2025-04-26 19:04:43,4
90.7,38.5,782217216,2025-04-26 19:04:45,4
90.8,16.2,779370496,2025-04-26 19:04:46,4
90.8,25.6,777809920,2025-04-26 19:04:47,4
91.2,44.5,739848192,2025-04-26 19:04:48,4
91.0,33.4,758829056,2025-04-26 19:04:49,4
91.0,14.1,761073664,2025-04-26 19:04:50,4
91.0,29.4,759992320,2025-04-26 19:04:51,4
90.9,15.4,765710336,2025-04-26 19:04:52,4
90.4,20.4,815579136,2025-04-26 19:04:53,4
90.4,36.8,810528768,2025-04-26 19:04:55,4
90.4,16.7,812371968,2025-04-26 19:04:56,4
90.3,19.2,814444544,2025-04-26 19:04:57,4
90.3,16.8,802627584,2025-04-26 19:04:58,4
90.5,15.0,802967552,2025-04-26 19:04:59,4
90.4,12.8,809295872,2025-04-26 19:05:00,4
90.5,23.8,806535168,2025-04-26 19:05:02,4
90.4,16.1,804478976,2025-04-26 19:05:03,4
90.5,12.0,804769792,2025-04-26 19:05:04,4
90.4,33.8,811749376,2025-04-26 19:05:05,4
90.4,11.1,810463232,2025-04-26 19:05:06,4
90.4,12.7,811114496,2025-04-26 19:05:07,4
90.3,13.5,818892800,2025-04-26 19:05:08,4
90.4,18.9,811433984,2025-04-26 19:05:09,4
90.3,16.5,815947776,2025-04-26 19:05:10,4
90.3,22.5,811802624,2025-04-26 19:05:11,4
90.4,48.5,809508864,2025-04-26 19:05:12,4
90.3,59.5,822853632,2025-04-26 19:05:14,4
90.3,38.5,818479104,2025-04-26 19:05:15,4
90.2,8.6,822386688,2025-04-26 19:05:16,4
90.2,14.0,827031552,2025-04-26 19:05:17,4
90.1,13.3,835502080,2025-04-26 19:05:18,4
90.1,13.0,832978944,2025-04-26 19:05:19,4
89.9,36.6,843833344,2025-04-26 19:05:20,4
89.9,21.3,847159296,2025-04-26 19:05:21,4
90.0,12.1,845103104,2025-04-26 19:05:22,4
90.6,62.7,807370752,2025-04-26 19:05:24,4
90.1,57.6,835321856,2025-04-26 19:05:25,4
90.0,47.8,843677696,2025-04-26 19:05:26,4
90.0,48.9,843345920,2025-04-26 19:05:27,4
90.0,27.5,845873152,2025-04-26 19:05:28,4
