cpu_percent,ram_percent,cpu_freq,dataHora,maquinaId
13.4,85.8,2501.0,2025-05-27 15:07:09,44
35.1,87.2,2501.0,2025-05-27 15:07:10,44
13.3,87.3,2501.0,2025-05-27 15:07:11,44
11.3,87.3,2501.0,2025-05-27 15:07:12,44
7.6,87.3,2501.0,2025-05-27 15:07:13,44
12.9,87.4,2501.0,2025-05-27 15:07:14,44
26.1,87.4,2501.0,2025-05-27 15:07:15,44
11.1,87.4,2501.0,2025-05-27 15:07:17,44
15.1,86.6,2501.0,2025-05-27 15:07:18,44
7.9,86.6,2501.0,2025-05-27 15:07:19,44
