ram_uso,cpu_freq,ram_percent,cpu_percent,cpu_ociosidade_dias,rede_sent,rede_recv,ram_livre,dataHora,maquinaId
7271305216,2501.0,86.3,36.4,5,7959,15289,1151369216,2025-04-21 19:23:59,4
7239614464,1200.0,86.0,18.9,5,7968,15302,1183420416,2025-04-21 19:24:00,4
7243223040,800.0,86.0,7.3,5,7972,15306,1180278784,2025-04-21 19:24:01,4
7244038144,2501.0,86.0,21.8,5,7978,15326,1179144192,2025-04-21 19:24:03,4
7236907008,2501.0,85.9,14.1,5,7978,15328,1188208640,2025-04-21 19:24:04,4
7225122816,800.0,85.8,31.8,5,7984,15332,1197883392,2025-04-21 19:24:05,4
7226585088,1400.0,85.8,11.8,5,7990,15340,1196511232,2025-04-21 19:24:06,4
7231569920,2501.0,85.9,22.3,5,7994,15362,1191116800,2025-04-21 19:24:07,4
7228682240,800.0,85.8,20.9,5,7994,15370,1194246144,2025-04-21 19:24:08,4
7245697024,2501.0,86.0,25.4,5,7998,15380,1176969216,2025-04-21 19:24:09,4
7243288576,2501.0,86.0,36.7,5,7999,15391,1180614656,2025-04-21 19:24:10,4
7239532544,1400.0,86.0,6.9,5,8001,15397,1177567232,2025-04-21 19:24:11,4
7239884800,1600.0,86.0,6.7,5,8002,15398,1184739328,2025-04-21 19:24:12,4
7241089024,1000.0,86.0,6.9,5,8005,15406,1181777920,2025-04-21 19:24:13,4
7238897664,800.0,85.9,4.7,5,8006,15416,1184247808,2025-04-21 19:24:15,4
7241818112,800.0,86.0,5.7,5,8006,15418,1181372416,2025-04-21 19:24:16,4
7238803456,800.0,85.9,3.6,5,8009,15419,1184223232,2025-04-21 19:24:17,4
7240835072,2501.0,86.0,11.0,5,8010,15425,1182228480,2025-04-21 19:24:18,4
7241207808,1200.0,86.0,9.7,5,8012,15430,1181818880,2025-04-21 19:24:19,4
7241891840,800.0,86.0,11.2,5,8025,15448,1180581888,2025-04-21 19:24:20,4
7243436032,1800.0,86.0,5.4,5,8028,15457,1174720512,2025-04-21 19:24:21,4
7271661568,2501.0,86.4,52.7,5,8041,15467,1147183104,2025-04-21 19:24:23,4
7252402176,2501.0,86.1,72.3,5,8056,15516,1162321920,2025-04-21 19:24:24,4
7235416064,800.0,85.9,21.3,5,8058,15525,1187246080,2025-04-21 19:24:25,4
7234990080,800.0,85.9,6.1,5,8068,15541,1187672064,2025-04-21 19:24:26,4
7235158016,2501.0,85.9,19.2,5,8071,15542,1187504128,2025-04-21 19:24:27,4
