ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7869804544,93.4,553254912,5252089,5086466,2501.0,3,48.7,2025-04-20 17:56:05,4
7887945728,93.7,528531456,5252363,5086533,2501.0,3,89.7,2025-04-20 17:56:06,4
7883030528,93.6,541368320,5252747,5086647,2501.0,3,95.4,2025-04-20 17:56:08,4
7881957376,93.6,542728192,5253180,5086706,2501.0,3,82.3,2025-04-20 17:56:09,4
7881658368,93.6,543653888,5253449,5086769,2501.0,3,54.1,2025-04-20 17:56:11,4
7882313728,93.6,540958720,5253768,5086820,2501.0,3,45.9,2025-04-20 17:56:12,4
7876820992,93.5,544759808,5253977,5086908,2501.0,3,88.1,2025-04-20 17:56:13,4
7897026560,93.8,525709312,5254332,5087010,2501.0,3,99.1,2025-04-20 17:56:15,4
7857926144,93.3,565571584,5254567,5087073,2501.0,3,85.4,2025-04-20 17:56:16,4
7849070592,93.2,574038016,5254884,5087125,2501.0,3,95.2,2025-04-20 17:56:17,4
