ram_percent,cpu_percent,ram_livre,dataHora,maquinaId
95.1,80.3,404008960,2025-04-26 18:42:12,4
95.2,86.8,365891584,2025-04-26 18:42:14,4
95.6,94.1,352448512,2025-04-26 18:42:15,4
95.2,100.0,390438912,2025-04-26 18:42:16,4
96.0,100.0,358772736,2025-04-26 18:42:18,4
96.0,100.0,316416000,2025-04-26 18:42:20,4
96.6,99.5,267407360,2025-04-26 18:42:23,4
96.9,100.0,272097280,2025-04-26 18:42:27,4
96.8,100.0,258945024,2025-04-26 18:42:28,4
97.2,100.0,212828160,2025-04-26 18:42:30,4
97.6,100.0,218058752,2025-04-26 18:42:33,4
96.6,98.5,293998592,2025-04-26 18:42:34,4
96.2,40.2,323551232,2025-04-26 18:42:35,4
96.0,49.1,335491072,2025-04-26 18:42:36,4
95.8,42.3,353435648,2025-04-26 18:42:37,4
95.8,19.1,357335040,2025-04-26 18:42:38,4
96.3,59.2,310530048,2025-04-26 18:42:39,4
96.3,74.6,312782848,2025-04-26 18:42:40,4
95.7,62.8,357982208,2025-04-26 18:42:41,4
94.7,92.4,433356800,2025-04-26 18:42:43,4
94.6,100.0,367157248,2025-04-26 18:42:46,4
96.0,100.0,326279168,2025-04-26 18:42:48,4
96.8,100.0,284131328,2025-04-26 18:42:50,4
96.6,100.0,285954048,2025-04-26 18:42:51,4
95.9,100.0,339587072,2025-04-26 18:42:53,4
96.3,99.8,284684288,2025-04-26 18:42:55,4
96.9,100.0,241606656,2025-04-26 18:42:57,4
97.7,100.0,210051072,2025-04-26 18:42:59,4
97.0,100.0,254132224,2025-04-26 18:43:01,4
96.9,79.9,262492160,2025-04-26 18:43:02,4
96.8,66.4,270028800,2025-04-26 18:43:03,4
96.3,72.3,309411840,2025-04-26 18:43:04,4
96.5,48.4,293441536,2025-04-26 18:43:05,4
96.6,78.5,286392320,2025-04-26 18:43:06,4
96.6,97.1,285278208,2025-04-26 18:43:08,4
96.3,94.2,320589824,2025-04-26 18:43:09,4
95.8,100.0,359100416,2025-04-26 18:43:11,4
95.6,90.6,371879936,2025-04-26 18:43:13,4
96.1,80.9,330219520,2025-04-26 18:43:14,4
95.9,70.4,350375936,2025-04-26 18:43:15,4
95.3,76.6,402198528,2025-04-26 18:43:16,4
95.0,89.9,401723392,2025-04-26 18:43:17,4
95.4,90.5,414076928,2025-04-26 18:43:19,4
95.7,100.0,344260608,2025-04-26 18:43:22,4
96.0,100.0,339697664,2025-04-26 18:43:23,4
95.7,100.0,360292352,2025-04-26 18:43:24,4
95.2,76.9,408338432,2025-04-26 18:43:25,4
95.6,86.8,370208768,2025-04-26 18:43:27,4
95.9,98.2,367001600,2025-04-26 18:43:29,4
96.7,98.5,303730688,2025-04-26 18:43:31,4
96.5,100.0,303005696,2025-04-26 18:43:32,4
96.6,100.0,285487104,2025-04-26 18:43:33,4
95.7,90.3,351092736,2025-04-26 18:43:34,4
96.9,91.8,253235200,2025-04-26 18:43:35,4
96.4,90.9,292691968,2025-04-26 18:43:37,4
96.5,100.0,284995584,2025-04-26 18:43:38,4
97.3,95.6,224841728,2025-04-26 18:43:40,4
97.0,100.0,257703936,2025-04-26 18:43:41,4
97.0,63.8,259411968,2025-04-26 18:43:42,4
96.7,84.3,261074944,2025-04-26 18:43:44,4
96.1,93.0,329920512,2025-04-26 18:43:45,4
96.5,100.0,286928896,2025-04-26 18:43:46,4
96.6,37.8,288890880,2025-04-26 18:43:48,4
96.4,41.2,320921600,2025-04-26 18:43:49,4
96.1,24.7,329203712,2025-04-26 18:43:50,4
96.1,12.7,333504512,2025-04-26 18:43:51,4
95.5,27.2,378314752,2025-04-26 18:43:52,4
94.9,16.2,431382528,2025-04-26 18:43:53,4
93.9,18.3,517443584,2025-04-26 18:43:54,4
94.4,82.8,475316224,2025-04-26 18:43:56,4
95.1,100.0,403001344,2025-04-26 18:43:59,4
95.0,100.0,417865728,2025-04-26 18:44:01,4
95.1,100.0,416989184,2025-04-26 18:44:02,4
95.4,100.0,387678208,2025-04-26 18:44:03,4
95.5,100.0,389595136,2025-04-26 18:44:05,4
95.7,99.8,370421760,2025-04-26 18:44:06,4
95.1,100.0,409636864,2025-04-26 18:44:08,4
95.0,100.0,417214464,2025-04-26 18:44:09,4
95.1,82.8,405979136,2025-04-26 18:44:10,4
95.1,87.8,391716864,2025-04-26 18:44:11,4
95.2,100.0,386953216,2025-04-26 18:44:13,4
95.5,83.1,377810944,2025-04-26 18:44:14,4
95.6,62.1,371535872,2025-04-26 18:44:15,4
95.8,93.6,373604352,2025-04-26 18:44:16,4
95.7,59.4,358129664,2025-04-26 18:44:17,4
95.5,50.9,380551168,2025-04-26 18:44:19,4
95.5,54.3,381665280,2025-04-26 18:44:20,4
95.2,45.1,403349504,2025-04-26 18:44:21,4
94.9,94.0,426582016,2025-04-26 18:44:23,4
94.4,49.2,468590592,2025-04-26 18:44:24,4
93.8,15.1,519843840,2025-04-26 18:44:25,4
92.9,48.7,594788352,2025-04-26 18:44:26,4
93.0,96.8,650137600,2025-04-26 18:44:28,4
92.4,97.8,635232256,2025-04-26 18:44:29,4
91.0,82.1,718417920,2025-04-26 18:44:30,4
90.6,98.0,794226688,2025-04-26 18:44:31,4
91.0,95.2,757936128,2025-04-26 18:44:33,4
91.3,66.2,735621120,2025-04-26 18:44:34,4
91.7,68.8,689192960,2025-04-26 18:44:35,4
91.9,80.5,675282944,2025-04-26 18:44:36,4
