ram_uso,cpu_freq,ram_percent,cpu_percent,cpu_ociosidade_dias,rede_sent,rede_recv,ram_livre,dataHora,maquinaId
7549767680,2501.0,89.6,12.8,5,36011,66542,872767488,2025-04-21 20:16:19,4
7552770048,2000.0,89.7,11.0,5,36011,66542,870912000,2025-04-21 20:16:20,4
7597977600,2501.0,90.2,19.5,5,36013,66548,824287232,2025-04-21 20:16:21,4
7764398080,2501.0,91.8,90.9,5,36026,66570,678256640,2025-04-21 20:16:22,4
7744253952,2501.0,91.9,100.0,5,36038,66628,680382464,2025-04-21 20:16:23,4
7748292608,2501.0,92.0,38.8,5,36040,66630,670953472,2025-04-21 20:16:25,4
7750291456,2501.0,92.0,14.5,5,36044,66633,672374784,2025-04-21 20:16:26,4
7750078464,2500.0,92.0,16.5,5,36065,66660,672796672,2025-04-21 20:16:27,4
7749701632,2501.0,92.0,64.4,5,36084,66682,674967552,2025-04-21 20:16:28,4
7736860672,2501.0,91.9,76.9,5,36105,66762,710197248,2025-04-21 20:16:29,4
7750021120,2501.0,92.0,80.5,5,36126,66848,671846400,2025-04-21 20:16:32,4
7750254592,2501.0,92.0,19.6,5,36128,66849,670769152,2025-04-21 20:16:33,4
7752859648,2501.0,92.0,41.8,5,36134,66869,669843456,2025-04-21 20:16:35,4
7738945536,2501.0,92.0,94.4,5,36169,66956,670732288,2025-04-21 20:16:37,4
7726317568,2501.0,91.7,98.5,5,36173,66980,697741312,2025-04-21 20:16:39,4
7701278720,2501.0,91.4,92.5,5,36174,66980,721383424,2025-04-21 20:16:40,4
7699316736,2501.0,91.4,15.8,5,36174,66985,723447808,2025-04-21 20:16:41,4
7703216128,2501.0,91.5,77.3,5,36183,67014,716464128,2025-04-21 20:16:42,4
7671361536,2501.0,91.1,100.0,5,36192,67028,728104960,2025-04-21 20:16:45,4
7682359296,2501.0,91.2,100.0,5,36236,67137,765009920,2025-04-21 20:16:49,4
7745392640,2501.0,92.0,63.0,5,36316,67301,677203968,2025-04-21 20:16:52,4
7802470400,2501.0,92.6,71.9,5,36354,67360,624439296,2025-04-21 20:16:54,4
7799640064,2501.0,92.6,77.0,5,36438,67466,622960640,2025-04-21 20:16:55,4
7795150848,2501.0,92.5,40.4,5,36444,67472,627863552,2025-04-21 20:16:56,4
7767310336,2501.0,92.2,94.4,5,36468,67521,680153088,2025-04-21 20:16:57,4
7779270656,2501.0,92.4,38.4,5,36468,67521,606162944,2025-04-21 20:16:58,4
7807561728,2501.0,92.7,81.2,5,36468,67523,615178240,2025-04-21 20:17:00,4
7820505088,2501.0,92.8,93.5,5,36479,67552,608538624,2025-04-21 20:17:02,4
7829544960,2501.0,93.0,79.9,5,36485,67553,594612224,2025-04-21 20:17:03,4
7840702464,2501.0,93.1,59.5,5,36497,67588,582119424,2025-04-21 20:17:04,4
7855120384,2501.0,93.3,62.3,5,36498,67599,567279616,2025-04-21 20:17:05,4
7878455296,2501.0,93.5,60.6,5,36498,67599,544100352,2025-04-21 20:17:07,4
7906492416,2501.0,93.9,76.2,5,36500,67604,516268032,2025-04-21 20:17:08,4
7942475776,2501.0,94.3,66.0,5,36504,67614,481607680,2025-04-21 20:17:10,4
7947833344,2501.0,94.4,74.1,5,36507,67631,474451968,2025-04-21 20:17:11,4
