ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7768166400,92.2,655593472,5284115,5094634,2501.0,3,41.0,2025-04-20 17:58:32,4
7766126592,92.2,656715776,5284424,5094726,2501.0,3,37.1,2025-04-20 17:58:33,4
7764725760,92.2,665112576,5284778,5094813,2501.0,3,38.4,2025-04-20 17:58:35,4
7762907136,92.2,661110784,5285092,5094865,2501.0,3,36.2,2025-04-20 17:58:36,4
7759953920,92.1,662798336,5285344,5094925,2501.0,3,28.3,2025-04-20 17:58:37,4
7762374656,92.2,660467712,5285570,5094998,2501.0,3,28.8,2025-04-20 17:58:38,4
7764926464,92.1,666021888,5285883,5095058,2501.0,3,38.8,2025-04-20 17:58:39,4
7770136576,92.3,652926976,5286152,5095108,2501.0,3,59.1,2025-04-20 17:58:41,4
7761301504,92.1,663855104,5286346,5095154,2501.0,3,59.0,2025-04-20 17:58:42,4
7753392128,92.1,669765632,5286570,5095248,2501.0,3,37.3,2025-04-20 17:58:43,4
