ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7927066624,94.1,496156672,5272570,5091214,2501.0,3,94.9,2025-04-20 17:57:43,4
7923265536,94.1,498110464,5272754,5091280,2501.0,3,99.5,2025-04-20 17:57:45,4
7933734912,94.2,489086976,5273047,5091345,2501.0,3,73.0,2025-04-20 17:57:46,4
7938416640,94.2,481488896,5273203,5091406,2501.0,3,100.0,2025-04-20 17:57:48,4
7979859968,94.8,438804480,5273471,5091472,2501.0,3,100.0,2025-04-20 17:57:50,4
7974940672,94.7,447856640,5273818,5091579,2501.0,3,97.2,2025-04-20 17:57:51,4
7988346880,94.9,433291264,5274154,5091655,2501.0,3,69.7,2025-04-20 17:57:52,4
7998029824,94.9,425402368,5274573,5091762,2501.0,3,70.5,2025-04-20 17:57:54,4
8003653632,95.0,417447936,5275014,5091882,2501.0,3,63.7,2025-04-20 17:57:55,4
8027959296,95.3,394764288,5275446,5091927,2501.0,3,74.2,2025-04-20 17:57:57,4
