ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7877799936,92.4,674684928,5280349,5093339,2501.0,3,43.5,2025-04-20 17:58:17,4
7756386304,92.1,666365952,5280707,5093403,2501.0,3,34.6,2025-04-20 17:58:18,4
7799377920,92.5,628355072,5281143,5093631,2501.0,3,72.2,2025-04-20 17:58:19,4
7806935040,92.7,617492480,5281469,5093734,2501.0,3,79.9,2025-04-20 17:58:21,4
7811284992,92.8,599977984,5281731,5093833,2501.0,3,85.0,2025-04-20 17:58:22,4
7831633920,93.0,590290944,5282048,5093916,2501.0,3,100.0,2025-04-20 17:58:23,4
7761231872,92.1,661577728,5282430,5094044,2501.0,3,82.9,2025-04-20 17:58:24,4
7752978432,92.0,669876224,5282721,5094249,2501.0,3,67.1,2025-04-20 17:58:26,4
7766380544,92.2,656281600,5283082,5094324,2501.0,3,47.5,2025-04-20 17:58:27,4
7763927040,92.2,659025920,5283316,5094424,2501.0,3,30.7,2025-04-20 17:58:28,4
