ram_percent,cpu_percent,ram_livre,dataHora,maquinaId
85.7,79.7,1205780480,2025-04-26 19:23:14,4
85.6,56.6,1215447040,2025-04-26 19:23:15,4
85.6,64.4,1221795840,2025-04-26 19:23:16,4
85.3,40.1,1236537344,2025-04-26 19:23:17,4
84.9,58.0,1269579776,2025-04-26 19:23:18,4
84.6,25.9,1299484672,2025-04-26 19:23:19,4
84.8,9.2,1282961408,2025-04-26 19:23:21,4
84.4,5.9,1315700736,2025-04-26 19:23:22,4
84.4,11.0,1313492992,2025-04-26 19:23:23,4
84.4,14.0,1312182272,2025-04-26 19:23:24,4
84.3,12.2,1324511232,2025-04-26 19:23:25,4
84.2,6.0,1327652864,2025-04-26 19:23:26,4
84.2,18.9,1330892800,2025-04-26 19:23:27,4
83.9,30.9,1356533760,2025-04-26 19:23:28,4
84.5,22.0,1305808896,2025-04-26 19:23:29,4
84.5,61.0,1307467776,2025-04-26 19:23:30,4
84.6,45.4,1301504000,2025-04-26 19:23:32,4
84.6,36.6,1294794752,2025-04-26 19:23:33,4
84.6,62.1,1298710528,2025-04-26 19:23:34,4
84.9,20.7,1275133952,2025-04-26 19:23:35,4
85.4,49.6,1227329536,2025-04-26 19:23:36,4
85.4,32.0,1232302080,2025-04-26 19:23:37,4
85.7,14.7,1204465664,2025-04-26 19:23:38,4
85.7,11.5,1204953088,2025-04-26 19:23:39,4
85.7,13.2,1207218176,2025-04-26 19:23:40,4
85.6,14.6,1212923904,2025-04-26 19:23:41,4
85.6,41.7,1210920960,2025-04-26 19:23:43,4
86.8,72.5,1095131136,2025-04-26 19:23:44,4
87.0,53.1,1094623232,2025-04-26 19:23:45,4
86.5,8.5,1126285312,2025-04-26 19:23:46,4
86.6,10.7,1125412864,2025-04-26 19:23:47,4
86.5,8.5,1133826048,2025-04-26 19:23:49,4
86.5,10.8,1135857664,2025-04-26 19:23:50,4
86.5,7.1,1135394816,2025-04-26 19:23:51,4
86.5,6.7,1135128576,2025-04-26 19:23:52,4
86.5,12.7,1136992256,2025-04-26 19:23:53,4
86.4,9.2,1141432320,2025-04-26 19:23:54,4
86.3,11.5,1154437120,2025-04-26 19:23:55,4
86.3,27.1,1153421312,2025-04-26 19:23:56,4
86.4,23.6,1143357440,2025-04-26 19:23:57,4
86.9,35.5,1105620992,2025-04-26 19:23:58,4
85.9,28.8,1186578432,2025-04-26 19:23:59,4
85.8,18.3,1192452096,2025-04-26 19:24:00,4
85.8,22.0,1197613056,2025-04-26 19:24:01,4
86.9,85.8,1076744192,2025-04-26 19:24:04,4
87.4,98.5,1081847808,2025-04-26 19:24:05,4
86.4,81.3,1142116352,2025-04-26 19:24:07,4
86.6,60.6,1126494208,2025-04-26 19:24:08,4
86.8,99.3,1122041856,2025-04-26 19:24:10,4
87.0,99.8,1107972096,2025-04-26 19:24:12,4
86.7,47.4,1120669696,2025-04-26 19:24:13,4
86.6,63.4,1131864064,2025-04-26 19:24:14,4
85.5,37.7,1227603968,2025-04-26 19:24:15,4
85.5,32.1,1224392704,2025-04-26 19:24:16,4
84.9,29.4,1274834944,2025-04-26 19:24:18,4
84.8,11.7,1282510848,2025-04-26 19:24:19,4
84.9,12.3,1274552320,2025-04-26 19:24:20,4
85.8,47.9,1195114496,2025-04-26 19:24:21,4
85.5,90.7,1222914048,2025-04-26 19:24:22,4
85.8,100.0,1172643840,2025-04-26 19:24:24,4
86.2,98.0,1160912896,2025-04-26 19:24:26,4
86.3,83.7,1151901696,2025-04-26 19:24:27,4
86.9,60.8,1106464768,2025-04-26 19:24:28,4
86.7,73.5,1123811328,2025-04-26 19:24:29,4
86.4,32.7,1148915712,2025-04-26 19:24:31,4
86.5,41.9,1141612544,2025-04-26 19:24:32,4
86.5,46.3,1137307648,2025-04-26 19:24:33,4
87.2,69.9,1080057856,2025-04-26 19:24:35,4
87.2,61.6,1076686848,2025-04-26 19:24:36,4
87.1,13.8,1088438272,2025-04-26 19:24:37,4
87.1,28.4,1084346368,2025-04-26 19:24:38,4
87.1,7.2,1089961984,2025-04-26 19:24:39,4
86.9,7.5,1101262848,2025-04-26 19:24:40,4
86.7,11.4,1120837632,2025-04-26 19:24:41,4
87.3,31.2,1074302976,2025-04-26 19:24:42,4
87.2,83.2,1078812672,2025-04-26 19:24:44,4
87.2,90.8,1074085888,2025-04-26 19:24:45,4
87.1,43.7,1090592768,2025-04-26 19:24:47,4
87.2,27.7,1082355712,2025-04-26 19:24:48,4
87.0,28.3,1097973760,2025-04-26 19:24:49,4
87.1,6.1,1087090688,2025-04-26 19:24:50,4
86.7,29.0,1121370112,2025-04-26 19:24:51,4
86.6,9.2,1125400576,2025-04-26 19:24:52,4
86.5,10.4,1134944256,2025-04-26 19:24:53,4
86.5,7.4,1134960640,2025-04-26 19:24:54,4
86.4,11.7,1142988800,2025-04-26 19:24:55,4
86.3,11.1,1154392064,2025-04-26 19:24:56,4
86.3,7.3,1153417216,2025-04-26 19:24:57,4
86.4,10.5,1149005824,2025-04-26 19:24:58,4
86.4,5.5,1146208256,2025-04-26 19:24:59,4
86.4,6.3,1146191872,2025-04-26 19:25:01,4
86.4,11.8,1144168448,2025-04-26 19:25:02,4
86.5,11.6,1141661696,2025-04-26 19:25:03,4
86.6,9.3,1131798528,2025-04-26 19:25:04,4
86.5,24.8,1134858240,2025-04-26 19:25:05,4
86.5,12.5,1133785088,2025-04-26 19:25:06,4
86.7,19.3,1120034816,2025-04-26 19:25:07,4
87.2,60.6,1074552832,2025-04-26 19:25:08,4
87.2,49.2,1076645888,2025-04-26 19:25:09,4
87.2,16.5,1079525376,2025-04-26 19:25:10,4
