cpu_freq,ram_uso,rede_sent,cpu_ociosidade_dias,rede_recv,ram_percent,ram_livre,cpu_percent,dataHora,maquinaId
1200.0,7794647040,322767,4,821965,92.5,628015104,10.8,2025-04-21 16:46:22,5
2000.0,7788421120,322777,4,822118,92.5,629006336,12.8,2025-04-21 16:46:24,5
1800.0,7849725952,322866,4,822416,93.2,576843776,11.8,2025-04-21 16:46:26,5
2501.0,7735853056,322884,4,822431,91.8,689004544,23.4,2025-04-21 16:46:28,5
1600.0,7698853888,322904,4,822444,91.4,723750912,12.2,2025-04-21 16:46:29,5
2501.0,7697485824,322978,4,822867,91.4,725176320,12.4,2025-04-21 16:46:31,5
2501.0,7707144192,322993,4,822885,91.5,715513856,11.2,2025-04-21 16:46:33,5
800.0,7705468928,323036,4,823243,91.5,717357056,12.4,2025-04-21 16:46:35,5
2501.0,7699173376,323060,4,823306,91.4,723488768,9.2,2025-04-21 16:46:37,5
2501.0,7703638016,323074,4,823320,91.5,719024128,9.7,2025-04-21 16:46:38,5
1600.0,7698956288,323108,4,823370,91.4,723808256,9.0,2025-04-21 16:46:40,5
2501.0,7701311488,323141,4,823527,91.4,721350656,11.9,2025-04-21 16:46:42,5
800.0,7700586496,323153,4,823542,91.4,722075648,13.7,2025-04-21 16:46:44,5
800.0,7696056320,323162,4,823557,91.4,726605824,12.1,2025-04-21 16:46:46,5
1200.0,7553650688,323204,4,823828,89.7,869011456,17.8,2025-04-21 16:46:47,5
2000.0,7493701632,323222,4,823844,89.0,929542144,12.9,2025-04-21 16:46:49,5
1400.0,7512178688,323269,4,824014,89.2,910602240,24.6,2025-04-21 16:46:51,5
2501.0,7506296832,323295,4,824027,89.1,916357120,11.5,2025-04-21 16:46:53,5
2500.0,7509110784,323318,4,824042,89.1,914485248,13.2,2025-04-21 16:46:55,5
2501.0,7505567744,323328,4,824060,89.1,917381120,7.5,2025-04-21 16:46:57,5
2500.0,7504674816,323382,4,824348,89.1,918806528,14.7,2025-04-21 16:46:58,5
2501.0,7503331328,323393,4,824358,89.1,919326720,9.4,2025-04-21 16:47:00,5
2501.0,7504068608,323425,4,824511,89.1,918695936,10.2,2025-04-21 16:47:02,5
2501.0,7502004224,323441,4,824529,89.1,920657920,11.1,2025-04-21 16:47:04,5
2501.0,7518134272,323455,4,824543,89.3,904372224,13.4,2025-04-21 16:47:06,5
2501.0,7544684544,323586,4,824888,89.7,867483648,16.1,2025-04-21 16:47:07,5
2501.0,7479189504,323616,4,824917,88.8,943378432,46.4,2025-04-21 16:47:09,5
800.0,7506231296,323643,4,824959,89.1,916717568,17.6,2025-04-21 16:47:11,5
