ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7364169728,87.4,1047928832,7897738,6358063,2501.0,3,68.0,2025-04-20 22:57:39,4
7318511616,86.9,1108254720,7898067,6358113,2501.0,3,58.2,2025-04-20 22:57:40,4
7284817920,86.5,1140043776,7898355,6358161,2501.0,3,32.0,2025-04-20 22:57:41,4
7267430400,86.3,1152684032,7898660,6358205,2501.0,3,30.7,2025-04-20 22:57:42,4
7352786944,87.3,1090023424,7898943,6358254,2501.0,3,100.0,2025-04-20 22:57:44,4
7273558016,86.5,1138245632,7899305,6358310,2501.0,3,71.3,2025-04-20 22:57:45,4
7286751232,86.5,1135304704,7899628,6358404,2501.0,3,38.7,2025-04-20 22:57:46,4
7290650624,86.6,1131958272,7899929,6358479,2501.0,3,29.2,2025-04-20 22:57:48,4
7300231168,86.7,1124073472,7900183,6358523,2501.0,3,59.8,2025-04-20 22:57:49,4
7296184320,86.5,1134243840,7900501,6358570,2501.0,3,28.8,2025-04-20 22:57:50,4
