ram_percent,ram_uso,cpu_ociosidade_dias,rede_sent,rede_recv,cpu_freq,cpu_percent,ram_livre,dataHora,maquinaId
72.5,12217090048,120,783644,602997,1700.0,18.5,4630822912,2025-04-21 21:24:15,9
72.4,12197195776,120,783759,603051,1700.0,17.2,4650729472,2025-04-21 21:24:17,9
72.4,12199231488,120,783864,603159,1700.0,19.8,4645670912,2025-04-21 21:24:19,9
72.8,12267810816,120,783998,603253,1700.0,20.6,4578910208,2025-04-21 21:24:21,9
72.8,12264341504,120,784139,603320,1700.0,18.3,4584017920,2025-04-21 21:24:22,9
73.0,12302426112,120,784427,603432,1700.0,26.6,4545445888,2025-04-21 21:24:24,9
73.0,12292247552,120,784899,603536,1700.0,19.0,4554928128,2025-04-21 21:24:26,9
72.9,12284452864,120,785176,603672,1700.0,23.9,4550041600,2025-04-21 21:24:28,9
73.0,12298760192,120,785513,603800,1700.0,26.9,4550017024,2025-04-21 21:24:30,9
72.9,12290191360,120,785882,603915,1700.0,28.2,4556550144,2025-04-21 21:24:31,9
72.8,12260737024,120,786483,604040,1700.0,24.3,4587233280,2025-04-21 21:24:33,9
72.6,12230094848,120,786984,604086,1700.0,25.6,4617773056,2025-04-21 21:24:35,9
72.6,12228460544,120,787518,604190,1700.0,20.9,4619423744,2025-04-21 21:24:37,9
72.5,12222320640,120,788035,604262,1700.0,26.6,4625678336,2025-04-21 21:24:39,9
72.6,12223254528,120,788514,604388,1700.0,26.5,4624904192,2025-04-21 21:24:40,9
72.5,12219535360,120,789019,604431,1700.0,24.1,4629372928,2025-04-21 21:24:42,9
72.5,12216696832,120,789598,604467,1700.0,30.1,4631257088,2025-04-21 21:24:44,9
72.5,12212551680,120,790154,604517,1700.0,22.5,4635660288,2025-04-21 21:24:46,9
72.5,12218159104,120,790740,604591,1700.0,21.5,4629921792,2025-04-21 21:24:47,9
72.6,12224659456,120,791302,604627,1700.0,21.8,4623290368,2025-04-21 21:24:49,9
