cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
30.1,2501.0,89.6,7550009344,0,872792064,2025-04-09 21:49:26,3
14.6,2501.0,89.7,7554330624,0,868331520,2025-04-09 21:49:27,3
5.4,2501.0,89.6,7545274368,0,877387776,2025-04-09 21:49:28,3
29.7,2501.0,90.1,7588298752,0,817270784,2025-04-09 21:49:30,3
64.6,2501.0,89.9,7573950464,0,848891904,2025-04-09 21:49:31,3
29.7,2501.0,89.8,7567712256,0,855035904,2025-04-09 21:49:32,3
94.1,2501.0,89.5,7539826688,0,882524160,2025-04-09 21:49:33,3
81.8,2501.0,89.9,7570268160,0,855560192,2025-04-09 21:49:35,3
90.3,2501.0,89.6,7544532992,0,859889664,2025-04-09 21:49:37,3
100.0,2501.0,90.8,7645851648,0,776224768,2025-04-09 21:49:38,3
