cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
21.2,2501.0,88.5,7450050560,0,973008896,2025-04-09 21:36:06,3
38.0,2501.0,88.4,7449419776,0,974966784,2025-04-09 21:36:07,3
33.7,2501.0,88.3,7437320192,0,985341952,2025-04-09 21:36:08,3
13.4,2501.0,88.3,7437844480,0,985079808,2025-04-09 21:36:09,3
35.7,2501.0,88.2,7429742592,0,995110912,2025-04-09 21:36:10,3
27.3,2501.0,88.1,7422132224,0,1001000960,2025-04-09 21:36:11,3
47.8,2501.0,88.4,7441956864,0,980705280,2025-04-09 21:36:12,3
33.8,2501.0,88.5,7450435584,0,972226560,2025-04-09 21:36:14,3
18.4,2501.0,88.5,7450935296,0,971726848,2025-04-09 21:36:15,3
10.8,2501.0,88.5,7450664960,0,972136448,2025-04-09 21:36:16,3
