cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
33.7,2501.0,90.4,7617220608,0,805961728,2025-04-09 21:49:48,3
74.3,2501.0,89.8,7561265152,0,861396992,2025-04-09 21:49:49,3
62.3,2501.0,89.8,7561199616,0,861544448,2025-04-09 21:49:50,3
37.2,2501.0,89.8,7559688192,0,862973952,2025-04-09 21:49:51,3
63.9,2501.0,89.3,7525318656,0,897343488,2025-04-09 21:49:52,3
49.4,2501.0,88.4,7449665536,0,972996608,2025-04-09 21:49:54,3
23.8,2501.0,88.5,7455649792,0,967012352,2025-04-09 21:49:55,3
41.1,2501.0,88.5,7457087488,0,965574656,2025-04-09 21:49:56,3
38.0,2501.0,88.6,7458729984,0,963932160,2025-04-09 21:49:57,3
41.2,2501.0,88.6,7466631168,0,955928576,2025-04-09 21:49:58,3
