ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7743324160,91.9,680501248,5293513,5096688,2501.0,3,43.3,2025-04-20 17:59:18,4
7746920448,92.0,676409344,5293710,5096722,2501.0,3,43.7,2025-04-20 17:59:19,4
7745269760,91.9,678670336,5293959,5096739,2501.0,3,46.2,2025-04-20 17:59:20,4
7745953792,91.9,682889216,5294100,5096754,2501.0,3,39.9,2025-04-20 17:59:22,4
7747305472,92.0,675508224,5294241,5096773,2501.0,3,25.3,2025-04-20 17:59:23,4
7746875392,92.0,675946496,5294582,5096935,2501.0,3,30.0,2025-04-20 17:59:24,4
7746936832,92.0,675811328,5294881,5096982,2501.0,3,50.0,2025-04-20 17:59:26,4
7743574016,91.9,682151936,5295131,5097034,2501.0,3,45.2,2025-04-20 17:59:27,4
7743393792,91.9,679534592,5295465,5097075,2501.0,3,36.3,2025-04-20 17:59:28,4
7738523648,91.9,684281856,5295858,5097117,2501.0,3,38.7,2025-04-20 17:59:29,4
