ram_percent,ram_uso,cpu_ociosidade_dias,rede_sent,rede_recv,cpu_freq,cpu_percent,ram_livre,dataHora,maquinaId
67.5,11373662208,121,1483992,810199,1700.0,7.3,5473787904,2025-04-21 22:25:26,9
67.6,11381911552,121,1484008,810213,1700.0,9.7,5467811840,2025-04-21 22:25:28,9
67.6,11383619584,121,1484018,810231,1700.0,9.3,5478670336,2025-04-21 22:25:30,9
67.4,11361181696,121,1484029,810273,1700.0,11.5,5486870528,2025-04-21 22:25:32,9
67.5,11375824896,121,1484041,810337,1700.0,14.2,5472047104,2025-04-21 22:25:34,9
67.4,11356229632,121,1484052,810353,1700.0,12.7,5490388992,2025-04-21 22:25:36,9
67.4,11363049472,121,1484064,810367,1700.0,11.9,5484879872,2025-04-21 22:25:38,9
67.4,11362189312,121,1484087,810390,1700.0,11.4,5487923200,2025-04-21 22:25:40,9
67.4,11360845824,121,1484163,810403,1700.0,10.0,5488074752,2025-04-21 22:25:42,9
67.5,11365294080,121,1484238,810417,1700.0,10.3,5481259008,2025-04-21 22:25:44,9
67.4,11362136064,121,1484252,810492,1700.0,10.2,5485764608,2025-04-21 22:25:46,9
67.4,11360284672,121,1484264,810504,1700.0,8.1,5486120960,2025-04-21 22:25:48,9
67.5,11365679104,121,1484293,810539,1700.0,8.6,5482803200,2025-04-21 22:25:49,9
67.4,11353481216,121,1484309,810557,1700.0,9.0,5493825536,2025-04-21 22:25:51,9
67.4,11356459008,121,1484327,810575,1700.0,13.0,5491175424,2025-04-21 22:25:54,9
67.4,11354906624,121,1484339,810588,1700.0,8.0,5492748288,2025-04-21 22:25:56,9
67.5,11364454400,121,1484349,810601,1700.0,9.2,5483421696,2025-04-21 22:25:58,9
67.4,11358384128,121,1484361,810617,1700.0,9.9,5473624064,2025-04-21 22:26:00,9
67.9,11442487296,121,1484380,810638,1700.0,38.6,5405827072,2025-04-21 22:26:02,9
68.0,11458564096,121,1484398,810659,1700.0,18.7,5392723968,2025-04-21 22:26:04,9
68.0,11455692800,121,1484435,810694,1700.0,13.5,5392179200,2025-04-21 22:26:06,9
68.5,11534655488,121,1484499,810761,1700.0,20.2,5313167360,2025-04-21 22:26:08,9
68.3,11501535232,121,1484510,810774,1700.0,9.9,5347221504,2025-04-21 22:26:10,9
68.3,11506499584,121,1484524,810826,1700.0,13.1,5341777920,2025-04-21 22:26:11,9
68.2,11491573760,121,1484584,811024,1700.0,12.5,5357805568,2025-04-21 22:26:16,9
68.1,11468431360,121,1484622,811035,1700.0,8.0,5379465216,2025-04-21 22:26:18,9
68.1,11467964416,121,1484635,811049,1700.0,9.2,5379903488,2025-04-21 22:26:19,9
68.1,11466579968,121,1484654,811140,1700.0,10.4,5381185536,2025-04-21 22:26:21,9
68.1,11480399872,121,1484696,811169,1700.0,13.3,5367472128,2025-04-21 22:26:25,9
68.3,11500032000,121,1484724,811212,1700.0,12.7,5348909056,2025-04-21 22:26:27,9
68.2,11495043072,121,1484779,811295,1700.0,8.6,5342863360,2025-04-21 22:26:29,9
68.4,11536273408,121,1484881,811324,1700.0,14.0,5288828928,2025-04-21 22:26:31,9
68.9,11607556096,121,1484922,811442,1700.0,22.4,5239939072,2025-04-21 22:26:33,9
69.5,11704201216,121,1485075,812533,1700.0,16.5,5144702976,2025-04-21 22:26:36,9
69.4,11686313984,121,1485222,813559,1700.0,13.0,5173489664,2025-04-21 22:26:39,9
69.3,11670159360,121,1485377,814283,1700.0,11.4,5177712640,2025-04-21 22:26:40,9
69.2,11663392768,121,1485506,815176,1700.0,13.3,5190303744,2025-04-21 22:26:44,9
69.2,11650457600,121,1485629,815854,1700.0,10.5,5197410304,2025-04-21 22:26:45,9
69.1,11646341120,121,1485750,816812,1700.0,12.8,5202006016,2025-04-21 22:26:47,9
69.1,11640184832,121,1485837,817538,1700.0,9.8,5207715840,2025-04-21 22:26:49,9
69.1,11648327680,121,1485999,818246,1700.0,11.3,5200965632,2025-04-21 22:26:51,9
69.1,11634380800,121,1486109,819159,1700.0,15.7,5213609984,2025-04-21 22:26:53,9
