ram_uso,cpu_percent,cpu_freq,cpu_ociosidade_dias,ram_percent,ram_livre,rede_recv,rede_sent,dataHora,maquinaId
13449543680,12.2,1700.0,165,79.8,3398410240,29037,35239,2025-04-25 16:51:10,4
13459795968,14.0,1700.0,165,79.9,3387379712,29079,35257,2025-04-25 16:51:11,4
13453680640,8.4,1700.0,165,79.9,3391229952,29100,35263,2025-04-25 16:51:13,4
13454757888,7.2,1700.0,165,79.9,3393507328,29136,35275,2025-04-25 16:51:14,4
13426393088,14.5,1700.0,165,79.7,3421241344,29200,35305,2025-04-25 16:51:15,4
13431382016,13.1,1700.0,165,79.7,3416858624,29247,35323,2025-04-25 16:51:16,4
13424709632,11.0,1700.0,165,79.7,3414945792,29293,35342,2025-04-25 16:51:17,4
13424103424,9.5,1700.0,165,79.7,3421777920,29332,35359,2025-04-25 16:51:19,4
13429903360,9.9,1700.0,165,79.7,3419009024,29357,35368,2025-04-25 16:51:20,4
13429858304,12.9,1700.0,165,79.7,3416563712,29396,35383,2025-04-25 16:51:21,4
13441286144,13.1,1700.0,165,79.8,3406901248,29443,35401,2025-04-25 16:51:22,4
13424619520,7.4,1700.0,165,79.7,3422625792,29489,35420,2025-04-25 16:51:23,4
13413507072,14.4,1700.0,165,79.6,3434881024,29541,35444,2025-04-25 16:51:24,4
13398478848,14.0,1700.0,165,79.5,3447173120,29570,35458,2025-04-25 16:51:26,4
13402943488,15.8,1700.0,165,79.6,3443539968,29607,35472,2025-04-25 16:51:27,4
13407219712,10.4,1700.0,165,79.6,3440398336,29670,35498,2025-04-25 16:51:28,4
13407387648,9.0,1700.0,165,79.6,3440529408,29720,35516,2025-04-25 16:51:29,4
13407604736,11.6,1700.0,165,79.6,3439575040,29770,35531,2025-04-25 16:51:30,4
13414572032,15.6,1700.0,165,79.6,3435839488,29805,35545,2025-04-25 16:51:31,4
13408337920,9.8,1700.0,165,79.5,3452928000,29826,35553,2025-04-25 16:51:33,4
13400489984,6.6,1700.0,165,79.5,3447169024,29875,35573,2025-04-25 16:51:34,4
13396615168,9.6,1700.0,165,79.5,3450265600,29918,35593,2025-04-25 16:51:35,4
13397819392,13.2,1700.0,165,79.5,3450404864,29961,35610,2025-04-25 16:51:36,4
13402333184,11.4,1700.0,165,79.5,3445329920,30003,35628,2025-04-25 16:51:37,4
13406285824,10.3,1700.0,165,79.6,3441692672,30027,35639,2025-04-25 16:51:39,4
13402468352,9.6,1700.0,165,79.6,3442774016,30055,35650,2025-04-25 16:51:40,4
13410856960,13.5,1700.0,165,79.6,3436965888,30090,35666,2025-04-25 16:51:41,4
13404254208,12.4,1700.0,165,79.5,3452030976,30127,35683,2025-04-25 16:51:42,4
