cpu_ociosidade_dias,ram_percent,rede_sent,ram_uso,ram_livre,cpu_percent,cpu_freq,rede_recv,dataHora,maquinaId
7,88.4,187205,7442968576,979718144,12.5,2501.0,363681,2025-04-24 14:22:52,6
7,88.4,187219,7447441408,975220736,11.3,2501.0,363703,2025-04-24 14:22:53,6
7,88.4,187223,7448756224,973996032,13.3,2501.0,363715,2025-04-24 14:22:54,6
7,88.4,187250,7446855680,975839232,10.4,2501.0,363765,2025-04-24 14:22:55,6
7,88.4,187251,7445012480,977637376,13.9,2501.0,363770,2025-04-24 14:22:56,6
7,88.4,187306,7445848064,976814080,12.7,2501.0,363857,2025-04-24 14:22:57,6
7,88.4,187320,7447633920,975028224,11.1,2501.0,363889,2025-04-24 14:22:58,6
7,88.4,187343,7447298048,975974400,18.2,2501.0,363936,2025-04-24 14:23:00,6
7,88.4,187347,7447375872,975355904,12.8,2501.0,363941,2025-04-24 14:23:01,6
7,88.4,187371,7448678400,974028800,13.5,2501.0,363980,2025-04-24 14:23:02,6
7,88.5,187386,7450673152,972034048,14.9,2501.0,364012,2025-04-24 14:23:03,6
7,88.4,187413,7449198592,973463552,11.4,2501.0,364063,2025-04-24 14:23:04,6
7,88.5,187418,7452639232,970080256,14.8,2501.0,364083,2025-04-24 14:23:05,6
7,88.5,187441,7455059968,967602176,17.2,2501.0,364118,2025-04-24 14:23:06,6
7,88.5,187452,7454240768,968462336,14.2,2501.0,364139,2025-04-24 14:23:08,6
7,88.5,187478,7456604160,966066176,20.7,2501.0,364189,2025-04-24 14:23:09,6
7,88.6,187488,7460212736,962461696,10.2,2501.0,364200,2025-04-24 14:23:10,6
7,88.5,187513,7453003776,969732096,25.9,2501.0,364251,2025-04-24 14:23:11,6
7,88.5,187518,7456690176,965971968,11.9,2501.0,364259,2025-04-24 14:23:12,6
7,88.5,187538,7453130752,969621504,10.9,2501.0,364307,2025-04-24 14:23:13,6
7,88.5,187542,7453425664,969236480,10.4,2501.0,364313,2025-04-24 14:23:14,6
7,88.5,187572,7450853376,971808768,11.0,2501.0,364368,2025-04-24 14:23:15,6
7,88.5,187586,7451275264,971472896,14.3,2501.0,364391,2025-04-24 14:23:17,6
7,88.5,187600,7453650944,969170944,11.8,2501.0,364421,2025-04-24 14:23:18,6
7,88.6,187628,7464116224,958513152,22.1,2501.0,364477,2025-04-24 14:23:19,6
7,88.7,187656,7467319296,953094144,36.9,2501.0,364523,2025-04-24 14:23:20,6
7,88.5,187679,7453667328,968314880,67.1,2501.0,364570,2025-04-24 14:23:21,6
7,88.5,187689,7457255424,965406720,14.8,2501.0,364591,2025-04-24 14:23:22,6
7,88.5,187717,7453032448,969560064,11.3,2501.0,364645,2025-04-24 14:23:23,6
7,88.6,187744,7459500032,963264512,8.3,2501.0,364685,2025-04-24 14:23:25,6
7,88.6,187769,7461871616,964239360,19.1,2501.0,364725,2025-04-24 14:23:26,6
7,88.6,187776,7462805504,959926272,14.7,2501.0,364754,2025-04-24 14:23:27,6
7,88.5,187848,7454060544,967675904,14.8,2501.0,364852,2025-04-24 14:23:28,6
7,88.6,187863,7462100992,960630784,9.8,2501.0,364892,2025-04-24 14:23:29,6
7,88.6,187871,7458435072,964292608,12.1,2501.0,364910,2025-04-24 14:23:30,6
7,88.6,187891,7458775040,963887104,17.8,2501.0,364951,2025-04-24 14:23:31,6
7,88.6,187900,7460614144,962048000,9.8,2501.0,364975,2025-04-24 14:23:33,6
7,88.5,187918,7460261888,962465792,24.2,2501.0,365009,2025-04-24 14:23:34,6
7,88.5,187926,7456960512,965795840,9.2,2501.0,365018,2025-04-24 14:23:35,6
7,88.5,187951,7453605888,969101312,20.5,2501.0,365070,2025-04-24 14:23:36,6
7,88.6,187959,7458996224,963727360,12.6,2501.0,365089,2025-04-24 14:23:37,6
7,88.5,187979,7455522816,967229440,11.8,2501.0,365123,2025-04-24 14:23:38,6
7,88.5,187997,7455481856,967208960,9.9,2501.0,365157,2025-04-24 14:23:39,6
7,88.5,188006,7453478912,969232384,8.8,2501.0,365181,2025-04-24 14:23:40,6
7,88.5,188019,7455969280,966782976,12.4,2501.0,365203,2025-04-24 14:23:41,6
7,88.5,188033,7457206272,965455872,10.6,2501.0,365234,2025-04-24 14:23:43,6
7,88.5,188054,7454941184,963166208,13.1,2501.0,365278,2025-04-24 14:23:44,6
7,88.5,188061,7455682560,966979584,8.9,2501.0,365299,2025-04-24 14:23:45,6
7,88.5,188084,7447285760,975462400,26.4,2501.0,365338,2025-04-24 14:23:46,6
7,88.5,188088,7454343168,968318976,11.2,2501.0,365355,2025-04-24 14:23:47,6
7,88.4,188116,7448535040,974163968,10.0,2501.0,365406,2025-04-24 14:23:48,6
7,88.5,188121,7453515776,969236480,10.0,2501.0,365414,2025-04-24 14:23:49,6
7,88.5,188145,7454273536,968482816,9.6,2501.0,365464,2025-04-24 14:23:50,6
7,88.4,188159,7448264704,973930496,15.9,2501.0,365492,2025-04-24 14:23:52,6
7,88.5,188173,7453478912,969183232,11.8,2501.0,365522,2025-04-24 14:23:53,6
7,88.5,188194,7455408128,967340032,12.7,2501.0,365559,2025-04-24 14:23:54,6
7,88.5,188200,7451406336,971272192,6.9,2501.0,365574,2025-04-24 14:23:55,6
7,88.5,188227,7454679040,967995392,16.6,2501.0,365624,2025-04-24 14:23:56,6
7,88.5,188231,7455232000,967487488,12.5,2501.0,365629,2025-04-24 14:23:57,6
7,88.6,188284,7459229696,963436544,35.0,2501.0,365712,2025-04-24 14:23:58,6
7,88.5,188299,7457538048,965148672,10.9,2501.0,365749,2025-04-24 14:23:59,6
7,88.5,188316,7457406976,965337088,13.9,2501.0,365773,2025-04-24 14:24:01,6
7,88.5,188349,7457099776,965574656,14.2,2501.0,365851,2025-04-24 14:24:02,6
7,88.5,188356,7449739264,967454720,13.9,2501.0,365858,2025-04-24 14:24:03,6
7,88.5,188380,7450730496,972038144,11.7,2501.0,365903,2025-04-24 14:24:04,6
7,88.5,188386,7455866880,966811648,11.0,2501.0,365913,2025-04-24 14:24:05,6
7,88.5,188408,7456399360,966418432,17.7,2501.0,365949,2025-04-24 14:24:06,6
7,88.5,188421,7453278208,969531392,15.8,2501.0,365977,2025-04-24 14:24:07,6
7,88.5,188448,7453192192,969535488,12.8,2501.0,366029,2025-04-24 14:24:08,6
7,88.5,188453,7455019008,967708672,13.4,2501.0,366037,2025-04-24 14:24:10,6
7,88.5,188476,7454474240,968187904,30.5,2501.0,366083,2025-04-24 14:24:11,6
7,88.5,188487,7450357760,972304384,12.9,2501.0,366101,2025-04-24 14:24:12,6
7,88.5,188513,7451717632,968765440,14.8,2501.0,366145,2025-04-24 14:24:13,6
7,88.5,188552,7453569024,969093120,11.5,2501.0,366212,2025-04-24 14:24:14,6
7,88.5,188555,7450861568,971800576,9.9,2501.0,366218,2025-04-24 14:24:16,6
7,88.5,188588,7452098560,970678272,17.4,2501.0,366264,2025-04-24 14:24:17,6
7,88.5,188595,7453995008,968728576,9.6,2501.0,366268,2025-04-24 14:24:18,6
7,88.5,188620,7454564352,968196096,15.2,2501.0,366318,2025-04-24 14:24:19,6
7,88.5,188647,7450161152,972570624,15.5,2501.0,366357,2025-04-24 14:24:20,6
7,88.5,188664,7452667904,970047488,16.8,2501.0,366387,2025-04-24 14:24:21,6
7,88.5,188675,7452323840,967872512,12.7,2501.0,366408,2025-04-24 14:24:22,6
7,88.5,188706,7449878528,972845056,24.8,2501.0,366460,2025-04-24 14:24:23,6
7,88.4,188713,7447601152,975122432,10.6,2501.0,366471,2025-04-24 14:24:24,6
7,88.5,188739,7450161152,972595200,15.4,2501.0,366526,2025-04-24 14:24:26,6
7,88.4,188751,7449739264,973058048,12.7,2501.0,366536,2025-04-24 14:24:27,6
7,88.4,188786,7448367104,969592832,13.3,2501.0,366604,2025-04-24 14:24:28,6
7,88.4,188822,7449247744,973316096,11.6,2501.0,366673,2025-04-24 14:24:29,6
7,88.5,188866,7450963968,971825152,15.7,2501.0,366743,2025-04-24 14:24:30,6
7,88.5,188872,7453356032,969306112,14.6,2501.0,366752,2025-04-24 14:24:31,6
7,88.4,188894,7448150016,974512128,13.0,2501.0,366799,2025-04-24 14:24:32,6
7,88.5,188897,7452991488,969732096,9.2,2501.0,366807,2025-04-24 14:24:33,6
7,88.5,188921,7454089216,968646656,10.4,2501.0,366856,2025-04-24 14:24:35,6
7,88.5,188932,7452172288,970539008,10.9,2501.0,366883,2025-04-24 14:24:36,6
7,88.4,188954,7445970944,976707584,26.3,2501.0,366923,2025-04-24 14:24:37,6
7,88.5,188964,7451611136,971104256,9.1,2501.0,366944,2025-04-24 14:24:38,6
7,88.4,188982,7446589440,976097280,13.9,2501.0,366981,2025-04-24 14:24:39,6
7,88.5,188994,7449939968,972849152,15.9,2501.0,367007,2025-04-24 14:24:40,6
7,88.5,189020,7450472448,972210176,16.1,2501.0,367051,2025-04-24 14:24:41,6
7,88.5,189029,7452954624,969756672,12.9,2501.0,367064,2025-04-24 14:24:42,6
7,88.4,189055,7448956928,973709312,7.4,2501.0,367121,2025-04-24 14:24:44,6
