cpu_freq,ram_uso,rede_sent,cpu_ociosidade_dias,rede_recv,ram_percent,ram_livre,cpu_percent,dataHora,maquinaId
2501.0,6780899328,215015,4,473245,80.5,1641762816,6.2,2025-04-21 15:37:16,5
2501.0,6900441088,215099,4,473391,82.0,1509732352,46.5,2025-04-21 15:37:18,5
2501.0,7053684736,215368,4,473790,83.8,1363849216,96.3,2025-04-21 15:37:20,5
2501.0,7076466688,215689,4,474281,84.0,1345110016,75.7,2025-04-21 15:37:22,5
2501.0,7105433600,216037,4,474808,84.4,1316216832,64.5,2025-04-21 15:37:24,5
2501.0,7106682880,216171,4,474989,84.4,1315921920,34.8,2025-04-21 15:37:26,5
2501.0,7140876288,216364,4,475282,84.8,1281785856,16.2,2025-04-21 15:37:28,5
2501.0,7140794368,216424,4,475370,84.8,1281867776,31.3,2025-04-21 15:37:30,5
2501.0,7199084544,216518,4,475528,85.4,1227153408,61.4,2025-04-21 15:37:32,5
2501.0,7200268288,216547,4,475566,85.5,1217183744,58.2,2025-04-21 15:37:34,5
2501.0,7188750336,216572,4,475598,85.3,1234235392,23.7,2025-04-21 15:37:36,5
2501.0,7207313408,216585,4,475613,85.6,1215655936,30.7,2025-04-21 15:37:37,5
2501.0,7216021504,216632,4,475638,85.7,1208115200,34.6,2025-04-21 15:37:39,5
2501.0,7240155136,216648,4,475662,86.0,1182507008,53.1,2025-04-21 15:37:41,5
2501.0,7239741440,216679,4,475690,86.0,1182920704,6.4,2025-04-21 15:37:43,5
2501.0,7228837888,216696,4,475708,85.8,1190436864,6.9,2025-04-21 15:37:45,5
2501.0,7242317824,216707,4,475720,86.0,1181962240,42.5,2025-04-21 15:37:47,5
2501.0,7248084992,216722,4,475736,86.1,1174577152,30.8,2025-04-21 15:37:48,5
2501.0,7244390400,216734,4,475751,86.0,1180008448,12.1,2025-04-21 15:37:50,5
2000.0,7247462400,216748,4,475764,86.0,1176203264,13.6,2025-04-21 15:37:52,5
2501.0,7238856704,216768,4,475789,85.9,1185247232,22.7,2025-04-21 15:37:54,5
