ram_percent,cpu_percent,cpu_freq,dataHora,maquinaId
74.2,8.1,2501.0,2025-04-25 12:13:33,7
74.0,7.5,2501.0,2025-04-25 12:13:34,7
74.0,11.3,2501.0,2025-04-25 12:13:35,7
73.9,8.5,2501.0,2025-04-25 12:13:36,7
74.3,43.1,2501.0,2025-04-25 12:13:37,7
74.3,6.6,2501.0,2025-04-25 12:13:39,7
74.6,13.1,2501.0,2025-04-25 12:13:40,7
74.5,23.1,2501.0,2025-04-25 12:13:41,7
74.5,9.2,2501.0,2025-04-25 12:13:42,7
74.1,7.9,2000.0,2025-04-25 12:13:43,7
74.0,4.4,1600.0,2025-04-25 12:13:44,7
73.9,3.3,1800.0,2025-04-25 12:13:45,7
73.6,2.6,1600.0,2025-04-25 12:13:46,7
73.5,4.1,1600.0,2025-04-25 12:13:47,7
73.5,3.3,2501.0,2025-04-25 12:13:48,7
73.7,9.1,2501.0,2025-04-25 12:13:49,7
73.8,4.7,1600.0,2025-04-25 12:13:50,7
73.7,6.3,1800.0,2025-04-25 12:13:51,7
73.7,3.7,2000.0,2025-04-25 12:13:52,7
73.8,13.3,2500.0,2025-04-25 12:13:53,7
73.8,12.1,2501.0,2025-04-25 12:13:54,7
73.8,36.4,2501.0,2025-04-25 12:13:56,7
74.0,17.4,2000.0,2025-04-25 12:13:57,7
74.1,6.0,2500.0,2025-04-25 12:13:58,7
74.1,9.4,2501.0,2025-04-25 12:13:59,7
74.3,6.7,2501.0,2025-04-25 12:14:00,7
74.2,26.5,2501.0,2025-04-25 12:14:01,7
74.3,19.3,2501.0,2025-04-25 12:14:02,7
74.3,8.2,2501.0,2025-04-25 12:14:03,7
74.1,7.2,2000.0,2025-04-25 12:14:04,7
74.2,7.6,1800.0,2025-04-25 12:14:05,7
74.0,9.9,1200.0,2025-04-25 12:14:06,7
74.0,3.8,1600.0,2025-04-25 12:14:07,7
74.0,4.9,2501.0,2025-04-25 12:14:08,7
74.0,5.8,2000.0,2025-04-25 12:14:09,7
73.9,2.6,2501.0,2025-04-25 12:14:10,7
73.8,5.5,1600.0,2025-04-25 12:14:11,7
73.9,4.2,2501.0,2025-04-25 12:14:12,7
73.9,8.8,1600.0,2025-04-25 12:14:14,7
73.9,3.7,2000.0,2025-04-25 12:14:15,7
73.9,5.4,1800.0,2025-04-25 12:14:16,7
73.7,19.0,2500.0,2025-04-25 12:14:17,7
73.7,3.7,1400.0,2025-04-25 12:14:18,7
73.7,7.2,2501.0,2025-04-25 12:14:19,7
73.6,3.6,1600.0,2025-04-25 12:14:20,7
73.7,6.8,2500.0,2025-04-25 12:14:21,7
73.7,5.4,1800.0,2025-04-25 12:14:22,7
73.3,4.8,1800.0,2025-04-25 12:14:23,7
73.3,4.5,1600.0,2025-04-25 12:14:24,7
73.4,5.9,2000.0,2025-04-25 12:14:25,7
73.4,9.0,1800.0,2025-04-25 12:14:26,7
73.3,3.3,1400.0,2025-04-25 12:14:27,7
73.4,4.8,1200.0,2025-04-25 12:14:28,7
73.4,4.8,1800.0,2025-04-25 12:14:29,7
73.5,3.4,1800.0,2025-04-25 12:14:30,7
73.3,18.6,2000.0,2025-04-25 12:14:32,7
73.2,15.7,2501.0,2025-04-25 12:14:33,7
73.2,13.8,2501.0,2025-04-25 12:14:34,7
73.3,9.2,2501.0,2025-04-25 12:14:35,7
73.2,10.2,2501.0,2025-04-25 12:14:36,7
73.2,4.4,1800.0,2025-04-25 12:14:37,7
73.3,4.2,1600.0,2025-04-25 12:14:38,7
73.2,5.1,1800.0,2025-04-25 12:14:39,7
73.3,5.6,1600.0,2025-04-25 12:14:40,7
73.2,9.3,2501.0,2025-04-25 12:14:41,7
73.2,6.3,1600.0,2025-04-25 12:14:42,7
73.2,3.3,2000.0,2025-04-25 12:14:43,7
73.3,5.8,1800.0,2025-04-25 12:14:44,7
73.2,7.0,1600.0,2025-04-25 12:14:45,7
73.2,5.5,2000.0,2025-04-25 12:14:46,7
73.3,5.2,1800.0,2025-04-25 12:14:47,7
73.2,3.3,2000.0,2025-04-25 12:14:48,7
73.2,5.1,1600.0,2025-04-25 12:14:49,7
73.2,4.4,2000.0,2025-04-25 12:14:51,7
73.2,7.6,2000.0,2025-04-25 12:14:52,7
73.7,28.3,2501.0,2025-04-25 12:14:53,7
73.9,58.5,2501.0,2025-04-25 12:14:54,7
73.9,32.0,2501.0,2025-04-25 12:14:55,7
73.6,40.6,2501.0,2025-04-25 12:14:56,7
73.8,11.1,1800.0,2025-04-25 12:14:57,7
73.6,7.3,1800.0,2025-04-25 12:14:58,7
73.7,12.1,2501.0,2025-04-25 12:14:59,7
73.6,13.4,2501.0,2025-04-25 12:15:00,7
73.6,16.7,2501.0,2025-04-25 12:15:01,7
73.5,3.8,2501.0,2025-04-25 12:15:02,7
73.5,5.2,2000.0,2025-04-25 12:15:03,7
73.6,7.4,2501.0,2025-04-25 12:15:05,7
73.4,2.6,1800.0,2025-04-25 12:15:06,7
