cpu_percent,cpu_freq,rede_sent,ram_uso,cpu_ociosidade_dias,ram_percent,rede_recv,ram_livre,dataHora,maquinaId
32.1,2501.0,335677,7935094784,8,94.2,701787,487260160,2025-04-25 14:16:29,4
17.0,800.0,335680,7949111296,8,94.3,701795,484098048,2025-04-25 14:16:30,4
21.7,2501.0,335691,7945166848,8,94.3,701814,477667328,2025-04-25 14:16:31,4
39.2,800.0,335703,7947431936,8,94.3,701836,476823552,2025-04-25 14:16:33,4
22.9,2501.0,335716,7944237056,8,94.3,701861,479371264,2025-04-25 14:16:34,4
31.3,2501.0,335721,7948922880,8,94.4,701867,478953472,2025-04-25 14:16:36,4
95.5,2501.0,335732,7938695168,8,94.2,701895,485105664,2025-04-25 14:16:37,4
63.3,2501.0,335738,7943872512,8,94.4,701922,474583040,2025-04-25 14:16:38,4
57.6,2501.0,335769,7970021376,8,94.6,701975,452689920,2025-04-25 14:16:40,4
82.1,2501.0,335818,7923269632,8,94.0,702039,505925632,2025-04-25 14:16:41,4
57.6,2501.0,335881,7741120512,8,91.9,702145,684040192,2025-04-25 14:16:42,4
25.5,2501.0,335907,7720472576,8,91.7,702198,702160896,2025-04-25 14:16:43,4
30.0,2501.0,335914,7718453248,8,91.6,702219,704200704,2025-04-25 14:16:45,4
45.7,2501.0,335943,7763931136,8,92.2,702274,669626368,2025-04-25 14:16:46,4
77.3,2501.0,335990,7755075584,8,92.1,702393,658960384,2025-04-25 14:16:48,4
80.4,2501.0,336053,7764946944,8,92.4,702480,639000576,2025-04-25 14:16:50,4
95.1,2501.0,336066,7785979904,8,92.5,702512,633245696,2025-04-25 14:16:52,4
80.9,2501.0,336089,7808385024,8,92.7,702565,612712448,2025-04-25 14:16:53,4
69.7,2501.0,336098,7817908224,8,92.8,702584,604721152,2025-04-25 14:16:54,4
56.2,2501.0,336099,7824572416,8,92.9,702595,598081536,2025-04-25 14:16:56,4
58.8,2501.0,336103,7830990848,8,93.0,702615,591679488,2025-04-25 14:16:57,4
63.0,2501.0,336113,7833579520,8,93.0,702633,587538432,2025-04-25 14:16:58,4
58.7,2501.0,336124,7827116032,8,92.9,702667,592629760,2025-04-25 14:17:01,4
89.2,2501.0,336131,7870611456,8,93.6,702673,543010816,2025-04-25 14:17:02,4
68.9,2501.0,336140,7865470976,8,93.3,702699,546938880,2025-04-25 14:17:04,4
98.4,2501.0,336165,7914741760,8,94.0,702738,508583936,2025-04-25 14:17:05,4
60.0,2501.0,336204,7919181824,8,94.0,702798,502124544,2025-04-25 14:17:06,4
43.1,2501.0,336225,7918137344,8,94.0,702846,504750080,2025-04-25 14:17:08,4
47.0,2501.0,336258,7909543936,8,93.9,702897,513769472,2025-04-25 14:17:09,4
52.7,2501.0,336289,7913742336,8,93.9,702943,512692224,2025-04-25 14:17:10,4
55.8,2501.0,336293,7884713984,8,93.6,702949,537485312,2025-04-25 14:17:11,4
50.3,2501.0,336306,7897956352,8,93.8,702973,524775424,2025-04-25 14:17:12,4
61.3,2501.0,336330,7911383040,8,93.9,702997,510881792,2025-04-25 14:17:14,4
78.0,2501.0,336374,7913631744,8,94.0,703062,509014016,2025-04-25 14:17:15,4
45.3,2501.0,336391,7910252544,8,93.9,703088,514813952,2025-04-25 14:17:16,4
69.4,2501.0,336457,7898677248,8,93.8,703184,534802432,2025-04-25 14:17:17,4
71.2,2501.0,336509,7920660480,8,94.0,703278,505044992,2025-04-25 14:17:18,4
40.0,2501.0,336548,7914553344,8,94.0,703357,508264448,2025-04-25 14:17:20,4
29.7,2501.0,336577,7910219776,8,93.9,703400,512507904,2025-04-25 14:17:21,4
37.6,2501.0,336586,7911538688,8,93.9,703420,511213568,2025-04-25 14:17:22,4
66.4,2501.0,336596,7895281664,8,93.7,703449,530583552,2025-04-25 14:17:23,4
41.2,2501.0,336605,7886819328,8,93.6,703473,535990272,2025-04-25 14:17:24,4
59.3,2501.0,336623,7882940416,8,93.6,703503,537931776,2025-04-25 14:17:25,4
51.2,2501.0,336631,7930298368,8,94.2,703514,492515328,2025-04-25 14:17:27,4
95.7,2501.0,336660,7968690176,8,94.7,703574,448745472,2025-04-25 14:17:30,4
98.8,2501.0,336682,7922532352,8,94.1,703598,494317568,2025-04-25 14:17:31,4
