ram_percent,ram_uso,cpu_ociosidade_dias,rede_sent,rede_recv,cpu_freq,cpu_percent,ram_livre,dataHora,maquinaId
72.7,12247625728,121,1409960,757349,1700.0,32.9,4596158464,2025-04-21 22:07:40,9
72.9,12282765312,121,1410570,757406,1700.0,28.0,4565110784,2025-04-21 22:07:42,9
72.9,12290134016,121,1411191,757520,1700.0,24.9,4556832768,2025-04-21 22:07:43,9
73.2,12325011456,121,1412056,757675,1700.0,21.0,4522471424,2025-04-21 22:07:45,9
73.4,12374872064,121,1412837,757806,1700.0,22.7,4471406592,2025-04-21 22:07:47,9
73.5,12388667392,121,1413292,757910,1700.0,31.3,4458012672,2025-04-21 22:07:49,9
73.6,12404121600,121,1413821,758010,1700.0,28.5,4434612224,2025-04-21 22:07:51,9
73.7,12424994816,121,1414279,758052,1700.0,24.5,4418977792,2025-04-21 22:07:53,9
73.8,12442083328,121,1414633,758124,1700.0,21.9,4404924416,2025-04-21 22:07:54,9
73.8,12441772032,121,1415105,758159,1700.0,24.0,4406296576,2025-04-21 22:07:56,9
73.8,12440182784,121,1415481,758200,1700.0,20.6,4407627776,2025-04-21 22:07:58,9
73.9,12453339136,121,1415864,758239,1700.0,34.4,4394758144,2025-04-21 22:08:00,9
73.9,12448501760,121,1416238,758275,1700.0,24.1,4399435776,2025-04-21 22:08:02,9
74.0,12475584512,121,1417078,758389,1700.0,21.8,4371951616,2025-04-21 22:08:03,9
74.2,12494151680,121,1418079,758467,1700.0,21.2,4352782336,2025-04-21 22:08:05,9
74.2,12506402816,121,1418821,758554,1700.0,20.0,4340330496,2025-04-21 22:08:07,9
74.4,12542967808,121,1420969,760670,1700.0,39.5,4304957440,2025-04-21 22:08:09,9
74.2,12503109632,121,1421353,760797,1700.0,28.1,4344827904,2025-04-21 22:08:11,9
74.2,12500209664,121,1421646,760930,1700.0,20.0,4347727872,2025-04-21 22:08:13,9
74.1,12489158656,121,1421927,761022,1700.0,27.0,4358946816,2025-04-21 22:08:14,9
74.2,12504809472,121,1422193,761144,1700.0,17.8,4342984704,2025-04-21 22:08:16,9
74.2,12503482368,121,1423304,761232,1700.0,18.8,4348219392,2025-04-21 22:08:19,9
74.3,12514734080,121,1424069,761431,1700.0,37.4,4333195264,2025-04-21 22:08:20,9
74.3,12508626944,121,1425018,761594,1700.0,26.4,4339179520,2025-04-21 22:08:22,9
74.3,12517232640,121,1425992,761787,1700.0,18.8,4331892736,2025-04-21 22:08:24,9
