cpu_freq,ram_uso,rede_sent,cpu_ociosidade_dias,rede_recv,ram_percent,ram_livre,cpu_percent,dataHora,maquinaId
1200.0,7185334272,259219,4,628591,85.3,1237647360,5.4,2025-04-21 16:08:10,5
2501.0,7187800064,259248,4,628657,85.3,1234857984,11.7,2025-04-21 16:08:12,5
2501.0,7166738432,259262,4,628677,85.2,1246236672,29.6,2025-04-21 16:08:13,5
2501.0,7166398464,259286,4,628711,85.1,1256263680,8.9,2025-04-21 16:08:15,5
2500.0,7157149696,259310,4,628757,85.0,1266409472,4.5,2025-04-21 16:08:17,5
1400.0,7155875840,259330,4,628783,85.0,1266769920,4.7,2025-04-21 16:08:19,5
1400.0,7154761728,259375,4,628807,84.9,1267920896,5.6,2025-04-21 16:08:21,5
1800.0,7152390144,259388,4,628821,84.9,1270468608,4.3,2025-04-21 16:08:23,5
2501.0,7153836032,259403,4,628839,84.9,1268764672,5.9,2025-04-21 16:08:25,5
2501.0,7183884288,259423,4,628860,85.3,1240154112,13.3,2025-04-21 16:08:26,5
2501.0,7252692992,259476,4,628956,86.1,1169969152,36.7,2025-04-21 16:08:28,5
2501.0,7288012800,259498,4,628976,86.5,1134653440,24.5,2025-04-21 16:08:30,5
2501.0,7402180608,259549,4,629043,86.9,1103482880,48.9,2025-04-21 16:08:32,5
2501.0,7318597632,259580,4,629082,86.9,1104916480,32.5,2025-04-21 16:08:34,5
2000.0,7347224576,259597,4,629099,87.2,1076895744,38.5,2025-04-21 16:08:36,5
2501.0,7345762304,259611,4,629127,87.1,1084878848,33.0,2025-04-21 16:08:39,5
2501.0,7337652224,259643,4,629164,87.1,1085259776,6.5,2025-04-21 16:08:41,5
2501.0,7339106304,259655,4,629178,87.1,1083834368,4.9,2025-04-21 16:08:42,5
2501.0,7319756800,259669,4,629229,86.9,1102913536,5.4,2025-04-21 16:08:44,5
2501.0,7319302144,259682,4,629262,86.9,1103822848,5.8,2025-04-21 16:08:46,5
2501.0,7255334912,259698,4,629277,86.1,1167536128,10.8,2025-04-21 16:08:48,5
2501.0,7250624512,259711,4,629295,86.1,1172037632,6.4,2025-04-21 16:08:50,5
2501.0,7243186176,259722,4,629306,86.0,1179504640,6.1,2025-04-21 16:08:51,5
2501.0,7223136256,259737,4,629384,85.8,1199456256,31.4,2025-04-21 16:08:53,5
2501.0,7224156160,259747,4,629427,85.8,1198571520,7.0,2025-04-21 16:08:55,5
2501.0,7223607296,259761,4,629530,85.8,1199173632,5.9,2025-04-21 16:08:57,5
2501.0,7222005760,259774,4,629558,85.7,1200709632,7.8,2025-04-21 16:08:58,5
2500.0,7216300032,259810,4,629623,85.7,1206349824,8.0,2025-04-21 16:09:00,5
2501.0,7216771072,259825,4,629640,85.7,1205891072,5.4,2025-04-21 16:09:02,5
2501.0,7211823104,259844,4,629659,85.6,1210839040,5.0,2025-04-21 16:09:04,5
2501.0,7267921920,259857,4,629690,86.3,1154138112,11.6,2025-04-21 16:09:06,5
2501.0,7276740608,259879,4,629782,86.4,1147498496,10.3,2025-04-21 16:09:08,5
2501.0,7305543680,259893,4,629829,86.7,1117118464,13.2,2025-04-21 16:09:10,5
2501.0,7295913984,259924,4,629932,86.7,1116356608,9.1,2025-04-21 16:09:11,5
2000.0,7302893568,259954,4,629989,86.7,1119768576,6.5,2025-04-21 16:09:13,5
2501.0,7301898240,260008,4,630082,86.8,1114562560,26.9,2025-04-21 16:09:15,5
2501.0,7304912896,260038,4,630129,86.7,1117749248,15.9,2025-04-21 16:09:17,5
2501.0,7296036864,260053,4,630154,86.6,1125257216,6.3,2025-04-21 16:09:19,5
2501.0,7283945472,260064,4,630166,86.5,1138716672,5.2,2025-04-21 16:09:21,5
2501.0,7268421632,260078,4,630217,86.3,1154228224,12.8,2025-04-21 16:09:23,5
2501.0,7267749888,260090,4,630229,86.3,1154936832,10.8,2025-04-21 16:09:25,5
2000.0,7270895616,260107,4,630249,86.3,1151766528,7.6,2025-04-21 16:09:26,5
800.0,7269670912,260119,4,630262,86.3,1152991232,6.2,2025-04-21 16:09:28,5
2501.0,7269728256,260140,4,630304,86.3,1152933888,5.5,2025-04-21 16:09:30,5
2501.0,7320338432,260201,4,630501,86.9,1103212544,42.1,2025-04-21 16:09:32,5
2501.0,7363444736,260256,4,630694,87.4,1059233792,23.7,2025-04-21 16:09:34,5
2501.0,7367823360,260267,4,630746,87.5,1054838784,6.5,2025-04-21 16:09:35,5
