ram_percent,cpu_percent,cpu_freq,dataHora,maquinaId
87.4,13.9,2501.0,2025-04-25 10:59:49,7
87.4,20.3,2501.0,2025-04-25 10:59:50,7
87.4,9.4,1600.0,2025-04-25 10:59:51,7
87.5,12.6,2501.0,2025-04-25 10:59:52,7
87.5,15.6,2501.0,2025-04-25 10:59:53,7
87.5,25.0,2501.0,2025-04-25 10:59:54,7
87.5,16.1,2501.0,2025-04-25 10:59:56,7
88.4,95.3,2501.0,2025-04-25 10:59:58,7
88.4,98.8,2501.0,2025-04-25 11:00:00,7
88.4,73.6,2501.0,2025-04-25 11:00:01,7
88.6,78.8,2501.0,2025-04-25 11:00:03,7
89.1,30.6,2501.0,2025-04-25 11:00:04,7
89.1,26.5,2501.0,2025-04-25 11:00:05,7
89.0,29.7,2501.0,2025-04-25 11:00:06,7
88.9,26.0,2501.0,2025-04-25 11:00:07,7
88.9,30.3,2501.0,2025-04-25 11:00:08,7
89.0,43.0,2501.0,2025-04-25 11:00:09,7
89.0,33.5,2501.0,2025-04-25 11:00:10,7
89.0,34.9,2501.0,2025-04-25 11:00:11,7
89.0,28.8,2501.0,2025-04-25 11:00:12,7
88.9,28.5,2501.0,2025-04-25 11:00:13,7
88.9,31.0,2501.0,2025-04-25 11:00:14,7
89.0,34.4,2501.0,2025-04-25 11:00:15,7
88.8,50.9,2501.0,2025-04-25 11:00:16,7
89.0,37.7,2501.0,2025-04-25 11:00:18,7
89.0,46.8,2501.0,2025-04-25 11:00:19,7
89.0,32.1,2501.0,2025-04-25 11:00:20,7
73.0,44.9,2501.0,2025-04-25 11:00:21,7
65.1,30.9,2501.0,2025-04-25 11:00:22,7
65.3,20.3,2501.0,2025-04-25 11:00:23,7
65.3,14.2,1600.0,2025-04-25 11:00:24,7
66.4,23.2,2501.0,2025-04-25 11:00:25,7
65.9,63.9,2501.0,2025-04-25 11:00:26,7
66.6,57.5,2501.0,2025-04-25 11:00:28,7
67.0,68.5,2501.0,2025-04-25 11:00:29,7
66.7,26.0,2501.0,2025-04-25 11:00:30,7
66.8,46.5,2501.0,2025-04-25 11:00:31,7
66.8,17.2,2501.0,2025-04-25 11:00:32,7
66.5,22.4,2501.0,2025-04-25 11:00:33,7
66.4,6.6,1800.0,2025-04-25 11:00:34,7
66.4,8.3,2501.0,2025-04-25 11:00:35,7
66.6,25.1,2501.0,2025-04-25 11:00:36,7
66.6,14.3,2501.0,2025-04-25 11:00:37,7
66.6,15.3,2500.0,2025-04-25 11:00:38,7
66.6,10.5,2501.0,2025-04-25 11:00:40,7
66.6,9.3,2501.0,2025-04-25 11:00:41,7
66.7,23.5,2501.0,2025-04-25 11:00:42,7
66.7,11.5,2501.0,2025-04-25 11:00:43,7
66.7,10.4,2000.0,2025-04-25 11:00:44,7
66.8,12.1,2501.0,2025-04-25 11:00:45,7
66.9,7.0,2501.0,2025-04-25 11:00:46,7
66.9,32.6,2501.0,2025-04-25 11:00:47,7
66.9,21.7,2501.0,2025-04-25 11:00:48,7
66.9,12.9,2501.0,2025-04-25 11:00:49,7
66.9,12.0,2501.0,2025-04-25 11:00:50,7
66.9,7.9,2501.0,2025-04-25 11:00:51,7
67.0,17.5,2501.0,2025-04-25 11:00:53,7
66.9,7.5,1800.0,2025-04-25 11:00:54,7
66.9,12.1,2501.0,2025-04-25 11:00:55,7
67.0,16.6,2501.0,2025-04-25 11:00:56,7
66.9,8.4,2501.0,2025-04-25 11:00:57,7
67.0,9.1,2501.0,2025-04-25 11:00:58,7
67.0,12.1,2501.0,2025-04-25 11:00:59,7
66.9,24.1,2501.0,2025-04-25 11:01:00,7
67.2,26.6,2501.0,2025-04-25 11:01:01,7
67.5,31.6,2501.0,2025-04-25 11:01:02,7
67.6,23.2,2501.0,2025-04-25 11:01:03,7
67.4,22.3,2501.0,2025-04-25 11:01:05,7
67.4,14.3,2501.0,2025-04-25 11:01:06,7
67.1,12.5,2500.0,2025-04-25 11:01:07,7
67.2,8.7,1800.0,2025-04-25 11:01:08,7
67.2,17.8,2501.0,2025-04-25 11:01:09,7
67.1,8.9,2501.0,2025-04-25 11:01:10,7
67.2,10.1,2501.0,2025-04-25 11:01:11,7
67.2,8.8,2501.0,2025-04-25 11:01:12,7
67.1,7.7,2501.0,2025-04-25 11:01:13,7
66.9,9.5,2501.0,2025-04-25 11:01:14,7
67.1,21.5,2501.0,2025-04-25 11:01:15,7
67.1,35.6,2501.0,2025-04-25 11:01:17,7
67.2,54.8,2501.0,2025-04-25 11:01:18,7
67.9,36.7,2501.0,2025-04-25 11:01:19,7
67.8,31.4,2501.0,2025-04-25 11:01:20,7
67.8,15.7,2500.0,2025-04-25 11:01:21,7
67.9,23.4,2501.0,2025-04-25 11:01:22,7
67.8,25.7,2501.0,2025-04-25 11:01:24,7
68.0,46.0,2501.0,2025-04-25 11:01:25,7
68.0,21.9,2501.0,2025-04-25 11:01:26,7
67.9,25.8,2501.0,2025-04-25 11:01:27,7
67.8,11.6,2500.0,2025-04-25 11:01:28,7
67.9,12.2,2501.0,2025-04-25 11:01:29,7
67.8,16.5,2501.0,2025-04-25 11:01:30,7
67.8,7.7,2501.0,2025-04-25 11:01:31,7
67.6,21.9,1600.0,2025-04-25 11:01:33,7
67.7,7.1,2500.0,2025-04-25 11:01:34,7
67.7,8.4,2501.0,2025-04-25 11:01:35,7
67.7,9.4,2501.0,2025-04-25 11:01:36,7
67.6,8.4,2501.0,2025-04-25 11:01:37,7
67.6,10.4,2501.0,2025-04-25 11:01:38,7
67.7,11.2,1800.0,2025-04-25 11:01:39,7
67.7,10.9,1600.0,2025-04-25 11:01:40,7
