ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7817363456,92.8,605372416,5258368,5088171,2501.0,3,59.8,2025-04-20 17:56:37,4
7820210176,92.8,602488832,5258624,5088230,2501.0,3,57.7,2025-04-20 17:56:38,4
7816757248,92.8,607948800,5258981,5088291,2501.0,3,56.8,2025-04-20 17:56:40,4
7811203072,92.7,611688448,5259249,5088344,2501.0,3,39.8,2025-04-20 17:56:41,4
7816245248,92.8,607789056,5259446,5088390,2501.0,3,33.1,2025-04-20 17:56:42,4
7813324800,92.8,609058816,5259722,5088440,2501.0,3,92.8,2025-04-20 17:56:44,4
7816929280,92.8,606760960,5259998,5088496,2501.0,3,74.1,2025-04-20 17:56:45,4
7819427840,92.8,604090368,5260371,5088594,2501.0,3,72.9,2025-04-20 17:56:46,4
7820460032,92.8,602480640,5260910,5088643,2501.0,3,65.8,2025-04-20 17:56:48,4
7821144064,92.9,601755648,5261147,5088718,2501.0,3,56.8,2025-04-20 17:56:49,4
