ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7733645312,91.8,689582080,5296813,5097333,2501.0,3,68.7,2025-04-20 17:59:33,4
7733981184,91.8,688287744,5297220,5097444,2501.0,3,55.9,2025-04-20 17:59:34,4
7744471040,91.9,679477248,5297619,5097507,2501.0,3,33.0,2025-04-20 17:59:35,4
7741018112,91.9,681811968,5298008,5097557,2501.0,3,29.8,2025-04-20 17:59:37,4
7737004032,91.9,686432256,5298297,5097610,2501.0,3,67.9,2025-04-20 17:59:38,4
7724118016,91.7,699981824,5298695,5097682,2501.0,3,34.8,2025-04-20 17:59:39,4
7729500160,91.8,694419456,5299075,5097768,2501.0,3,31.1,2025-04-20 17:59:40,4
7729385472,91.8,693362688,5299460,5097854,2501.0,3,28.7,2025-04-20 17:59:42,4
7732924416,91.8,693305344,5299809,5097903,2501.0,3,34.5,2025-04-20 17:59:43,4
7734796288,91.8,688037888,5300170,5098002,2501.0,3,43.5,2025-04-20 17:59:44,4
