cpu_ociosidade_dias,ram_percent,rede_sent,ram_uso,ram_livre,cpu_percent,cpu_freq,rede_recv,dataHora,maquinaId
7,74.7,177723,6290313216,2132377600,32.5,2501.0,343512,2025-04-24 18:45:21,6
7,74.8,177761,6295064576,2127691776,8.5,2501.0,343571,2025-04-24 18:45:23,6
7,74.7,177767,6283141120,2139406336,7.7,2501.0,343585,2025-04-24 18:45:24,6
7,74.7,177797,6294114304,2128568320,15.3,2501.0,343637,2025-04-24 18:45:25,6
7,74.8,177830,6299820032,2122989568,21.1,2501.0,343708,2025-04-24 18:45:26,6
7,74.8,177852,6300700672,2121961472,12.8,2501.0,343746,2025-04-24 18:45:27,6
7,74.9,177895,6308937728,2113679360,10.8,2501.0,343825,2025-04-24 18:45:28,6
7,74.9,177917,6309363712,2113298432,7.4,2501.0,343869,2025-04-24 18:45:29,6
7,75.0,177932,6310965248,2108264448,10.0,2501.0,343895,2025-04-24 18:45:31,6
7,75.0,177950,6318686208,2104025088,6.9,2501.0,343949,2025-04-24 18:45:32,6
7,74.9,177967,6308560896,2114109440,15.3,2501.0,343979,2025-04-24 18:45:33,6
7,74.9,177991,6302248960,2120495104,7.3,2501.0,344032,2025-04-24 18:45:34,6
7,74.8,178008,6294016000,2129186816,10.4,2501.0,344084,2025-04-24 18:45:35,6
7,74.9,178031,6311337984,2111143936,10.0,2501.0,344129,2025-04-24 18:45:36,6
7,75.0,178039,6316277760,2106384384,7.5,2501.0,344147,2025-04-24 18:45:37,6
7,75.0,178059,6312271872,2110431232,4.5,2501.0,344184,2025-04-24 18:45:38,6
7,75.0,178072,6310420480,2112360448,5.4,2501.0,344215,2025-04-24 18:45:40,6
7,74.9,178077,6306770944,2115239936,6.4,2501.0,344230,2025-04-24 18:45:41,6
7,75.0,178089,6314647552,2108174336,10.1,2501.0,344254,2025-04-24 18:45:42,6
7,74.8,178099,6297387008,2125275136,4.6,2501.0,344279,2025-04-24 18:45:43,6
7,74.9,178112,6303952896,2118864896,7.8,2501.0,344300,2025-04-24 18:45:44,6
7,75.0,178121,6313058304,2109648896,6.9,2501.0,344327,2025-04-24 18:45:45,6
