cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
100.0,2501.0,90.0,7579299840,0,847106048,2025-04-09 21:49:03,3
82.2,2501.0,90.2,7601344512,0,821317632,2025-04-09 21:49:04,3
45.0,2501.0,90.3,7606038528,0,817041408,2025-04-09 21:49:05,3
31.2,2501.0,90.4,7617028096,0,807895040,2025-04-09 21:49:06,3
18.3,2501.0,90.4,7611322368,0,811622400,2025-04-09 21:49:07,3
27.1,2501.0,90.4,7617900544,0,804880384,2025-04-09 21:49:09,3
24.4,2501.0,90.5,7626407936,0,795615232,2025-04-09 21:49:10,3
19.3,2501.0,90.5,7626006528,0,796663808,2025-04-09 21:49:11,3
85.7,2501.0,90.7,7637168128,0,785838080,2025-04-09 21:49:12,3
72.4,2501.0,91.8,7734763520,0,681144320,2025-04-09 21:49:14,3
