ram_percent,ram_uso,cpu_ociosidade_dias,rede_sent,rede_recv,cpu_freq,cpu_percent,ram_livre,dataHora,maquinaId
71.7,12071309312,120,822854,618902,1700.0,18.1,4776312832,2025-04-21 21:30:15,9
71.6,12065411072,120,822962,618982,1700.0,19.5,4780834816,2025-04-21 21:30:16,9
71.6,12069416960,120,823071,619095,1700.0,17.2,4778455040,2025-04-21 21:30:18,9
71.7,12072599552,120,823173,619203,1700.0,19.9,4775010304,2025-04-21 21:30:20,9
71.7,12075745280,120,823278,619273,1700.0,18.6,4772126720,2025-04-21 21:30:22,9
71.7,12072435712,120,823432,619361,1700.0,18.3,4775448576,2025-04-21 21:30:23,9
71.6,12064137216,120,823624,619406,1700.0,17.6,4783861760,2025-04-21 21:30:25,9
71.5,12051861504,120,823735,619438,1700.0,16.5,4796010496,2025-04-21 21:30:27,9
71.5,12043173888,120,823847,619473,1700.0,17.2,4804763648,2025-04-21 21:30:29,9
71.5,12045713408,120,823962,619551,1700.0,19.7,4802289664,2025-04-21 21:30:30,9
71.5,12041777152,120,824079,619647,1700.0,15.0,4806094848,2025-04-21 21:30:32,9
71.5,12052447232,120,824181,619672,1700.0,18.0,4795936768,2025-04-21 21:30:34,9
71.5,12044525568,120,824319,619718,1700.0,20.7,4803346432,2025-04-21 21:30:36,9
71.4,12037349376,120,824433,619847,1700.0,16.0,4810530816,2025-04-21 21:30:37,9
71.5,12045504512,120,824545,619926,1700.0,17.4,4802465792,2025-04-21 21:30:39,9
71.5,12050026496,120,824696,620015,1700.0,19.8,4798128128,2025-04-21 21:30:41,9
71.5,12044513280,120,824800,620120,1700.0,16.7,4803358720,2025-04-21 21:30:43,9
71.5,12050010112,120,824951,620154,1700.0,20.3,4797861888,2025-04-21 21:30:44,9
71.5,12052885504,120,825087,620171,1700.0,16.5,4794986496,2025-04-21 21:30:46,9
71.5,12046409728,120,825207,620191,1700.0,17.5,4801220608,2025-04-21 21:30:48,9
71.6,12056166400,120,825342,620252,1700.0,17.1,4791377920,2025-04-21 21:30:50,9
71.5,12053442560,120,825448,620362,1700.0,24.8,4794941440,2025-04-21 21:30:51,9
71.5,12050259968,120,825556,620407,1700.0,16.5,4797218816,2025-04-21 21:30:53,9
71.5,12040511488,120,825659,620430,1700.0,16.8,4807708672,2025-04-21 21:30:55,9
71.5,12046327808,120,825764,620449,1700.0,16.1,4801622016,2025-04-21 21:30:57,9
71.5,12037783552,120,825876,620505,1700.0,16.8,4809015296,2025-04-21 21:30:58,9
71.6,12055584768,120,825977,620548,1700.0,19.5,4792283136,2025-04-21 21:31:00,9
71.5,12045086720,120,826086,620600,1700.0,19.0,4802715648,2025-04-21 21:31:02,9
71.6,12058132480,120,826187,620643,1700.0,17.6,4789817344,2025-04-21 21:31:04,9
71.5,12052185088,120,826307,620664,1700.0,21.4,4796395520,2025-04-21 21:31:05,9
71.4,12036837376,120,826441,620688,1700.0,17.3,4811083776,2025-04-21 21:31:07,9
71.4,12028260352,120,826547,620707,1700.0,19.3,4818817024,2025-04-21 21:31:09,9
71.4,12021862400,120,826687,620805,1700.0,18.2,4825694208,2025-04-21 21:31:11,9
71.4,12032016384,120,826882,620938,1700.0,18.8,4815855616,2025-04-21 21:31:12,9
71.3,12020445184,120,827097,621078,1700.0,17.5,4826869760,2025-04-21 21:31:14,9
71.4,12024864768,120,827293,621202,1700.0,16.5,4823011328,2025-04-21 21:31:16,9
71.4,12035952640,120,827489,621269,1700.0,20.7,4820738048,2025-04-21 21:31:18,9
71.4,12025593856,120,827644,621341,1700.0,18.2,4821184512,2025-04-21 21:31:19,9
71.5,12039708672,120,827773,621439,1700.0,19.5,4808163328,2025-04-21 21:31:21,9
71.4,12029894656,120,827929,621526,1700.0,17.2,4817190912,2025-04-21 21:31:23,9
71.4,12036009984,120,828123,621619,1700.0,19.3,4810616832,2025-04-21 21:31:25,9
71.5,12049346560,120,828303,621642,1700.0,17.8,4799873024,2025-04-21 21:31:26,9
71.6,12057444352,120,828489,621661,1700.0,26.6,4784885760,2025-04-21 21:31:28,9
71.7,12072529920,120,828610,621720,1700.0,24.7,4774473728,2025-04-21 21:31:30,9
71.6,12062650368,120,828747,621777,1700.0,22.7,4785647616,2025-04-21 21:31:32,9
71.5,12053032960,120,828887,621930,1700.0,20.4,4792999936,2025-04-21 21:31:33,9
71.6,12069556224,120,829070,622073,1700.0,21.2,4782612480,2025-04-21 21:31:35,9
71.6,12061974528,120,829268,622191,1700.0,26.0,4785348608,2025-04-21 21:31:37,9
71.6,12061310976,120,829407,622209,1700.0,20.3,4786118656,2025-04-21 21:31:39,9
71.7,12076199936,120,829564,622255,1700.0,24.3,4771885056,2025-04-21 21:31:40,9
71.8,12089806848,120,829691,622388,1700.0,22.3,4757770240,2025-04-21 21:31:42,9
71.7,12087345152,120,829856,622449,1700.0,25.8,4759257088,2025-04-21 21:31:44,9
71.7,12080881664,120,830048,622469,1700.0,25.8,4767019008,2025-04-21 21:31:46,9
71.9,12115030016,120,830243,622527,1700.0,26.1,4736212992,2025-04-21 21:31:47,9
71.8,12099956736,120,830409,622600,1700.0,22.7,4747808768,2025-04-21 21:31:49,9
71.9,12111675392,120,830607,622653,1700.0,24.0,4736278528,2025-04-21 21:31:51,9
