ram_livre,rede_recv,ram_uso,cpu_ociosidade_dias,cpu_percent,rede_sent,ram_percent,cpu_freq,dataHora,maquinaId
587194368,446463,7835455488,4,27.1,155143,93.0,2501.0,2025-04-21 15:13:49,4
573452288,446478,7849336832,4,14.6,155157,93.2,2501.0,2025-04-21 15:13:51,4
570388480,446490,7851573248,4,9.1,155168,93.2,2501.0,2025-04-21 15:13:53,4
568623104,446511,7853907968,4,13.4,155179,93.2,2501.0,2025-04-21 15:13:55,4
565932032,446531,7856488448,4,17.2,155195,93.3,2501.0,2025-04-21 15:13:57,4
565051392,446599,7857496064,4,9.8,155231,93.3,2501.0,2025-04-21 15:13:59,4
587853824,446612,7834808320,4,44.0,155243,93.0,2501.0,2025-04-21 15:14:00,4
630554624,446626,7792107520,4,33.8,155258,92.6,2501.0,2025-04-21 15:14:02,4
632168448,446641,7790493696,4,12.3,155272,92.5,2501.0,2025-04-21 15:14:04,4
593702912,446663,7822483456,4,30.9,155296,92.8,2501.0,2025-04-21 15:14:06,4
