cpu_ociosidade_dias,ram_percent,rede_sent,ram_uso,ram_livre,cpu_percent,cpu_freq,rede_recv,dataHora,maquinaId
7,92.7,70253,7803981824,618729472,20.7,2501.0,133275,2025-04-24 13:29:50,6
7,92.7,70289,7804772352,618110976,16.6,2501.0,133318,2025-04-24 13:29:51,6
7,92.7,70292,7804563456,618098688,13.9,2501.0,133331,2025-04-24 13:29:52,6
7,92.7,70311,7804731392,618020864,11.6,2501.0,133367,2025-04-24 13:29:53,6
7,92.6,70327,7798784000,623443968,35.1,2501.0,133405,2025-04-24 13:29:54,6
7,92.6,70329,7801200640,622252032,24.1,2501.0,133412,2025-04-24 13:29:56,6
7,92.6,70339,7797620736,625041408,22.8,2501.0,133437,2025-04-24 13:29:57,6
7,92.6,70368,7798763520,623931392,18.2,2501.0,133489,2025-04-24 13:29:58,6
7,92.6,70386,7799713792,622948352,11.2,2501.0,133539,2025-04-24 13:29:59,6
7,92.6,70403,7798390784,624222208,22.1,2501.0,133578,2025-04-24 13:30:00,6
7,92.6,70421,7802990592,619679744,10.2,2501.0,133607,2025-04-24 13:30:01,6
7,92.6,70431,7800324096,622338048,9.0,2501.0,133630,2025-04-24 13:30:02,6
7,92.6,70453,7800602624,621797376,9.5,2501.0,133664,2025-04-24 13:30:04,6
7,92.6,70478,7802785792,619876352,16.1,2501.0,133723,2025-04-24 13:30:05,6
7,92.6,70503,7801516032,621125632,13.1,2501.0,133781,2025-04-24 13:30:06,6
7,92.6,70512,7800303616,622526464,31.4,2501.0,133800,2025-04-24 13:30:07,6
7,92.7,70548,7804252160,618414080,22.1,2501.0,133842,2025-04-24 13:30:08,6
7,92.7,70585,7805239296,617451520,19.2,2501.0,133894,2025-04-24 13:30:09,6
7,92.7,70610,7806582784,616079360,19.9,2501.0,133927,2025-04-24 13:30:10,6
7,93.1,70632,7841431552,581599232,27.8,2501.0,133948,2025-04-24 13:30:12,6
7,93.0,70685,7836737536,585940992,26.1,2501.0,134024,2025-04-24 13:30:13,6
7,93.0,70723,7832600576,590766080,12.1,2501.0,134086,2025-04-24 13:30:14,6
7,93.0,70752,7835983872,586731520,15.4,2501.0,134131,2025-04-24 13:30:15,6
7,93.1,70813,7839412224,583245824,16.7,2501.0,134226,2025-04-24 13:30:16,6
7,93.1,70858,7837106176,585588736,15.5,2501.0,134296,2025-04-24 13:30:17,6
7,93.0,70878,7836778496,586035200,28.9,2501.0,134318,2025-04-24 13:30:19,6
7,92.9,70891,7827652608,587116544,17.2,2501.0,134343,2025-04-24 13:30:20,6
7,93.1,70910,7835639808,587010048,36.2,2501.0,134382,2025-04-24 13:30:21,6
7,93.1,70916,7836356608,586567680,11.9,2501.0,134405,2025-04-24 13:30:22,6
7,93.0,70945,7835680768,587087872,24.7,2501.0,134451,2025-04-24 13:30:23,6
7,93.0,70976,7831740416,590917632,15.5,2501.0,134506,2025-04-24 13:30:24,6
7,93.0,71007,7831486464,591175680,16.7,2501.0,134585,2025-04-24 13:30:26,6
7,93.0,71019,7827787776,594866176,10.9,2501.0,134608,2025-04-24 13:30:27,6
7,92.9,71036,7827890176,594771968,9.4,2501.0,134649,2025-04-24 13:30:28,6
7,93.0,71047,7828885504,593776640,12.9,2501.0,134667,2025-04-24 13:30:29,6
7,92.9,71063,7826542592,596119552,11.8,2501.0,134700,2025-04-24 13:30:30,6
7,92.9,71083,7823990784,598683648,10.9,2501.0,134746,2025-04-24 13:30:31,6
7,92.9,71163,7823810560,599760896,22.0,2501.0,134823,2025-04-24 13:30:32,6
7,92.9,71184,7823839232,598847488,8.3,2501.0,134848,2025-04-24 13:30:33,6
7,92.9,71214,7821467648,601194496,14.0,2501.0,134915,2025-04-24 13:30:35,6
7,92.9,71232,7823360000,599302144,11.4,2501.0,134955,2025-04-24 13:30:36,6
7,92.9,71254,7825649664,597090304,12.2,2501.0,134991,2025-04-24 13:30:37,6
7,92.9,71266,7824576512,598097920,12.1,2501.0,135020,2025-04-24 13:30:38,6
7,92.8,71275,7817768960,604872704,12.9,2501.0,135049,2025-04-24 13:30:39,6
7,92.8,71282,7818891264,603750400,15.2,2501.0,135059,2025-04-24 13:30:40,6
7,92.8,71289,7815938048,606724096,12.5,2501.0,135080,2025-04-24 13:30:41,6
7,92.9,71292,7820390400,602284032,10.7,2501.0,135085,2025-04-24 13:30:42,6
7,92.8,71302,7819882496,602738688,20.2,2501.0,135109,2025-04-24 13:30:44,6
7,92.8,71312,7821553664,601157632,16.6,2501.0,135138,2025-04-24 13:30:45,6
7,92.8,71318,7817211904,605790208,17.7,2501.0,135166,2025-04-24 13:30:46,6
7,92.8,71323,7815360512,607301632,11.0,2501.0,135184,2025-04-24 13:30:47,6
7,92.8,71370,7818203136,603181056,15.0,2501.0,135252,2025-04-24 13:30:48,6
7,92.8,71400,7818035200,604667904,12.5,2501.0,135321,2025-04-24 13:30:49,6
7,92.8,71402,7817838592,604819456,16.1,2501.0,135336,2025-04-24 13:30:50,6
7,92.8,71419,7818153984,604442624,12.2,2501.0,135372,2025-04-24 13:30:52,6
7,92.8,71429,7811837952,610824192,13.6,2501.0,135397,2025-04-24 13:30:53,6
7,92.8,71444,7818698752,603987968,10.5,2501.0,135415,2025-04-24 13:30:54,6
7,92.8,71468,7817363456,605327360,13.1,2501.0,135465,2025-04-24 13:30:55,6
7,92.8,71477,7814959104,607703040,13.3,2501.0,135499,2025-04-24 13:30:56,6
7,92.8,71478,7813017600,609665024,20.1,2501.0,135513,2025-04-24 13:30:57,6
7,92.7,71493,7809945600,619638784,13.9,2501.0,135541,2025-04-24 13:30:58,6
7,92.7,71504,7804432384,618336256,11.3,2501.0,135574,2025-04-24 13:30:59,6
7,92.7,71514,7807254528,615407616,15.7,2501.0,135598,2025-04-24 13:31:01,6
7,92.7,71529,7802355712,620306432,11.9,2501.0,135621,2025-04-24 13:31:02,6
7,92.7,71539,7808262144,614567936,8.9,2501.0,135650,2025-04-24 13:31:03,6
7,92.7,71548,7809060864,613621760,10.9,2501.0,135680,2025-04-24 13:31:04,6
7,92.7,71575,7805726720,617127936,15.5,2501.0,135728,2025-04-24 13:31:05,6
7,92.7,71585,7804960768,617746432,11.3,2501.0,135758,2025-04-24 13:31:06,6
7,92.7,71622,7806648320,617472000,16.3,2501.0,135823,2025-04-24 13:31:07,6
7,92.6,71639,7801647104,621019136,10.4,2501.0,135864,2025-04-24 13:31:09,6
7,92.7,71646,7806590976,616071168,10.1,2501.0,135870,2025-04-24 13:31:10,6
7,92.6,71657,7797497856,625209344,26.5,2501.0,135897,2025-04-24 13:31:11,6
7,92.6,71672,7801667584,621019136,15.0,2501.0,135933,2025-04-24 13:31:12,6
7,92.7,71674,7803191296,619507712,11.7,2501.0,135948,2025-04-24 13:31:13,6
7,92.6,71688,7800188928,622465024,13.1,2501.0,135972,2025-04-24 13:31:14,6
7,92.7,71702,7806455808,616206336,11.7,2501.0,136003,2025-04-24 13:31:15,6
7,92.7,71704,7803736064,618917888,13.7,2501.0,136009,2025-04-24 13:31:16,6
7,92.6,71713,7800508416,621207552,19.1,2501.0,136029,2025-04-24 13:31:18,6
7,92.7,71718,7804653568,618045440,15.4,2501.0,136049,2025-04-24 13:31:19,6
7,92.7,71731,7808524288,614137856,22.4,2501.0,136081,2025-04-24 13:31:20,6
7,92.7,71733,7811063808,611598336,12.0,2501.0,136100,2025-04-24 13:31:21,6
7,92.7,71747,7810813952,611848192,22.7,2501.0,136133,2025-04-24 13:31:22,6
7,92.7,71757,7808307200,614834176,17.7,2501.0,136167,2025-04-24 13:31:23,6
7,92.7,71762,7811125248,611536896,12.3,2501.0,136176,2025-04-24 13:31:24,6
7,92.8,71776,7811735552,610979840,14.5,2501.0,136215,2025-04-24 13:31:25,6
7,92.7,71789,7809122304,613539840,15.7,2501.0,136244,2025-04-24 13:31:27,6
7,92.8,71794,7811268608,611426304,12.7,2501.0,136255,2025-04-24 13:31:28,6
7,92.7,71806,7808397312,611311616,6.3,2501.0,136282,2025-04-24 13:31:29,6
7,92.7,71817,7809875968,612782080,12.8,2501.0,136308,2025-04-24 13:31:30,6
7,92.7,71834,7808942080,613777408,11.7,2501.0,136350,2025-04-24 13:31:31,6
7,91.9,71847,7735504896,687079424,21.3,2501.0,136373,2025-04-24 13:31:32,6
7,90.7,71857,7635197952,788197376,18.4,2501.0,136399,2025-04-24 13:31:33,6
7,90.4,71870,7617900544,802672640,20.3,2501.0,136432,2025-04-24 13:31:35,6
7,90.2,71902,7576674304,853327872,20.0,2501.0,136475,2025-04-24 13:31:36,6
7,88.2,71922,7426985984,995676160,10.8,2501.0,136517,2025-04-24 13:31:37,6
7,88.2,71930,7428419584,994250752,8.5,2501.0,136536,2025-04-24 13:31:38,6
7,88.2,71949,7430414336,992251904,11.3,2501.0,136583,2025-04-24 13:31:39,6
7,88.3,71967,7434092544,988606464,9.5,2501.0,136613,2025-04-24 13:31:40,6
7,88.2,71971,7431688192,991170560,9.3,2501.0,136632,2025-04-24 13:31:41,6
7,88.3,71980,7434424320,988299264,9.1,2501.0,136648,2025-04-24 13:31:43,6
