cpu_ociosidade_dias,ram_percent,rede_sent,ram_uso,ram_livre,cpu_percent,cpu_freq,rede_recv,dataHora,maquinaId
7,68.6,128447,5778915328,2643898368,8.8,2501.0,244012,2025-04-24 17:58:55,6
7,68.6,128453,5777174528,2646306816,5.7,2501.0,244035,2025-04-24 17:58:56,6
7,68.6,128458,5778112512,2644598784,7.3,2501.0,244053,2025-04-24 17:58:57,6
7,68.6,128464,5775679488,2646745088,13.2,2501.0,244073,2025-04-24 17:58:58,6
7,68.6,128467,5777022976,2643795968,22.7,2501.0,244099,2025-04-24 17:59:00,6
7,68.6,128470,5781864448,2641149952,13.4,2501.0,244114,2025-04-24 17:59:01,6
7,68.6,128477,5779337216,2643324928,4.6,2501.0,244141,2025-04-24 17:59:02,6
7,68.6,128482,5778288640,2645225472,11.5,2501.0,244157,2025-04-24 17:59:03,6
7,68.6,128499,5774876672,2640363520,6.9,2501.0,244197,2025-04-24 17:59:04,6
7,68.6,128517,5781286912,2641674240,4.7,2501.0,244234,2025-04-24 17:59:05,6
7,68.6,128527,5780676608,2642067456,6.9,2501.0,244271,2025-04-24 17:59:06,6
7,68.7,128546,5783416832,2639327232,6.9,2501.0,244309,2025-04-24 17:59:08,6
7,68.7,128557,5781860352,2640916480,9.9,2501.0,244350,2025-04-24 17:59:09,6
7,68.6,128565,5779656704,2643144704,7.3,2501.0,244387,2025-04-24 17:59:10,6
7,68.7,128567,5783785472,2638876672,6.8,2501.0,244402,2025-04-24 17:59:11,6
7,68.6,128569,5779492864,2643144704,6.9,2501.0,244417,2025-04-24 17:59:12,6
7,68.6,128579,5781630976,2641113088,15.1,2501.0,244443,2025-04-24 17:59:13,6
7,68.6,128590,5775441920,2648485888,8.2,2501.0,244474,2025-04-24 17:59:14,6
7,68.6,128594,5776171008,2646728704,27.3,2501.0,244490,2025-04-24 17:59:16,6
7,68.7,128613,5782675456,2640080896,13.6,2501.0,244526,2025-04-24 17:59:17,6
7,68.6,128634,5781118976,2641600512,6.7,2501.0,244563,2025-04-24 17:59:18,6
7,68.7,128648,5782548480,2640166912,5.5,2501.0,244604,2025-04-24 17:59:19,6
7,68.6,128654,5780512768,2642202624,8.1,2501.0,244624,2025-04-24 17:59:20,6
7,68.6,128659,5777539072,2645123072,16.7,2501.0,244642,2025-04-24 17:59:21,6
7,68.6,128672,5781155840,2641588224,14.9,2501.0,244674,2025-04-24 17:59:22,6
7,68.7,128674,5780828160,2641915904,11.1,2501.0,244687,2025-04-24 17:59:24,6
7,68.6,128681,5780918272,2639908864,34.8,2501.0,244708,2025-04-24 17:59:25,6
7,68.6,128684,5775093760,2647646208,11.1,2501.0,244725,2025-04-24 17:59:26,6
7,68.6,128689,5780545536,2642198528,8.7,2501.0,244741,2025-04-24 17:59:27,6
7,68.6,128693,5775802368,2646884352,5.5,2501.0,244751,2025-04-24 17:59:28,6
7,68.6,128695,5775003648,2647740416,6.5,2501.0,244762,2025-04-24 17:59:29,6
7,68.5,128702,5772111872,2644799488,8.5,2501.0,244784,2025-04-24 17:59:30,6
7,68.6,128705,5776244736,2646491136,9.6,2501.0,244790,2025-04-24 17:59:32,6
7,68.6,128718,5780033536,2642751488,6.9,2501.0,244822,2025-04-24 17:59:33,6
7,68.6,128735,5775462400,2647396352,5.2,2501.0,244851,2025-04-24 17:59:34,6
7,68.6,128740,5779849216,2642890752,9.2,2501.0,244864,2025-04-24 17:59:35,6
7,68.6,128762,5775482880,2647281664,8.3,2501.0,244900,2025-04-24 17:59:36,6
7,68.6,128776,5778231296,2644500480,9.2,2501.0,244930,2025-04-24 17:59:37,6
7,68.6,128793,5776891904,2640175104,7.7,2501.0,244966,2025-04-24 17:59:38,6
7,68.6,128798,5776097280,2646609920,7.8,2501.0,244992,2025-04-24 17:59:40,6
7,68.6,128811,5775597568,2647248896,29.4,2501.0,245019,2025-04-24 17:59:41,6
7,68.5,128818,5771857920,2650906624,6.3,2501.0,245038,2025-04-24 17:59:42,6
7,68.6,128832,5779701760,2642960384,4.3,2501.0,245051,2025-04-24 17:59:43,6
7,68.6,128836,5776257024,2647851008,10.3,2501.0,245063,2025-04-24 17:59:44,6
7,68.6,128842,5778698240,2644881408,9.7,2501.0,245083,2025-04-24 17:59:45,6
7,68.6,128847,5778333696,2644447232,8.7,2501.0,245106,2025-04-24 17:59:46,6
7,68.6,128869,5776855040,2647711744,5.4,2501.0,245143,2025-04-24 17:59:48,6
7,68.5,128881,5778300928,2644443136,11.5,2501.0,245167,2025-04-24 17:59:49,6
