cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
29.5,2501.0,87.2,7348293632,0,1074343936,2025-04-09 21:48:20,3
47.6,2000.0,87.3,7355342848,0,1069080576,2025-04-09 21:48:21,3
4.0,1600.0,87.2,7346380800,0,1076281344,2025-04-09 21:48:22,3
11.0,2501.0,87.2,7344185344,0,1078546432,2025-04-09 21:48:23,3
6.7,2501.0,87.2,7347228672,0,1075433472,2025-04-09 21:48:24,3
7.0,1200.0,87.2,7346593792,0,1076113408,2025-04-09 21:48:26,3
7.4,2501.0,87.2,7346982912,0,1075679232,2025-04-09 21:48:27,3
6.0,2501.0,87.2,7348400128,0,1074262016,2025-04-09 21:48:28,3
6.0,2500.0,87.2,7347355648,0,1075474432,2025-04-09 21:48:29,3
9.8,2501.0,87.2,7347777536,0,1074638848,2025-04-09 21:48:30,3
