ram_uso,cpu_freq,ram_percent,cpu_percent,cpu_ociosidade_dias,rede_sent,rede_recv,ram_livre,dataHora,maquinaId
7211089920,2501.0,85.6,5.0,5,26749,48104,1211572224,2025-04-21 19:56:20,4
7208079360,800.0,85.6,18.3,5,26749,48112,1214582784,2025-04-21 19:56:21,4
7210430464,800.0,85.6,3.3,5,26752,48118,1212321792,2025-04-21 19:56:22,4
7210180608,2501.0,85.6,5.8,5,26752,48119,1212497920,2025-04-21 19:56:23,4
7208763392,800.0,85.6,4.4,5,26752,48126,1213898752,2025-04-21 19:56:24,4
7206543360,1400.0,85.6,7.0,5,26753,48131,1214230528,2025-04-21 19:56:25,4
7207636992,800.0,85.6,4.0,5,26753,48131,1215168512,2025-04-21 19:56:27,4
7204646912,800.0,85.5,3.6,5,26759,48157,1214205952,2025-04-21 19:56:28,4
7207981056,800.0,85.6,4.3,5,26759,48168,1214926848,2025-04-21 19:56:29,4
7208468480,800.0,85.6,7.2,5,26766,48177,1214455808,2025-04-21 19:56:30,4
7207133184,800.0,85.6,3.6,5,26766,48177,1215791104,2025-04-21 19:56:31,4
7208386560,800.0,85.6,4.0,5,26768,48186,1214275584,2025-04-21 19:56:32,4
7207989248,800.0,85.6,3.2,5,26770,48195,1214693376,2025-04-21 19:56:33,4
7207346176,800.0,85.6,3.6,5,26772,48197,1214009344,2025-04-21 19:56:34,4
7208230912,2000.0,85.6,2.9,5,26773,48197,1214476288,2025-04-21 19:56:35,4
7207653376,800.0,85.6,5.8,5,26776,48211,1214042112,2025-04-21 19:56:36,4
7208075264,800.0,85.6,4.0,5,26777,48212,1214648320,2025-04-21 19:56:37,4
7207731200,1400.0,85.6,3.0,5,26777,48214,1214943232,2025-04-21 19:56:38,4
7208169472,1800.0,85.6,3.3,5,26788,48232,1214509056,2025-04-21 19:56:39,4
7207153664,800.0,85.6,4.4,5,26790,48239,1214038016,2025-04-21 19:56:40,4
7207481344,1600.0,85.6,5.9,5,26791,48239,1215180800,2025-04-21 19:56:42,4
7207419904,800.0,85.6,3.3,5,26791,48255,1215242240,2025-04-21 19:56:43,4
7207264256,800.0,85.6,2.9,5,26792,48267,1215397888,2025-04-21 19:56:44,4
7206952960,800.0,85.6,3.9,5,26793,48270,1215193088,2025-04-21 19:56:45,4
7206920192,2501.0,85.6,2.9,5,26793,48271,1215741952,2025-04-21 19:56:46,4
7207038976,800.0,85.6,5.9,5,26793,48283,1215623168,2025-04-21 19:56:47,4
7208181760,2501.0,85.6,35.8,5,26793,48289,1216622592,2025-04-21 19:56:48,4
7212519424,2501.0,85.6,10.2,5,26799,48301,1210142720,2025-04-21 19:56:49,4
7203971072,800.0,85.5,5.8,5,26803,48307,1218732032,2025-04-21 19:56:50,4
7203840000,2501.0,85.5,5.5,5,26806,48322,1218822144,2025-04-21 19:56:51,4
7206801408,2500.0,85.6,44.6,5,26828,48351,1215860736,2025-04-21 19:56:52,4
7206862848,2501.0,85.6,79.0,5,26856,48389,1216430080,2025-04-21 19:56:54,4
7207485440,2501.0,85.6,95.3,5,26868,48450,1215320064,2025-04-21 19:56:55,4
7206952960,2501.0,85.6,35.3,5,26886,48490,1215557632,2025-04-21 19:56:56,4
7208329216,2501.0,85.6,43.8,5,26900,48587,1214312448,2025-04-21 19:56:58,4
7211888640,2501.0,85.6,55.2,5,26910,48608,1211490304,2025-04-21 19:56:59,4
7212752896,2501.0,85.6,15.8,5,26923,48643,1210101760,2025-04-21 19:57:00,4
7212986368,1400.0,85.6,15.4,5,26930,48649,1209688064,2025-04-21 19:57:01,4
7212204032,2501.0,85.6,4.4,5,26935,48660,1210458112,2025-04-21 19:57:02,4
7212032000,2000.0,85.6,3.0,5,26935,48671,1210630144,2025-04-21 19:57:03,4
7219699712,2501.0,85.7,28.2,5,26943,48730,1202962432,2025-04-21 19:57:04,4
7217197056,2501.0,85.7,17.6,5,26948,48733,1205272576,2025-04-21 19:57:05,4
7217156096,2501.0,85.7,35.4,5,26969,48798,1205567488,2025-04-21 19:57:06,4
7216283648,800.0,85.7,2.9,5,26971,48801,1206378496,2025-04-21 19:57:08,4
