ram_uso,cpu_freq,ram_percent,cpu_percent,cpu_ociosidade_dias,rede_sent,rede_recv,ram_livre,dataHora,maquinaId
7446593536,2501.0,88.4,21.5,5,28709,52508,976138240,2025-04-21 20:02:22,4
7439396864,800.0,88.3,11.0,5,28713,52519,984158208,2025-04-21 20:02:23,4
7414939648,2500.0,88.0,14.4,5,28713,52521,1007730688,2025-04-21 20:02:24,4
7402692608,800.0,87.9,21.4,5,28718,52528,1019969536,2025-04-21 20:02:25,4
7397953536,2501.0,87.8,23.7,5,28718,52529,1024712704,2025-04-21 20:02:26,4
7351099392,2500.0,87.3,5.5,5,28719,52532,1071591424,2025-04-21 20:02:27,4
7361212416,2501.0,87.4,5.6,5,28721,52533,1061449728,2025-04-21 20:02:29,4
7360278528,1400.0,87.4,5.5,5,28727,52539,1066016768,2025-04-21 20:02:30,4
7355584512,1400.0,87.3,3.7,5,28728,52541,1067077632,2025-04-21 20:02:31,4
7357411328,2501.0,87.4,7.1,5,28729,52542,1065250816,2025-04-21 20:02:32,4
7374819328,800.0,87.6,15.3,5,28730,52543,1048481792,2025-04-21 20:02:33,4
7368343552,800.0,87.5,8.3,5,28732,52545,1054593024,2025-04-21 20:02:34,4
7351353344,2501.0,87.3,22.4,5,28735,52559,1071738880,2025-04-21 20:02:35,4
7353417728,1000.0,87.3,9.7,5,28735,52559,1068834816,2025-04-21 20:02:36,4
7354724352,2501.0,87.3,35.7,5,28736,52559,1067937792,2025-04-21 20:02:37,4
7353794560,2501.0,87.3,14.2,5,28736,52559,1064067072,2025-04-21 20:02:38,4
7364059136,2501.0,87.4,26.0,5,28737,52561,1058344960,2025-04-21 20:02:39,4
7326388224,2501.0,87.0,16.1,5,28738,52563,1096273920,2025-04-21 20:02:40,4
7334830080,1600.0,87.1,4.8,5,28740,52566,1087832064,2025-04-21 20:02:41,4
7335813120,800.0,87.1,7.3,5,28742,52572,1086926848,2025-04-21 20:02:43,4
7333658624,2501.0,87.1,18.8,5,28744,52574,1089908736,2025-04-21 20:02:44,4
7319478272,2501.0,86.9,43.5,5,28745,52574,1103183872,2025-04-21 20:02:45,4
7319678976,800.0,86.9,14.8,5,28745,52577,1102983168,2025-04-21 20:02:46,4
7310540800,800.0,86.8,18.7,5,28745,52578,1112535040,2025-04-21 20:02:47,4
7313219584,2501.0,86.8,12.0,5,28745,52578,1110904832,2025-04-21 20:02:48,4
7310499840,2000.0,86.8,8.1,5,28745,52578,1112162304,2025-04-21 20:02:49,4
7307157504,2501.0,86.8,11.8,5,28747,52587,1116725248,2025-04-21 20:02:50,4
7317008384,2501.0,86.9,15.5,5,28747,52588,1105375232,2025-04-21 20:02:51,4
7307800576,2501.0,86.8,17.9,5,28751,52592,1114959872,2025-04-21 20:02:52,4
7273775104,2501.0,86.4,9.6,5,28751,52593,1150337024,2025-04-21 20:02:53,4
7312121856,2501.0,86.8,20.4,5,28751,52597,1110757376,2025-04-21 20:02:54,4
7326642176,800.0,87.0,9.4,5,28751,52597,1096540160,2025-04-21 20:02:56,4
7302688768,2501.0,86.7,11.9,5,28800,52673,1122127872,2025-04-21 20:02:57,4
7332102144,1200.0,87.1,23.4,5,28914,52874,1090560000,2025-04-21 20:02:58,4
7396257792,2501.0,87.9,56.4,5,29093,53598,1022394368,2025-04-21 20:02:59,4
7393472512,2501.0,87.8,42.7,5,29201,54127,1029185536,2025-04-21 20:03:00,4
7440584704,2501.0,88.3,46.0,5,29339,54659,982249472,2025-04-21 20:03:01,4
7484612608,2501.0,88.9,56.7,5,29495,55155,937189376,2025-04-21 20:03:02,4
7461785600,1400.0,88.6,11.7,5,29510,55183,960876544,2025-04-21 20:03:03,4
7461015552,2501.0,88.6,13.0,5,29511,55184,961646592,2025-04-21 20:03:04,4
7451967488,800.0,88.5,11.8,5,29512,55186,971272192,2025-04-21 20:03:05,4
7438487552,1600.0,88.3,9.0,5,29513,55186,984305664,2025-04-21 20:03:06,4
7437762560,2501.0,88.3,10.3,5,29514,55186,984911872,2025-04-21 20:03:08,4
7419781120,1800.0,88.1,26.9,5,29528,55190,1002639360,2025-04-21 20:03:09,4
7420407808,800.0,88.1,12.8,5,29534,55196,1004085248,2025-04-21 20:03:10,4
7412703232,1000.0,88.0,9.4,5,29568,55284,1005387776,2025-04-21 20:03:11,4
7415894016,2501.0,88.0,10.9,5,29569,55285,1006768128,2025-04-21 20:03:12,4
7413186560,1600.0,88.0,11.9,5,29573,55294,1009573888,2025-04-21 20:03:13,4
7406784512,2501.0,87.9,13.6,5,29573,55295,1020100608,2025-04-21 20:03:14,4
7488565248,2501.0,88.9,31.4,5,29577,55299,934096896,2025-04-21 20:03:15,4
7493365760,2501.0,89.0,15.3,5,29578,55304,929296384,2025-04-21 20:03:16,4
7497072640,2501.0,89.0,10.4,5,29580,55310,925589504,2025-04-21 20:03:17,4
7499042816,1600.0,89.0,7.4,5,29580,55312,924815360,2025-04-21 20:03:18,4
7498952704,2501.0,89.0,11.0,5,29584,55315,923717632,2025-04-21 20:03:19,4
7498735616,2501.0,89.0,14.5,5,29605,55350,925044736,2025-04-21 20:03:20,4
7496400896,2501.0,89.0,9.2,5,29605,55355,926261248,2025-04-21 20:03:21,4
7496966144,2501.0,89.0,17.9,5,29617,55374,926040064,2025-04-21 20:03:22,4
7525593088,2501.0,89.3,32.8,5,29645,55439,890540032,2025-04-21 20:03:24,4
7551541248,2501.0,89.7,38.6,5,29656,55471,871120896,2025-04-21 20:03:25,4
7559467008,2501.0,89.8,34.9,5,29675,55558,862883840,2025-04-21 20:03:26,4
7573237760,2501.0,89.9,35.8,5,29690,55577,849420288,2025-04-21 20:03:27,4
7583453184,2501.0,90.0,36.3,5,29695,55584,839208960,2025-04-21 20:03:28,4
7592697856,2501.0,90.1,21.7,5,29699,55591,829956096,2025-04-21 20:03:29,4
7594582016,2501.0,90.2,25.6,5,29721,55622,828260352,2025-04-21 20:03:30,4
7590395904,2501.0,90.1,24.0,5,29726,55631,832266240,2025-04-21 20:03:31,4
7592452096,2501.0,90.1,24.1,5,29753,55652,839159808,2025-04-21 20:03:32,4
7589691392,2000.0,90.1,11.4,5,29758,55658,832983040,2025-04-21 20:03:33,4
7592497152,2501.0,90.1,18.3,5,29758,55659,835444736,2025-04-21 20:03:34,4
7580909568,2501.0,90.0,11.9,5,29759,55665,841760768,2025-04-21 20:03:35,4
7577260032,2501.0,90.0,16.7,5,29759,55669,845402112,2025-04-21 20:03:36,4
7487123456,2501.0,88.9,32.4,5,29774,55687,929837056,2025-04-21 20:03:38,4
7495114752,2500.0,89.0,34.6,5,29776,55696,927510528,2025-04-21 20:03:39,4
7495172096,2501.0,89.0,10.8,5,29793,55722,927535104,2025-04-21 20:03:40,4
7496916992,2501.0,89.0,32.3,5,29798,55732,925745152,2025-04-21 20:03:41,4
7496302592,2501.0,89.0,11.9,5,29803,55734,926359552,2025-04-21 20:03:42,4
7483031552,2501.0,88.8,12.8,5,29804,55738,939761664,2025-04-21 20:03:43,4
7491641344,2501.0,88.9,11.2,5,29804,55739,932167680,2025-04-21 20:03:44,4
7441248256,2501.0,88.3,11.7,5,29804,55740,981413888,2025-04-21 20:03:45,4
7420370944,800.0,88.1,12.0,5,29804,55740,1002291200,2025-04-21 20:03:46,4
7423733760,2501.0,88.1,16.0,5,29816,55763,998932480,2025-04-21 20:03:48,4
7420928000,2500.0,88.1,12.6,5,29825,55787,1001906176,2025-04-21 20:03:49,4
7422820352,800.0,88.1,14.9,5,29832,55796,1000402944,2025-04-21 20:03:50,4
7423598592,2501.0,88.1,15.6,5,29834,55803,999063552,2025-04-21 20:03:51,4
7420088320,800.0,88.1,9.6,5,29835,55807,1003003904,2025-04-21 20:03:52,4
7413260288,2501.0,88.0,25.5,5,29839,55809,1009573888,2025-04-21 20:03:53,4
7425900544,2501.0,88.2,24.5,5,29840,55809,997740544,2025-04-21 20:03:54,4
7458144256,800.0,88.5,39.2,5,29844,55817,964517888,2025-04-21 20:03:55,4
7455612928,2501.0,88.5,15.5,5,29844,55819,967049216,2025-04-21 20:03:56,4
7447670784,800.0,88.4,6.6,5,29847,55822,975208448,2025-04-21 20:03:57,4
7451107328,800.0,88.5,8.0,5,29865,55827,971554816,2025-04-21 20:03:58,4
7447912448,800.0,88.4,5.1,5,29875,55841,974749696,2025-04-21 20:03:59,4
7444054016,800.0,88.4,9.3,5,29920,55896,979156992,2025-04-21 20:04:01,4
7458779136,2501.0,88.6,9.8,5,29922,55903,963878912,2025-04-21 20:04:02,4
7452164096,2501.0,88.5,6.3,5,29947,55939,970518528,2025-04-21 20:04:03,4
7456874496,2501.0,88.5,4.4,5,29948,55940,965787648,2025-04-21 20:04:04,4
7481282560,2501.0,88.8,40.3,5,29949,55940,946012160,2025-04-21 20:04:05,4
7471751168,2501.0,88.7,13.4,5,29952,55946,951529472,2025-04-21 20:04:06,4
7457595392,2501.0,88.5,35.6,5,29956,55955,950919168,2025-04-21 20:04:07,4
7464677376,2501.0,88.6,20.7,5,30000,56014,957984768,2025-04-21 20:04:08,4
7462891520,2501.0,88.6,24.0,5,30007,56022,957988864,2025-04-21 20:04:09,4
