cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
43.3,2501.0,88.2,7430967296,0,991694848,2025-04-09 21:50:07,3
17.5,2501.0,88.2,7431684096,0,991313920,2025-04-09 21:50:08,3
38.3,2501.0,88.2,7428947968,0,993714176,2025-04-09 21:50:09,3
15.9,2501.0,88.2,7430721536,0,991940608,2025-04-09 21:50:10,3
27.7,2501.0,88.2,7430377472,0,992366592,2025-04-09 21:50:11,3
21.9,2501.0,88.2,7427710976,0,995422208,2025-04-09 21:50:13,3
32.0,2501.0,88.2,7429292032,0,993370112,2025-04-09 21:50:14,3
25.3,2501.0,88.2,7430172672,0,992489472,2025-04-09 21:50:15,3
22.9,2501.0,88.2,7429210112,0,993452032,2025-04-09 21:50:16,3
21.1,2501.0,88.2,7428968448,0,993693696,2025-04-09 21:50:17,3
