ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7906394112,93.9,516354048,5315708,5101487,2501.0,3,43.8,2025-04-20 18:00:54,4
7791079424,92.5,632102912,5316006,5101538,2501.0,3,52.3,2025-04-20 18:00:55,4
7795318784,92.6,627429376,5316414,5101615,2501.0,3,40.1,2025-04-20 18:00:56,4
7792640000,92.5,630169600,5316884,5101739,2501.0,3,46.6,2025-04-20 18:00:58,4
7780114432,92.4,643469312,5317122,5101785,2501.0,3,99.1,2025-04-20 18:00:59,4
7779811328,92.4,642744320,5317498,5101858,2501.0,3,41.5,2025-04-20 18:01:00,4
7783141376,92.4,639258624,5317827,5101903,2501.0,3,40.6,2025-04-20 18:01:01,4
7786438656,92.4,636731392,5318168,5101956,2501.0,3,39.8,2025-04-20 18:01:03,4
7755825152,92.1,671973376,5318489,5102027,2501.0,3,59.8,2025-04-20 18:01:04,4
7748440064,92.0,673103872,5318800,5102043,2501.0,3,33.0,2025-04-20 18:01:06,4
