cpu_freq,ram_uso,rede_sent,cpu_ociosidade_dias,rede_recv,ram_percent,ram_livre,cpu_percent,dataHora,maquinaId
2501.0,7373385728,236784,4,530774,87.5,1048498176,16.5,2025-04-21 15:55:09,5
2501.0,7397306368,236905,4,531157,87.8,1025347584,23.7,2025-04-21 15:55:11,5
2501.0,7397367808,236998,4,531434,87.8,1025294336,6.5,2025-04-21 15:55:13,5
2501.0,7397416960,237182,4,531924,87.8,1025245184,7.5,2025-04-21 15:55:15,5
2501.0,7388188672,237204,4,531947,87.7,1034473472,7.2,2025-04-21 15:55:16,5
2501.0,7377629184,237216,4,531960,87.6,1045032960,8.3,2025-04-21 15:55:18,5
2501.0,7371091968,237226,4,531970,87.5,1051570176,6.3,2025-04-21 15:55:20,5
2501.0,7417450496,237335,4,532384,88.1,1003962368,41.5,2025-04-21 15:55:22,5
2501.0,7483404288,237457,4,532731,89.0,927649792,51.6,2025-04-21 15:55:24,5
2501.0,7517007872,237632,4,533433,89.2,906936320,65.4,2025-04-21 15:55:26,5
2501.0,7510695936,237642,4,533445,89.2,911966208,61.4,2025-04-21 15:55:28,5
2501.0,7479042048,237671,4,533481,88.8,943648768,49.4,2025-04-21 15:55:30,5
2501.0,7455625216,237717,4,533552,88.5,966307840,8.7,2025-04-21 15:55:32,5
2501.0,7463104512,237730,4,533568,88.6,960323584,10.4,2025-04-21 15:55:34,5
2501.0,7416553472,237765,4,533640,88.1,1006116864,11.8,2025-04-21 15:55:35,5
2501.0,7384178688,237789,4,533666,87.7,1038733312,11.8,2025-04-21 15:55:37,5
2000.0,7375331328,237802,4,533680,87.5,1048846336,11.8,2025-04-21 15:55:39,5
2501.0,7379107840,237850,4,533701,87.6,1043554304,8.7,2025-04-21 15:55:41,5
2501.0,7375478784,237867,4,533719,87.6,1047183360,10.1,2025-04-21 15:55:43,5
2501.0,7344406528,237883,4,533738,87.2,1078276096,14.3,2025-04-21 15:55:44,5
1800.0,7339581440,237911,4,533792,87.1,1083293696,7.8,2025-04-21 15:55:46,5
2501.0,7377653760,237938,4,533832,87.6,1046056960,22.3,2025-04-21 15:55:48,5
2501.0,7367847936,237969,4,533846,87.4,1058988032,33.4,2025-04-21 15:55:50,5
2501.0,7397982208,237983,4,533862,87.8,1025249280,44.4,2025-04-21 15:55:52,5
2501.0,7387152384,237999,4,533875,87.7,1035509760,13.8,2025-04-21 15:55:54,5
2501.0,7380430848,238043,4,533927,87.6,1042231296,10.0,2025-04-21 15:55:55,5
2501.0,7356760064,238056,4,533942,87.3,1066283008,6.5,2025-04-21 15:55:57,5
2501.0,7358029824,238084,4,533973,87.4,1065054208,7.4,2025-04-21 15:55:59,5
2501.0,7350145024,238100,4,533993,87.3,1073881088,18.4,2025-04-21 15:56:01,5
2501.0,7351644160,238117,4,534016,87.3,1067720704,8.2,2025-04-21 15:56:03,5
2501.0,7353974784,238171,4,534123,87.3,1070829568,7.6,2025-04-21 15:56:04,5
800.0,7350853632,238183,4,534139,87.3,1072644096,8.0,2025-04-21 15:56:06,5
2501.0,7353020416,238197,4,534155,87.3,1070129152,14.6,2025-04-21 15:56:08,5
2501.0,7356964864,238226,4,534197,87.3,1065697280,11.3,2025-04-21 15:56:10,5
2000.0,7348256768,238243,4,534216,87.2,1074405376,28.4,2025-04-21 15:56:12,5
2501.0,7356792832,238261,4,534241,87.3,1067147264,6.9,2025-04-21 15:56:14,5
1000.0,7353753600,238282,4,534272,87.3,1069121536,6.5,2025-04-21 15:56:16,5
2501.0,7390306304,238296,4,534286,87.9,1015668736,9.7,2025-04-21 15:56:17,5
1600.0,7367806976,238314,4,534304,87.5,1054535680,46.3,2025-04-21 15:56:19,5
800.0,7369617408,238353,4,534319,87.5,1053044736,7.2,2025-04-21 15:56:21,5
1600.0,7369318400,238369,4,534338,87.5,1053343744,5.7,2025-04-21 15:56:23,5
2501.0,7347150848,238382,4,534349,87.2,1075507200,7.0,2025-04-21 15:56:25,5
1800.0,7356555264,238422,4,534405,87.3,1067704320,6.5,2025-04-21 15:56:27,5
2501.0,7354867712,238439,4,534431,87.3,1067384832,10.3,2025-04-21 15:56:28,5
2501.0,7302995968,238459,4,534487,86.7,1119744000,30.7,2025-04-21 15:56:30,5
2000.0,7300767744,238470,4,534501,86.7,1121894400,6.0,2025-04-21 15:56:32,5
2500.0,7295262720,238480,4,534513,86.6,1127399424,6.8,2025-04-21 15:56:34,5
2501.0,7374917632,238523,4,534578,87.5,1052188672,29.9,2025-04-21 15:56:36,5
2501.0,7351676928,238607,4,534706,87.3,1070985216,32.5,2025-04-21 15:56:37,5
2501.0,7322710016,238647,4,534763,86.9,1102036992,17.4,2025-04-21 15:56:39,5
2501.0,6985162752,238712,4,534928,82.9,1437478912,18.1,2025-04-21 15:56:41,5
2501.0,7052136448,239022,4,536161,83.7,1370546176,53.8,2025-04-21 15:56:43,5
2501.0,7127212032,239108,4,536415,84.6,1295847424,33.7,2025-04-21 15:56:45,5
2501.0,7129157632,239138,4,536463,84.6,1293504512,26.3,2025-04-21 15:56:47,5
2501.0,7128862720,239151,4,536477,84.6,1293836288,13.9,2025-04-21 15:56:49,5
2501.0,7162662912,239578,4,539498,85.2,1247678464,43.9,2025-04-21 15:56:51,5
2501.0,7220428800,239613,4,539621,85.8,1200041984,88.9,2025-04-21 15:56:53,5
2501.0,7255162880,239640,4,539758,86.1,1173114880,82.2,2025-04-21 15:56:55,5
2501.0,7255891968,239846,4,541188,86.5,1138565120,93.2,2025-04-21 15:56:59,5
2501.0,7261659136,239922,4,541296,86.2,1162174464,98.9,2025-04-21 15:57:01,5
2501.0,7278108672,240049,4,542286,86.4,1145458688,37.4,2025-04-21 15:57:02,5
2500.0,7235555328,240089,4,542339,85.9,1187106816,12.4,2025-04-21 15:57:04,5
2501.0,7232512000,240134,4,542440,85.9,1190154240,11.5,2025-04-21 15:57:06,5
2501.0,7217283072,240277,4,543447,85.8,1197092864,12.0,2025-04-21 15:57:08,5
1400.0,7220826112,240300,4,543502,85.7,1201836032,7.4,2025-04-21 15:57:10,5
2501.0,7226527744,240339,4,543583,85.9,1187315712,7.8,2025-04-21 15:57:11,5
1600.0,7234277376,240512,4,544651,85.9,1189179392,11.0,2025-04-21 15:57:13,5
2501.0,7242747904,240560,4,544751,86.0,1179914240,9.0,2025-04-21 15:57:15,5
2501.0,7236743168,240589,4,544819,85.9,1186521088,10.0,2025-04-21 15:57:17,5
2501.0,7228735488,240723,4,545926,85.8,1193926656,5.0,2025-04-21 15:57:19,5
2501.0,7224061952,240737,4,546009,85.8,1198592000,11.4,2025-04-21 15:57:20,5
2501.0,7233871872,240779,4,546146,85.9,1188790272,5.9,2025-04-21 15:57:22,5
2501.0,7232872448,240815,4,546264,85.9,1189789696,9.8,2025-04-21 15:57:24,5
2501.0,7233900544,240971,4,547351,85.9,1188761600,5.4,2025-04-21 15:57:26,5
2500.0,7231401984,241007,4,547432,85.9,1191260160,8.5,2025-04-21 15:57:28,5
2501.0,7264825344,241148,4,548467,86.2,1158275072,39.9,2025-04-21 15:57:29,5
2000.0,7256399872,241172,4,548637,86.2,1166270464,15.4,2025-04-21 15:57:31,5
2501.0,7269748736,241199,4,548691,86.3,1152913408,9.1,2025-04-21 15:57:33,5
2000.0,7269748736,241226,4,548805,86.3,1152921600,9.1,2025-04-21 15:57:35,5
2501.0,7273811968,241378,4,549998,86.4,1148850176,6.0,2025-04-21 15:57:37,5
1600.0,7274184704,241388,4,550037,86.4,1148477440,8.9,2025-04-21 15:57:39,5
2501.0,7273201664,241529,4,550968,86.4,1149460480,8.5,2025-04-21 15:57:40,5
1400.0,7278170112,241558,4,551022,86.4,1144492032,6.0,2025-04-21 15:57:42,5
1800.0,7278440448,241576,4,551037,86.4,1144217600,5.9,2025-04-21 15:57:44,5
2000.0,7280410624,241616,4,551123,86.4,1141366784,6.8,2025-04-21 15:57:46,5
2000.0,7286104064,241754,4,552168,86.5,1136558080,9.2,2025-04-21 15:57:48,5
2000.0,7286104064,241769,4,552188,86.5,1136558080,4.2,2025-04-21 15:57:50,5
1400.0,7286841344,241816,4,552510,86.5,1135820800,8.7,2025-04-21 15:57:51,5
2000.0,7289266176,241915,4,553137,86.5,1133395968,6.7,2025-04-21 15:57:53,5
1600.0,7291887616,241936,4,553165,86.6,1130508288,7.8,2025-04-21 15:57:55,5
2000.0,7301451776,241949,4,553202,86.7,1120882688,25.3,2025-04-21 15:57:57,5
2501.0,7306969088,242106,4,554246,86.8,1115693056,8.5,2025-04-21 15:57:59,5
2000.0,7249506304,242126,4,554286,86.0,1178898432,18.1,2025-04-21 15:58:01,5
1600.0,7228092416,242139,4,554335,85.8,1194569728,6.0,2025-04-21 15:58:02,5
1600.0,7228137472,242269,4,555258,85.8,1194446848,7.0,2025-04-21 15:58:04,5
1400.0,7228690432,242279,4,555271,85.8,1193971712,4.1,2025-04-21 15:58:06,5
1600.0,7229464576,242291,4,555316,85.8,1192873984,16.7,2025-04-21 15:58:08,5
2500.0,7232126976,242422,4,556281,85.9,1190555648,6.5,2025-04-21 15:58:10,5
2501.0,7315927040,242440,4,556305,87.0,1096986624,4.7,2025-04-21 15:58:12,5
2501.0,7338057728,242450,4,556317,87.1,1085407232,7.1,2025-04-21 15:58:13,5
