ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7804600320,92.7,618336256,5326578,5103880,2501.0,3,96.7,2025-04-20 18:01:41,4
7813644288,92.8,613134336,5326796,5103949,2501.0,3,68.0,2025-04-20 18:01:42,4
7842996224,93.2,572121088,5327173,5104024,2501.0,3,85.2,2025-04-20 18:01:44,4
7853096960,93.2,569405440,5327419,5104094,2501.0,3,92.3,2025-04-20 18:01:46,4
7867826176,93.4,552726528,5327679,5104198,2501.0,3,92.9,2025-04-20 18:01:48,4
7894171648,93.7,528244736,5328130,5104309,2501.0,3,98.2,2025-04-20 18:01:50,4
7904743424,93.9,518004736,5328389,5104383,2501.0,3,97.3,2025-04-20 18:01:51,4
7907966976,93.9,514600960,5328603,5104445,2501.0,3,82.7,2025-04-20 18:01:53,4
7940984832,94.3,481976320,5328918,5104516,2501.0,3,82.4,2025-04-20 18:01:54,4
7962316800,94.5,455471104,5329208,5104587,2501.0,3,97.1,2025-04-20 18:01:56,4
