cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
8.1,2000.0,87.1,7332839424,0,1089839104,2025-04-09 21:48:40,3
6.7,2501.0,87.1,7333163008,0,1090166784,2025-04-09 21:48:41,3
53.6,2501.0,87.7,7384965120,0,1037680640,2025-04-09 21:48:42,3
73.9,2501.0,88.0,7413157888,0,1009512448,2025-04-09 21:48:43,3
67.8,2501.0,88.0,7413817344,0,1008844800,2025-04-09 21:48:44,3
31.3,2501.0,87.7,7389261824,0,1033400320,2025-04-09 21:48:45,3
23.2,2501.0,87.7,7387459584,0,1035239424,2025-04-09 21:48:46,3
40.7,2501.0,87.6,7382110208,0,1040551936,2025-04-09 21:48:48,3
17.6,2501.0,87.6,7378489344,0,1043808256,2025-04-09 21:48:49,3
100.0,2501.0,88.0,7407775744,0,1015975936,2025-04-09 21:48:50,3
