cpu_percent,cpu_freq,ram_percent,cpu_ociosidade_dias,ram_uso,rede_recv,ram_livre,rede_sent,dataHora,maquinaId
23.2,1700.0,82.3,153,13874905088,22155,2967101440,36833,2025-04-24 17:29:41,4
21.9,1457.0,82.1,153,13822746624,22156,3026984960,36833,2025-04-24 17:29:42,4
14.7,1457.0,82.1,153,13829419008,22157,3019665408,36834,2025-04-24 17:29:44,4
26.4,1457.0,82.1,153,13825081344,22161,3021168640,36838,2025-04-24 17:29:45,4
23.8,1700.0,82.1,153,13823111168,22170,3028955136,36850,2025-04-24 17:29:48,4
22.2,1700.0,82.0,153,13815468032,22176,3032678400,36850,2025-04-24 17:29:50,4
22.4,1457.0,81.9,153,13789192192,22177,3061972992,36851,2025-04-24 17:29:52,4
25.1,1457.0,82.0,153,13815476224,22199,3031732224,36867,2025-04-24 17:29:54,4
25.2,1700.0,82.0,153,13815656448,22210,3031891968,36870,2025-04-24 17:29:55,4
22.8,1700.0,82.0,153,13818552320,22211,3029413888,36871,2025-04-24 17:29:56,4
27.1,1700.0,82.3,153,13867409408,22238,2980528128,36907,2025-04-24 17:29:58,4
18.8,1457.0,82.3,153,13854461952,22309,2994704384,36972,2025-04-24 17:30:00,4
24.2,1457.0,82.2,153,13849485312,22368,2998452224,36998,2025-04-24 17:30:02,4
23.4,1457.0,82.4,153,13878804480,22370,2969149440,37000,2025-04-24 17:30:03,4
20.2,1700.0,82.5,153,13894283264,22372,2953732096,37002,2025-04-24 17:30:04,4
26.6,1700.0,82.8,153,13947629568,22373,2900430848,37002,2025-04-24 17:30:06,4
29.3,1700.0,82.8,153,13945659392,22374,2902327296,37002,2025-04-24 17:30:08,4
23.7,1700.0,82.6,153,13922361344,22401,2925576192,37035,2025-04-24 17:30:10,4
25.8,1700.0,82.4,153,13885775872,22423,2962919424,37048,2025-04-24 17:30:11,4
27.0,1700.0,82.3,153,13875847168,22426,2966667264,37051,2025-04-24 17:30:13,4
27.4,1700.0,82.5,153,13906386944,22437,2942332928,37066,2025-04-24 17:30:14,4
24.5,1700.0,82.5,153,13896093696,22443,2951221248,37067,2025-04-24 17:30:16,4
25.8,1457.0,82.5,153,13897588736,22460,2951946240,37083,2025-04-24 17:30:18,4
26.8,1700.0,82.5,153,13890867200,22460,2956681216,37083,2025-04-24 17:30:19,4
22.6,1700.0,82.5,153,13892677632,22463,2934390784,37085,2025-04-24 17:30:21,4
21.0,1457.0,82.8,153,13962436608,22469,2872827904,37092,2025-04-24 17:30:22,4
27.2,1700.0,82.9,153,13963718656,22498,2884464640,37106,2025-04-24 17:30:24,4
19.9,1457.0,82.9,153,13974593536,22546,2873344000,37138,2025-04-24 17:30:25,4
23.0,1700.0,82.9,153,13970239488,22579,2879041536,37160,2025-04-24 17:30:27,4
25.7,1700.0,82.9,153,13964984320,22616,2882412544,37187,2025-04-24 17:30:29,4
25.7,1700.0,83.4,153,14046810112,22696,2802282496,37222,2025-04-24 17:30:30,4
28.5,1457.0,83.3,153,14035173376,22759,2812784640,37247,2025-04-24 17:30:33,4
24.8,1457.0,83.3,153,14033547264,22802,2814377984,37263,2025-04-24 17:30:34,4
23.8,1700.0,83.3,153,14033547264,22832,2814013440,37280,2025-04-24 17:30:36,4
30.0,1700.0,83.3,153,14038220800,22885,2809655296,37309,2025-04-24 17:30:37,4
33.4,1700.0,83.5,153,14080184320,22924,2767724544,37360,2025-04-24 17:30:39,4
31.3,1700.0,84.2,153,14185963520,22999,2662047744,37375,2025-04-24 17:30:41,4
28.1,1457.0,79.9,153,13460103168,23011,3387416576,37380,2025-04-24 17:30:42,4
14.7,1700.0,79.8,153,13449027584,23024,3399778304,37387,2025-04-24 17:30:43,4
18.9,1457.0,79.9,153,13451689984,23056,3396218880,37402,2025-04-24 17:30:45,4
20.4,1457.0,79.8,153,13446193152,23093,3399041024,37420,2025-04-24 17:30:46,4
