cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
22.0,2501.0,88.3,7441346560,0,970911744,2025-04-09 21:50:26,3
89.3,2501.0,89.7,7557206016,0,865878016,2025-04-09 21:50:27,3
55.8,2501.0,89.4,7533580288,0,888942592,2025-04-09 21:50:28,3
17.4,2501.0,89.5,7535996928,0,886423552,2025-04-09 21:50:29,3
19.8,2501.0,89.5,7541059584,0,881602560,2025-04-09 21:50:31,3
24.3,2501.0,89.5,7541764096,0,880816128,2025-04-09 21:50:32,3
34.7,2501.0,89.5,7541190656,0,881549312,2025-04-09 21:50:33,3
60.9,2501.0,88.9,7485272064,0,937472000,2025-04-09 21:50:34,3
28.0,2501.0,88.8,7477358592,0,945348608,2025-04-09 21:50:35,3
46.7,2501.0,87.7,7386378240,0,1037090816,2025-04-09 21:50:36,3
