ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7856975872,93.3,569212928,5287246,5095395,2501.0,3,45.4,2025-04-20 17:58:47,4
7805513728,92.7,619036672,5287454,5095443,2501.0,3,36.9,2025-04-20 17:58:48,4
7806943232,92.7,616546304,5287746,5095490,2501.0,3,59.6,2025-04-20 17:58:50,4
7795126272,92.5,633950208,5288023,5095537,2501.0,3,73.5,2025-04-20 17:58:51,4
7723425792,91.7,702935040,5288212,5095605,2501.0,3,70.8,2025-04-20 17:58:52,4
7706787840,91.5,716009472,5288432,5095630,2501.0,3,45.1,2025-04-20 17:58:54,4
7706886144,91.5,715821056,5288673,5095649,2501.0,3,26.5,2025-04-20 17:58:55,4
7703506944,91.5,718172160,5288981,5095673,2501.0,3,40.1,2025-04-20 17:58:56,4
7707160576,91.5,714686464,5289255,5095824,2501.0,3,44.4,2025-04-20 17:58:57,4
7707447296,91.5,715505664,5289470,5095871,2501.0,3,20.1,2025-04-20 17:58:59,4
