cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
40.6,2501.0,88.5,7452581888,0,968003584,2025-04-09 21:36:23,3
36.6,2501.0,88.4,7443976192,0,978698240,2025-04-09 21:36:24,3
14.4,2501.0,88.4,7442948096,0,979730432,2025-04-09 21:36:25,3
74.8,2501.0,88.3,7433760768,0,989130752,2025-04-09 21:36:26,3
96.4,2501.0,88.2,7426580480,0,996081664,2025-04-09 21:36:27,3
94.6,2501.0,88.1,7416393728,0,1006272512,2025-04-09 21:36:29,3
71.2,2501.0,88.1,7424126976,0,998498304,2025-04-09 21:36:30,3
39.8,2501.0,88.1,7423008768,0,999743488,2025-04-09 21:36:31,3
40.6,2501.0,88.6,7466344448,0,956485632,2025-04-09 21:36:32,3
21.3,2501.0,88.3,7440400384,0,982351872,2025-04-09 21:36:33,3
