ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7856398336,93.3,560881664,5248643,5085752,2501.0,3,45.0,2025-04-20 17:55:48,4
7875072000,93.5,547905536,5248990,5085805,2501.0,3,41.2,2025-04-20 17:55:50,4
7873880064,93.5,548925440,5249211,5085856,2501.0,3,45.7,2025-04-20 17:55:51,4
7874772992,93.5,547356672,5249454,5085903,2501.0,3,52.9,2025-04-20 17:55:52,4
7886434304,93.6,536780800,5249713,5085960,2501.0,3,61.3,2025-04-20 17:55:54,4
7890341888,93.7,532340736,5250039,5086011,2501.0,3,32.3,2025-04-20 17:55:55,4
7878008832,93.5,544632832,5250361,5086128,2501.0,3,57.0,2025-04-20 17:55:56,4
7892377600,93.7,530386944,5250734,5086196,2501.0,3,44.1,2025-04-20 17:55:58,4
7888171008,93.7,533762048,5251015,5086251,2501.0,3,48.5,2025-04-20 17:55:59,4
7898497024,93.8,524242944,5251250,5086309,2501.0,3,68.9,2025-04-20 17:56:01,4
