cpu_ociosidade_dias,ram_percent,rede_sent,ram_uso,ram_livre,cpu_percent,cpu_freq,rede_recv,dataHora,maquinaId
7,75.2,148990,6334799872,2088833024,9.6,2501.0,285039,2025-04-24 18:15:53,6
7,75.2,148997,6337744896,2084917248,9.5,2501.0,285052,2025-04-24 18:15:54,6
7,75.2,149011,6336110592,2086633472,17.8,2501.0,285082,2025-04-24 18:15:55,6
7,75.1,149026,6329737216,2092318720,12.8,2501.0,285107,2025-04-24 18:15:56,6
7,75.2,149045,6333796352,2088869888,8.1,2501.0,285138,2025-04-24 18:15:57,6
7,75.2,149059,6336045056,2086617088,9.2,2501.0,285151,2025-04-24 18:15:58,6
7,75.0,149068,6315704320,2098757632,17.5,2501.0,285165,2025-04-24 18:16:00,6
7,75.1,149080,6326571008,2096173056,13.7,2501.0,285186,2025-04-24 18:16:01,6
7,75.1,149085,6322683904,2100228096,9.3,2501.0,285200,2025-04-24 18:16:02,6
7,75.0,149092,6321319936,2099105792,7.4,2501.0,285215,2025-04-24 18:16:03,6
7,75.1,149108,6322946048,2099875840,21.8,2501.0,285252,2025-04-24 18:16:04,6
7,75.2,149112,6335078400,2087743488,12.1,2501.0,285267,2025-04-24 18:16:06,6
7,75.2,149126,6328270848,2094559232,6.5,2501.0,285295,2025-04-24 18:16:07,6
7,75.2,149145,6324879360,2093326336,11.0,2501.0,285325,2025-04-24 18:16:08,6
7,75.2,149177,6338580480,2083033088,11.1,2501.0,285383,2025-04-24 18:16:09,6
7,75.2,149187,6335541248,2087202816,5.9,2501.0,285412,2025-04-24 18:16:10,6
7,75.1,149195,6323515392,2099269632,21.1,2501.0,285438,2025-04-24 18:16:11,6
7,75.0,149209,6313459712,2107551744,7.4,2501.0,285463,2025-04-24 18:16:12,6
7,75.1,149227,6320472064,2102272000,8.4,2501.0,285497,2025-04-24 18:16:14,6
7,75.2,149240,6333095936,2089566208,13.2,2501.0,285532,2025-04-24 18:16:15,6
7,75.2,149263,6331265024,2091257856,11.2,2501.0,285569,2025-04-24 18:16:16,6
7,75.2,149308,6336536576,2085511168,15.4,2501.0,285635,2025-04-24 18:16:17,6
7,75.4,149328,6349033472,2073628672,28.2,2501.0,285674,2025-04-24 18:16:18,6
7,75.3,149346,6346174464,2076327936,8.3,2501.0,285712,2025-04-24 18:16:19,6
7,75.5,149363,6360965120,2061697024,9.2,2501.0,285747,2025-04-24 18:16:20,6
7,75.5,149382,6365552640,2057191424,11.6,2501.0,285819,2025-04-24 18:16:22,6
7,75.3,149392,6339555328,2083274752,17.9,2501.0,285861,2025-04-24 18:16:23,6
7,75.3,149411,6337327104,2085416960,10.5,2501.0,285907,2025-04-24 18:16:24,6
7,75.5,149424,6356160512,2066505728,13.0,2501.0,285943,2025-04-24 18:16:25,6
7,75.4,149441,6350327808,2072416256,7.8,2501.0,285976,2025-04-24 18:16:26,6
7,75.5,149449,6354898944,2067935232,7.5,2501.0,285997,2025-04-24 18:16:27,6
7,75.4,149462,6348066816,2074992640,10.4,2501.0,286017,2025-04-24 18:16:28,6
7,75.5,149464,6352629760,2070032384,7.2,2501.0,286028,2025-04-24 18:16:30,6
7,75.4,149484,6357540864,2063056896,8.8,2501.0,286058,2025-04-24 18:16:31,6
7,75.4,149515,6343286784,2081472512,7.3,2501.0,286103,2025-04-24 18:16:32,6
7,75.4,149544,6346919936,2075824128,9.7,2501.0,286154,2025-04-24 18:16:33,6
7,75.3,149556,6340354048,2082385920,16.6,2501.0,286180,2025-04-24 18:16:34,6
7,75.4,149590,6351278080,2071597056,22.9,2501.0,286240,2025-04-24 18:16:36,6
7,75.4,149605,6349279232,2073382912,11.3,2501.0,286258,2025-04-24 18:16:37,6
7,75.3,149635,6339903488,2082758656,7.4,2501.0,286311,2025-04-24 18:16:38,6
7,75.4,149642,6351577088,2071166976,8.2,2501.0,286326,2025-04-24 18:16:39,6
7,75.4,149663,6352896000,2069843968,8.9,2501.0,286362,2025-04-24 18:16:40,6
