rede_sent,ram_percent,cpu_percent,ram_uso,rede_recv,cpu_ociosidade_dias,cpu_freq,ram_livre,dataHora,maquinaId
25795,80.0,26.6,6740885504,82048,0,2501.0,1681592320,2025-04-25 23:14:09,4
25796,80.0,41.2,6741979136,82053,0,2501.0,1680228352,2025-04-25 23:14:11,4
25796,80.1,28.9,6742401024,82053,0,2501.0,1680232448,2025-04-25 23:14:12,4
25798,80.0,21.0,6735757312,82060,0,2501.0,1690406912,2025-04-25 23:14:13,4
25812,80.0,59.5,6739292160,82070,0,2501.0,1681960960,2025-04-25 23:14:15,4
25812,80.1,39.4,6745751552,82070,0,2501.0,1676869632,2025-04-25 23:14:16,4
25813,80.1,33.0,6744358912,82075,0,2501.0,1674727424,2025-04-25 23:14:17,4
25817,80.1,25.2,6748917760,82079,0,2501.0,1673719808,2025-04-25 23:14:19,4
25818,80.3,53.7,6762729472,82080,0,2501.0,1660092416,2025-04-25 23:14:20,4
25818,80.4,35.8,6768082944,82082,0,2501.0,1653305344,2025-04-25 23:14:22,4
25826,80.4,26.9,6770057216,82094,0,2501.0,1652244480,2025-04-25 23:14:23,4
25832,80.4,29.6,6769631232,82098,0,2501.0,1653030912,2025-04-25 23:14:24,4
25832,80.4,31.1,6776918016,82098,0,2501.0,1645858816,2025-04-25 23:14:26,4
25832,80.5,46.3,6776967168,82098,0,2501.0,1647685632,2025-04-25 23:14:27,4
25833,80.4,23.4,6773633024,82100,0,2501.0,1649176576,2025-04-25 23:14:29,4
25833,80.4,29.4,6771290112,82100,0,2501.0,1655123968,2025-04-25 23:14:30,4
25834,80.4,29.0,6771924992,82101,0,2501.0,1650761728,2025-04-25 23:14:31,4
25834,80.5,50.4,6779367424,82102,0,2501.0,1643286528,2025-04-25 23:14:33,4
25834,80.6,47.0,6790324224,82102,0,2501.0,1633341440,2025-04-25 23:14:34,4
25834,80.6,41.0,6788136960,82102,0,2501.0,1634603008,2025-04-25 23:14:35,4
25837,80.6,15.3,6790877184,82105,0,2501.0,1636470784,2025-04-25 23:14:37,4
