cpu_percent,cpu_freq,rede_sent,ram_uso,cpu_ociosidade_dias,ram_percent,rede_recv,ram_livre,dataHora,maquinaId
93.8,2501.0,323081,7866654720,8,93.4,676725,558956544,2025-04-25 14:06:40,4
98.0,2501.0,323148,7865577472,8,93.4,676820,556613632,2025-04-25 14:06:43,4
93.8,2501.0,323167,7877275648,8,93.5,676864,545325056,2025-04-25 14:06:44,4
100.0,2501.0,323202,7893942272,8,93.7,676960,527323136,2025-04-25 14:06:46,4
100.0,2501.0,323212,7894122496,8,93.7,677029,528224256,2025-04-25 14:06:49,4
100.0,2501.0,323241,7897677824,8,93.8,677081,528535552,2025-04-25 14:06:51,4
100.0,2501.0,323251,7893766144,8,93.7,677119,529289216,2025-04-25 14:06:53,4
100.0,2501.0,323264,7905738752,8,93.9,677153,510894080,2025-04-25 14:06:55,4
100.0,2501.0,323285,7914704896,8,94.0,677215,508137472,2025-04-25 14:06:57,4
100.0,2501.0,323305,7898578944,8,93.8,677253,519876608,2025-04-25 14:06:59,4
100.0,2501.0,323338,7899742208,8,93.8,677333,520794112,2025-04-25 14:07:01,4
100.0,2501.0,323376,7918198784,8,94.0,677400,505655296,2025-04-25 14:07:04,4
100.0,2501.0,323405,7911251968,8,93.9,677455,511406080,2025-04-25 14:07:05,4
100.0,2501.0,323417,7928950784,8,94.2,677479,491610112,2025-04-25 14:07:07,4
100.0,2501.0,323435,7917490176,8,94.0,677503,505131008,2025-04-25 14:07:10,4
100.0,2501.0,323461,7919104000,8,94.0,677535,499388416,2025-04-25 14:07:12,4
100.0,2501.0,323466,7922270208,8,94.1,677554,500207616,2025-04-25 14:07:14,4
100.0,2501.0,323480,7925186560,8,94.1,677598,493756416,2025-04-25 14:07:17,4
100.0,2501.0,323526,7941222400,8,94.3,677690,484061184,2025-04-25 14:07:19,4
100.0,2501.0,323547,7929888768,8,94.2,677716,489086976,2025-04-25 14:07:21,4
100.0,2501.0,323564,7912878080,8,93.9,677740,509829120,2025-04-25 14:07:23,4
100.0,2501.0,323571,7936458752,8,94.2,677758,486227968,2025-04-25 14:07:26,4
100.0,2501.0,323605,7945019392,8,94.3,677834,477450240,2025-04-25 14:07:28,4
100.0,2501.0,323654,7960002560,8,94.5,677939,462757888,2025-04-25 14:07:29,4
100.0,2501.0,323698,7959592960,8,94.5,678029,456019968,2025-04-25 14:07:32,4
100.0,2501.0,323772,7966371840,8,94.6,678142,449392640,2025-04-25 14:07:34,4
100.0,2501.0,323818,7979401216,8,94.7,678234,435974144,2025-04-25 14:07:37,4
100.0,2501.0,323823,8009019392,8,95.2,678247,404787200,2025-04-25 14:07:38,4
100.0,2501.0,323855,8003756032,8,95.0,678313,416374784,2025-04-25 14:07:40,4
100.0,2501.0,323877,8004419584,8,95.0,678387,417734656,2025-04-25 14:07:41,4
100.0,2501.0,323933,8043331584,8,95.4,678514,444088320,2025-04-25 14:07:44,4
100.0,2501.0,323963,7976554496,8,94.7,678552,442736640,2025-04-25 14:07:46,4
100.0,2501.0,323973,7953031168,8,94.4,678585,469573632,2025-04-25 14:07:47,4
63.6,2501.0,323987,7883882496,8,93.6,678609,534233088,2025-04-25 14:07:48,4
44.5,2501.0,324012,7892717568,8,93.7,678657,530128896,2025-04-25 14:07:50,4
62.8,2501.0,324024,7896555520,8,93.8,678690,524328960,2025-04-25 14:07:51,4
80.9,2501.0,324029,7890149376,8,93.7,678704,533553152,2025-04-25 14:07:52,4
67.4,2501.0,324042,7900557312,8,93.8,678744,526360576,2025-04-25 14:07:53,4
43.1,2501.0,324053,7903506432,8,93.8,678772,519729152,2025-04-25 14:07:55,4
48.4,2501.0,324060,7902584832,8,93.9,678798,515670016,2025-04-25 14:07:56,4
