ram_percent,ram_uso,cpu_ociosidade_dias,rede_sent,rede_recv,cpu_freq,cpu_percent,ram_livre,dataHora,maquinaId
73.1,12298203136,120,761025,594702,1700.0,25.6,4541399040,2025-04-21 21:21:13,9
73.2,12331126784,120,761276,594823,1700.0,27.3,4515971072,2025-04-21 21:21:15,9
73.5,12377698304,120,761446,594931,1700.0,36.1,4460519424,2025-04-21 21:21:17,9
73.5,12390580224,120,761602,595069,1700.0,41.6,4457099264,2025-04-21 21:21:19,9
73.7,12411867136,120,761764,595209,1700.0,31.2,4432072704,2025-04-21 21:21:21,9
74.0,12463689728,120,761974,595292,1700.0,26.6,4382449664,2025-04-21 21:21:23,9
74.0,12458614784,120,762077,595352,1700.0,20.7,4390166528,2025-04-21 21:21:24,9
73.9,12449751040,120,762183,595376,1700.0,17.0,4398247936,2025-04-21 21:21:26,9
73.9,12447645696,120,762396,595512,1700.0,28.3,4400193536,2025-04-21 21:21:28,9
73.9,12449480704,120,762592,595621,1700.0,33.3,4397879296,2025-04-21 21:21:30,9
73.9,12447322112,120,762716,595738,1700.0,18.0,4400168960,2025-04-21 21:21:32,9
73.9,12442648576,120,762889,595764,1700.0,22.1,4405280768,2025-04-21 21:21:33,9
73.7,12424589312,120,763054,595839,1700.0,16.5,4422889472,2025-04-21 21:21:35,9
73.7,12415811584,120,763187,595885,1700.0,20.1,4432138240,2025-04-21 21:21:37,9
73.6,12402483200,120,763351,595957,1700.0,20.7,4450332672,2025-04-21 21:21:39,9
73.7,12413517824,120,763480,596023,1700.0,26.7,4434440192,2025-04-21 21:21:41,9
73.2,12328087552,120,763596,596101,1700.0,24.8,4513095680,2025-04-21 21:21:43,9
73.3,12348923904,120,763705,596179,1700.0,17.1,4498247680,2025-04-21 21:21:44,9
73.2,12331651072,120,763823,596246,1700.0,18.7,4515590144,2025-04-21 21:21:46,9
73.2,12330983424,120,764014,596266,1700.0,17.7,4516933632,2025-04-21 21:21:48,9
73.2,12329512960,120,764140,596307,1700.0,21.6,4518047744,2025-04-21 21:21:50,9
73.2,12336164864,120,764296,596328,1700.0,17.9,4511436800,2025-04-21 21:21:51,9
73.2,12335022080,120,764400,596402,1700.0,23.7,4512849920,2025-04-21 21:21:53,9
73.1,12324106240,120,764505,596425,1700.0,18.0,4523859968,2025-04-21 21:21:55,9
73.2,12334280704,120,764647,596447,1700.0,19.4,4514598912,2025-04-21 21:21:57,9
73.1,12321030144,120,764841,596470,1700.0,16.8,4526088192,2025-04-21 21:21:58,9
73.1,12320628736,120,764988,596536,1700.0,23.4,4527378432,2025-04-21 21:22:00,9
73.0,12305678336,120,765098,596651,1700.0,20.5,4542193664,2025-04-21 21:22:02,9
73.1,12311986176,120,765198,596731,1700.0,18.2,4535812096,2025-04-21 21:22:04,9
73.1,12312694784,120,765302,596823,1700.0,15.3,4535177216,2025-04-21 21:22:05,9
73.0,12301938688,120,765407,596844,1700.0,18.8,4545744896,2025-04-21 21:22:07,9
73.1,12312092672,120,765598,596874,1700.0,21.2,4535672832,2025-04-21 21:22:09,9
72.8,12269907968,120,765870,597014,1700.0,39.5,4578312192,2025-04-21 21:22:11,9
72.7,12247355392,120,766027,597102,1700.0,29.2,4601393152,2025-04-21 21:22:13,9
72.4,12199727104,120,766144,597181,1700.0,22.2,4648144896,2025-04-21 21:22:14,9
72.4,12198965248,120,766288,597199,1700.0,19.0,4648419328,2025-04-21 21:22:16,9
72.3,12181250048,120,766402,597296,1700.0,17.6,4666994688,2025-04-21 21:22:18,9
72.3,12181839872,120,766524,597393,1700.0,22.4,4666032128,2025-04-21 21:22:20,9
72.3,12174708736,120,766677,597511,1700.0,22.5,4673261568,2025-04-21 21:22:21,9
72.3,12176023552,120,766820,597654,1700.0,18.4,4672069632,2025-04-21 21:22:23,9
72.2,12166860800,120,767011,597677,1700.0,17.1,4680531968,2025-04-21 21:22:25,9
72.2,12163338240,120,767207,597720,1700.0,18.0,4684472320,2025-04-21 21:22:27,9
72.2,12170838016,120,767311,597773,1700.0,17.0,4677070848,2025-04-21 21:22:29,9
72.1,12152283136,120,767413,597880,1700.0,21.4,4695588864,2025-04-21 21:22:30,9
72.0,12138131456,120,767553,597944,1700.0,17.8,4709810176,2025-04-21 21:22:32,9
72.1,12147916800,120,767677,598033,1700.0,19.0,4699963392,2025-04-21 21:22:34,9
72.1,12149161984,120,767801,598064,1700.0,16.7,4699422720,2025-04-21 21:22:36,9
72.1,12153069568,120,767994,598100,1700.0,16.0,4693966848,2025-04-21 21:22:37,9
72.3,12176797696,120,768104,598208,1700.0,21.2,4672036864,2025-04-21 21:22:39,9
72.3,12185440256,120,768238,598333,1700.0,20.8,4662165504,2025-04-21 21:22:41,9
72.4,12195033088,120,768440,598408,1700.0,22.0,4653051904,2025-04-21 21:22:43,9
72.4,12203618304,120,768547,598482,1700.0,18.0,4644253696,2025-04-21 21:22:44,9
72.1,12152512512,120,768709,598566,1700.0,22.0,4694757376,2025-04-21 21:22:46,9
72.5,12208218112,120,769167,598685,1700.0,23.5,4639756288,2025-04-21 21:22:48,9
72.5,12213534720,120,769777,598816,1700.0,34.8,4634337280,2025-04-21 21:22:50,9
