cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
77.4,2501.0,88.5,7451049984,0,971624448,2025-04-09 21:50:46,3
68.3,2501.0,88.3,7435366400,0,987353088,2025-04-09 21:50:47,3
99.6,2501.0,88.3,7441129472,0,981565440,2025-04-09 21:50:48,3
71.0,2501.0,88.4,7449751552,0,972910592,2025-04-09 21:50:49,3
48.7,2501.0,88.4,7448117248,0,974548992,2025-04-09 21:50:50,3
35.5,2501.0,88.3,7438204928,0,984465408,2025-04-09 21:50:51,3
38.1,2501.0,88.3,7441309696,0,981565440,2025-04-09 21:50:52,3
44.7,2501.0,88.3,7440678912,0,981983232,2025-04-09 21:50:53,3
28.9,2501.0,88.3,7435182080,0,987480064,2025-04-09 21:50:54,3
25.4,2501.0,88.2,7430217728,0,992632832,2025-04-09 21:50:56,3
