cpu_ociosidade_dias,ram_percent,rede_sent,ram_uso,ram_livre,cpu_percent,cpu_freq,rede_recv,dataHora,maquinaId
7,86.9,192684,7318982656,1103695872,7.0,2501.0,373838,2025-04-24 14:28:39,6
7,87.0,192702,7323693056,1099042816,7.3,2501.0,373878,2025-04-24 14:28:40,6
7,86.9,192712,7321055232,1101631488,5.6,2501.0,373891,2025-04-24 14:28:41,6
7,87.0,192723,7323967488,1098694656,6.6,2501.0,373908,2025-04-24 14:28:42,6
7,86.9,192734,7321468928,1101246464,7.9,2501.0,373925,2025-04-24 14:28:43,6
7,87.0,192743,7324876800,1097859072,9.3,2501.0,373941,2025-04-24 14:28:44,6
7,86.9,192745,7322492928,1100197888,7.2,2501.0,373946,2025-04-24 14:28:46,6
7,87.0,192772,7324475392,1098219520,7.3,2501.0,373999,2025-04-24 14:28:47,6
7,86.9,192774,7321600000,1101074432,11.1,2501.0,374003,2025-04-24 14:28:48,6
7,87.0,192802,7324999680,1097666560,6.3,2501.0,374053,2025-04-24 14:28:49,6
7,87.0,192811,7330975744,1091686400,7.3,2501.0,374070,2025-04-24 14:28:50,6
7,87.0,192829,7327977472,1094713344,4.6,2501.0,374102,2025-04-24 14:28:51,6
7,87.1,192832,7331844096,1090818048,7.2,2501.0,374105,2025-04-24 14:28:52,6
7,87.0,192843,7329792000,1092898816,6.2,2501.0,374125,2025-04-24 14:28:53,6
7,87.1,192872,7331938304,1090723840,5.1,2501.0,374171,2025-04-24 14:28:55,6
7,87.0,192880,7328727040,1093943296,9.5,2501.0,374193,2025-04-24 14:28:56,6
7,86.9,192894,7316541440,1106120704,21.0,2501.0,374212,2025-04-24 14:28:57,6
7,86.9,192899,7317565440,1105129472,5.0,2501.0,374220,2025-04-24 14:28:58,6
7,87.0,192905,7326748672,1095913472,4.3,2501.0,374234,2025-04-24 14:28:59,6
7,86.9,192916,7321100288,1101623296,10.3,2501.0,374254,2025-04-24 14:29:00,6
7,87.0,192999,7323713536,1098948608,5.6,2501.0,374412,2025-04-24 14:29:01,6
7,87.0,193016,7326883840,1095872512,6.0,2501.0,374441,2025-04-24 14:29:03,6
7,87.0,193034,7323557888,1099132928,4.1,2501.0,374473,2025-04-24 14:29:04,6
7,87.0,193043,7328100352,1094615040,7.5,2501.0,374492,2025-04-24 14:29:05,6
7,87.0,193063,7324618752,1098059776,5.5,2501.0,374530,2025-04-24 14:29:06,6
7,87.0,193069,7331266560,1091223552,5.6,2501.0,374545,2025-04-24 14:29:07,6
7,87.0,193090,7329968128,1094160384,8.4,2501.0,374588,2025-04-24 14:29:08,6
7,86.9,193100,7318433792,1104306176,20.5,2501.0,374612,2025-04-24 14:29:09,6
7,87.0,193117,7329116160,1093545984,3.5,2501.0,374643,2025-04-24 14:29:11,6
7,87.0,193125,7325233152,1097535488,5.2,2501.0,374665,2025-04-24 14:29:12,6
7,87.0,193146,7328903168,1093906432,4.8,2501.0,374702,2025-04-24 14:29:13,6
7,87.0,193160,7324106752,1098649600,10.7,2501.0,374727,2025-04-24 14:29:14,6
7,87.0,193173,7322562560,1099997184,8.1,2501.0,374758,2025-04-24 14:29:15,6
7,86.9,193186,7322173440,1100488704,5.8,2501.0,374781,2025-04-24 14:29:16,6
7,87.0,193200,7327854592,1094873088,9.9,2501.0,374811,2025-04-24 14:29:17,6
7,87.0,193210,7330611200,1092091904,5.9,2501.0,374835,2025-04-24 14:29:19,6
7,87.0,193228,7327563776,1095184384,6.9,2501.0,374866,2025-04-24 14:29:20,6
7,87.0,193249,7324004352,1097490432,6.1,2501.0,374904,2025-04-24 14:29:21,6
7,87.0,193263,7326814208,1095847936,22.0,2501.0,374926,2025-04-24 14:29:22,6
7,87.0,193292,7331508224,1091145728,8.5,2501.0,374976,2025-04-24 14:29:23,6
7,87.1,193311,7335714816,1086906368,26.8,2501.0,375002,2025-04-24 14:29:24,6
7,87.0,193338,7326121984,1096577024,32.4,2501.0,375041,2025-04-24 14:29:25,6
7,87.1,193349,7332605952,1090056192,13.4,2501.0,375061,2025-04-24 14:29:27,6
7,87.0,193384,7330308096,1092403200,6.0,2501.0,375113,2025-04-24 14:29:28,6
7,87.0,193395,7332302848,1090392064,5.6,2501.0,375127,2025-04-24 14:29:29,6
7,87.6,193421,7377010688,1045659648,19.4,2501.0,375175,2025-04-24 14:29:30,6
7,87.6,193435,7376351232,1046355968,32.2,2501.0,375184,2025-04-24 14:29:31,6
7,85.6,193502,7200456704,1222283264,36.1,2501.0,375303,2025-04-24 14:29:32,6
7,83.4,193507,7025729536,1396191232,14.2,2501.0,375308,2025-04-24 14:29:34,6
7,83.5,193530,7028957184,1393889280,12.1,2501.0,375354,2025-04-24 14:29:35,6
7,83.4,193543,7026425856,1396236288,5.6,2501.0,375375,2025-04-24 14:29:36,6
7,83.4,193560,7027367936,1395396608,11.9,2501.0,375410,2025-04-24 14:29:37,6
