cpu_freq,ram_uso,rede_sent,cpu_ociosidade_dias,rede_recv,ram_percent,ram_livre,cpu_percent,dataHora,maquinaId
2501.0,7147958272,283825,4,695099,84.9,1274859520,5.2,2025-04-21 16:23:56,5
2500.0,7145238528,283897,4,695655,84.8,1277423616,8.2,2025-04-21 16:23:58,5
1600.0,7145836544,283910,4,695671,84.8,1274437632,6.8,2025-04-21 16:24:00,5
2000.0,7158022144,283954,4,695730,85.0,1264640000,5.6,2025-04-21 16:24:01,5
1200.0,7158075392,283972,4,695756,85.0,1264455680,7.2,2025-04-21 16:24:03,5
2501.0,7159357440,284036,4,696230,85.0,1263939584,8.0,2025-04-21 16:24:05,5
2501.0,7161008128,284045,4,696239,85.0,1261527040,6.8,2025-04-21 16:24:07,5
1800.0,7161683968,284056,4,696253,85.0,1260679168,6.1,2025-04-21 16:24:09,5
2501.0,7162679296,284067,4,696264,85.0,1259982848,7.3,2025-04-21 16:24:10,5
2501.0,7155195904,284107,4,696287,84.9,1268461568,22.5,2025-04-21 16:24:12,5
2501.0,7161311232,284119,4,696298,85.0,1261416448,7.6,2025-04-21 16:24:14,5
2501.0,7160156160,284134,4,696313,85.0,1262505984,6.1,2025-04-21 16:24:16,5
1200.0,7158849536,284144,4,696326,85.0,1263812608,7.5,2025-04-21 16:24:17,5
2500.0,7160508416,284155,4,696343,85.0,1262153728,7.8,2025-04-21 16:24:19,5
2500.0,7149068288,284169,4,696355,84.9,1273675776,8.8,2025-04-21 16:24:21,5
2501.0,7156002816,284180,4,696366,85.0,1266659328,6.7,2025-04-21 16:24:23,5
2501.0,7153401856,284191,4,696376,84.9,1269260288,5.2,2025-04-21 16:24:25,5
2501.0,7152353280,284201,4,696386,84.9,1270308864,5.9,2025-04-21 16:24:26,5
1200.0,7149473792,284210,4,696395,84.9,1269784576,9.8,2025-04-21 16:24:28,5
1800.0,7152422912,284231,4,696411,84.9,1270550528,7.9,2025-04-21 16:24:30,5
1400.0,7150911488,284241,4,696421,84.9,1271873536,5.6,2025-04-21 16:24:32,5
2501.0,7203053568,284256,4,696438,85.6,1215807488,24.5,2025-04-21 16:24:34,5
2501.0,7230164992,284272,4,696460,85.9,1189634048,28.5,2025-04-21 16:24:36,5
2500.0,7180005376,284348,4,696632,85.2,1242636288,11.8,2025-04-21 16:24:37,5
2500.0,7182454784,284359,4,696655,85.3,1239228416,4.5,2025-04-21 16:24:39,5
2500.0,7185559552,284370,4,696678,85.3,1236934656,8.9,2025-04-21 16:24:41,5
2501.0,7188111360,284388,4,696707,85.3,1234550784,7.1,2025-04-21 16:24:43,5
2501.0,7189028864,284398,4,696717,85.4,1233633280,7.8,2025-04-21 16:24:45,5
2501.0,7188652032,284408,4,696728,85.3,1234010112,5.4,2025-04-21 16:24:46,5
1600.0,7186743296,284421,4,696744,85.3,1235918848,6.7,2025-04-21 16:24:48,5
2501.0,7188803584,284433,4,696756,85.4,1233858560,6.3,2025-04-21 16:24:50,5
2501.0,7188459520,284463,4,696767,85.3,1234198528,14.0,2025-04-21 16:24:52,5
2500.0,7180369920,284476,4,696780,85.3,1242292224,12.3,2025-04-21 16:24:54,5
2501.0,7170703360,284488,4,696795,85.1,1251958784,8.3,2025-04-21 16:24:55,5
2501.0,7174819840,284500,4,696806,85.2,1247842304,6.5,2025-04-21 16:24:57,5
2501.0,7176290304,284511,4,696822,85.2,1246371840,4.4,2025-04-21 16:24:59,5
2501.0,7173066752,284526,4,696843,85.0,1263452160,37.8,2025-04-21 16:25:01,5
2501.0,7163125760,284535,4,696857,85.0,1259536384,4.8,2025-04-21 16:25:03,5
2501.0,7160143872,284549,4,696872,85.0,1262518272,4.2,2025-04-21 16:25:05,5
2500.0,7123087360,284569,4,696896,84.6,1299570688,8.0,2025-04-21 16:25:07,5
2000.0,7134662656,284594,4,696921,84.7,1288151040,9.1,2025-04-21 16:25:09,5
2500.0,7111188480,284604,4,696931,84.4,1311473664,19.2,2025-04-21 16:25:10,5
1800.0,7110123520,284622,4,696955,84.4,1313079296,4.3,2025-04-21 16:25:12,5
2501.0,7129411584,284667,4,697044,84.6,1293328384,12.6,2025-04-21 16:25:14,5
2501.0,7148036096,284738,4,697150,84.9,1274171392,63.3,2025-04-21 16:25:17,5
2501.0,7156416512,284778,4,697206,85.0,1266130944,9.0,2025-04-21 16:25:18,5
2501.0,7145242624,284800,4,697246,84.8,1277423616,13.8,2025-04-21 16:25:20,5
2500.0,7143641088,284821,4,697292,84.8,1279021056,10.2,2025-04-21 16:25:22,5
2501.0,7139409920,284845,4,697358,84.8,1284206592,21.5,2025-04-21 16:25:24,5
2501.0,7161929728,284886,4,697454,85.0,1260904448,15.7,2025-04-21 16:25:26,5
2501.0,7183589376,284900,4,697478,85.3,1239072768,23.0,2025-04-21 16:25:27,5
2501.0,7192444928,284939,4,697537,85.4,1231142912,53.6,2025-04-21 16:25:29,5
2501.0,7192027136,284959,4,697571,85.4,1230180352,12.0,2025-04-21 16:25:31,5
2501.0,7193518080,284975,4,697595,85.4,1229144064,17.8,2025-04-21 16:25:33,5
2501.0,7192301568,285002,4,697641,85.4,1229840384,18.7,2025-04-21 16:25:35,5
2000.0,7193088000,285016,4,697661,85.4,1230491648,6.1,2025-04-21 16:25:37,5
2501.0,7197011968,285041,4,697726,85.4,1225650176,14.0,2025-04-21 16:25:39,5
2501.0,7197548544,285058,4,697745,85.5,1225113600,17.8,2025-04-21 16:25:41,5
2501.0,7249969152,285428,4,699411,86.1,1172684800,24.4,2025-04-21 16:25:42,5
2501.0,7345491968,285552,4,699756,87.2,1077682176,40.5,2025-04-21 16:25:44,5
2501.0,7337263104,285615,4,699970,87.1,1089384448,53.4,2025-04-21 16:25:47,5
2501.0,7266390016,285733,4,700893,86.0,1181691904,32.8,2025-04-21 16:25:49,5
2501.0,7294869504,285910,4,701932,87.2,1076981760,63.0,2025-04-21 16:25:52,5
2501.0,7409287168,285943,4,701962,87.8,1025290240,100.0,2025-04-21 16:25:54,5
2501.0,7241728000,286034,4,702101,86.0,1180991488,82.2,2025-04-21 16:25:56,5
2501.0,7077961728,286092,4,702174,84.0,1344700416,54.9,2025-04-21 16:25:58,5
2501.0,7094870016,286340,4,703795,84.5,1304510464,63.0,2025-04-21 16:26:00,5
2501.0,7104143360,286380,4,703846,84.3,1319432192,29.9,2025-04-21 16:26:02,5
2501.0,7076864000,286393,4,703860,84.0,1345359872,26.9,2025-04-21 16:26:04,5
2500.0,7077367808,286411,4,703887,84.0,1345294336,9.6,2025-04-21 16:26:06,5
2501.0,7073783808,286585,4,705248,84.0,1348550656,7.6,2025-04-21 16:26:08,5
1400.0,7075098624,286603,4,705271,84.0,1347547136,5.5,2025-04-21 16:26:09,5
2500.0,7076212736,286733,4,706244,84.0,1346129920,8.4,2025-04-21 16:26:11,5
2501.0,7135502336,286767,4,706267,84.7,1287503872,12.0,2025-04-21 16:26:13,5
2501.0,7155707904,286813,4,706331,85.0,1261924352,19.8,2025-04-21 16:26:15,5
2501.0,7194996736,286926,4,707360,85.5,1223299072,15.8,2025-04-21 16:26:17,5
1400.0,7212003328,286964,4,707380,85.6,1210654720,23.3,2025-04-21 16:26:19,5
1600.0,7200636928,286986,4,707404,85.5,1222094848,5.6,2025-04-21 16:26:20,5
1800.0,7193669632,287087,4,708161,85.4,1229090816,3.6,2025-04-21 16:26:22,5
2000.0,7191105536,287184,4,708721,85.4,1231556608,5.3,2025-04-21 16:26:24,5
800.0,7187705856,287196,4,708736,85.3,1234956288,5.3,2025-04-21 16:26:26,5
1400.0,7185358848,287276,4,709302,85.3,1237303296,5.1,2025-04-21 16:26:28,5
1800.0,7173914624,287296,4,709319,85.2,1248993280,6.4,2025-04-21 16:26:30,5
1800.0,7176400896,287359,4,709812,85.2,1246273536,5.4,2025-04-21 16:26:31,5
800.0,7179620352,287375,4,709832,85.2,1243041792,3.0,2025-04-21 16:26:33,5
1400.0,7176081408,287387,4,709845,85.2,1246580736,6.0,2025-04-21 16:26:35,5
2501.0,7175286784,287551,4,711190,85.2,1247375360,3.1,2025-04-21 16:26:37,5
1400.0,7172640768,287560,4,711203,85.2,1250021376,3.2,2025-04-21 16:26:39,5
1400.0,7167246336,287574,4,711218,85.1,1255415808,3.5,2025-04-21 16:26:41,5
2501.0,7124459520,287583,4,711227,84.5,1303482368,9.8,2025-04-21 16:26:43,5
800.0,7120691200,287732,4,712422,84.5,1301970944,7.6,2025-04-21 16:26:45,5
1800.0,7117824000,287743,4,712433,84.5,1304838144,4.7,2025-04-21 16:26:46,5
800.0,7089377280,287757,4,712448,84.2,1333284864,6.8,2025-04-21 16:26:48,5
800.0,7078682624,287766,4,712458,84.0,1343979520,9.0,2025-04-21 16:26:50,5
1800.0,7078739968,287795,4,712476,84.0,1343922176,2.6,2025-04-21 16:26:52,5
800.0,7076487168,287821,4,712491,84.0,1346359296,3.4,2025-04-21 16:26:54,5
1800.0,7075094528,287835,4,712505,84.0,1347567616,4.1,2025-04-21 16:26:56,5
1600.0,7075688448,287846,4,712516,84.0,1346973696,3.7,2025-04-21 16:26:57,5
1400.0,7077310464,287860,4,712530,83.9,1353617408,4.9,2025-04-21 16:26:59,5
1400.0,7077142528,287876,4,712544,84.0,1345519616,5.8,2025-04-21 16:27:01,5
