ram_uso,cpu_freq,ram_percent,cpu_percent,cpu_ociosidade_dias,rede_sent,rede_recv,ram_livre,dataHora,maquinaId
7233691648,2501.0,85.9,7.3,5,23840,39371,1181868032,2025-04-21 19:46:40,4
7227052032,1400.0,85.8,4.0,5,23841,39380,1195765760,2025-04-21 19:46:41,4
7225671680,800.0,85.8,4.0,5,23845,39382,1192034304,2025-04-21 19:46:42,4
7234437120,2501.0,85.9,5.9,5,23847,39382,1189507072,2025-04-21 19:46:43,4
7229718528,800.0,85.8,4.0,5,23847,39392,1193156608,2025-04-21 19:46:45,4
7233757184,800.0,85.9,6.2,5,23847,39395,1188904960,2025-04-21 19:46:46,4
7224885248,800.0,85.8,6.2,5,23847,39402,1197776896,2025-04-21 19:46:47,4
7230005248,800.0,85.8,5.4,5,23847,39403,1192656896,2025-04-21 19:46:48,4
7235907584,800.0,85.9,8.0,5,23852,39442,1186754560,2025-04-21 19:46:49,4
7222226944,800.0,85.7,23.2,5,23854,39452,1200435200,2025-04-21 19:46:50,4
7234822144,2501.0,85.9,85.9,5,23859,39468,1194598400,2025-04-21 19:46:52,4
7233220608,2501.0,85.9,75.3,5,23871,39551,1189556224,2025-04-21 19:46:53,4
7252037632,2501.0,86.1,28.3,5,23887,39578,1170714624,2025-04-21 19:46:54,4
7251456000,2501.0,86.1,79.2,5,23891,39595,1174663168,2025-04-21 19:46:55,4
7271882752,2501.0,86.3,99.3,5,23912,39714,1157890048,2025-04-21 19:46:57,4
7270604800,2501.0,86.3,61.5,5,23917,39723,1152049152,2025-04-21 19:46:58,4
7253757952,2501.0,86.2,46.0,5,23932,39740,1168404480,2025-04-21 19:46:59,4
7259492352,2501.0,86.2,74.8,5,23948,39802,1183178752,2025-04-21 19:47:01,4
7243141120,2501.0,86.0,30.0,5,23960,39805,1180147712,2025-04-21 19:47:02,4
7268794368,2501.0,86.3,28.1,5,23979,39813,1152978944,2025-04-21 19:47:03,4
7266082816,2501.0,86.3,9.7,5,23981,39823,1156710400,2025-04-21 19:47:04,4
7253864448,1000.0,86.1,4.8,5,23993,39842,1170268160,2025-04-21 19:47:05,4
7254556672,800.0,86.1,3.2,5,23995,39847,1168519168,2025-04-21 19:47:06,4
7250276352,2000.0,86.1,2.9,5,23996,39873,1172709376,2025-04-21 19:47:08,4
7245979648,800.0,86.0,7.1,5,24002,39880,1177133056,2025-04-21 19:47:09,4
7239098368,1400.0,85.9,3.3,5,24004,39880,1183563776,2025-04-21 19:47:10,4
7237419008,800.0,85.9,6.6,5,24006,39885,1185243136,2025-04-21 19:47:11,4
7240503296,1600.0,86.0,9.7,5,24010,39922,1182158848,2025-04-21 19:47:12,4
7241617408,2501.0,86.3,25.4,5,24010,39922,1156165632,2025-04-21 19:47:13,4
7284154368,2501.0,86.5,20.7,5,24011,39924,1139871744,2025-04-21 19:47:14,4
7296192512,2501.0,86.6,10.8,5,24019,39958,1140404224,2025-04-21 19:47:15,4
7280771072,2501.0,86.4,7.0,5,24019,39961,1141891072,2025-04-21 19:47:16,4
7276003328,2501.0,86.4,12.3,5,24020,39961,1146658816,2025-04-21 19:47:18,4
7262707712,800.0,86.2,9.9,5,24027,39975,1160019968,2025-04-21 19:47:19,4
7264059392,2501.0,86.3,18.3,5,24054,40023,1140219904,2025-04-21 19:47:20,4
7279022080,2501.0,86.4,11.8,5,24060,40029,1143648256,2025-04-21 19:47:21,4
7275921408,800.0,86.4,10.9,5,24063,40033,1147060224,2025-04-21 19:47:22,4
7269191680,2501.0,86.3,8.0,5,24065,40048,1153470464,2025-04-21 19:47:23,4
7197499392,800.0,85.5,14.0,5,24067,40049,1223360512,2025-04-21 19:47:24,4
7179370496,1400.0,85.2,5.1,5,24067,40050,1243291648,2025-04-21 19:47:25,4
7180689408,2500.0,85.3,6.5,5,24067,40056,1241972736,2025-04-21 19:47:26,4
7182180352,2501.0,85.3,15.2,5,24068,40063,1240498176,2025-04-21 19:47:27,4
7200907264,2501.0,85.5,29.6,5,24068,40063,1215823872,2025-04-21 19:47:28,4
7185113088,2501.0,85.3,57.8,5,24070,40063,1237598208,2025-04-21 19:47:29,4
7191801856,2501.0,85.4,63.9,5,24074,40085,1230348288,2025-04-21 19:47:31,4
7180038144,2501.0,85.2,91.8,5,24086,40158,1241620480,2025-04-21 19:47:32,4
7186571264,2501.0,85.3,50.3,5,24087,40160,1236119552,2025-04-21 19:47:33,4
7183314944,2501.0,85.3,36.6,5,24090,40172,1239068672,2025-04-21 19:47:34,4
7183118336,2501.0,85.3,66.4,5,24100,40227,1240743936,2025-04-21 19:47:35,4
7183925248,2501.0,85.3,84.7,5,24100,40228,1238695936,2025-04-21 19:47:37,4
7182692352,2501.0,85.3,79.4,5,24108,40282,1239760896,2025-04-21 19:47:38,4
7185645568,2501.0,85.3,63.1,5,24135,40401,1237024768,2025-04-21 19:47:39,4
7185645568,2501.0,85.3,44.1,5,24162,40496,1237016576,2025-04-21 19:47:40,4
7188656128,2501.0,85.3,45.4,5,24190,40558,1233108992,2025-04-21 19:47:41,4
7187521536,2501.0,85.3,92.7,5,24194,40569,1235910656,2025-04-21 19:47:43,4
7189819392,2501.0,85.4,54.5,5,24198,40586,1233367040,2025-04-21 19:47:44,4
7192182784,2501.0,85.4,41.7,5,24202,40625,1230532608,2025-04-21 19:47:45,4
7184175104,2501.0,85.3,65.4,5,24207,40651,1238487040,2025-04-21 19:47:46,4
7185432576,1600.0,85.3,18.2,5,24207,40651,1237229568,2025-04-21 19:47:47,4
7188385792,2501.0,85.3,33.8,5,24216,40701,1235079168,2025-04-21 19:47:48,4
7189618688,2501.0,85.4,52.3,5,24222,40725,1234845696,2025-04-21 19:47:50,4
7174184960,2501.0,85.2,62.9,5,24225,40731,1235927040,2025-04-21 19:47:51,4
7185858560,1400.0,85.3,22.1,5,24232,40745,1236881408,2025-04-21 19:47:53,4
